,Player,FG,FGA,XPT,FPTS
0,Harrison ButkerKC,2.1,2.5,3.0,9.3
1,Justin TuckerBAL,1.9,2.1,3.2,8.8
2,Matt PraterARI,1.8,2.1,3.0,8.4
3,Ryan SuccopTB,1.9,2.2,2.7,8.3
4,Brandon McManusDEN,1.9,2.3,2.5,8.3
5,Daniel CarlsonLV,1.9,2.2,2.6,8.2
6,Randy BullockTEN,1.8,2.1,2.8,8.1
7,Graham GanoNYG,1.9,2.1,2.2,7.8
8,Jason MyersSEA,1.6,1.9,2.9,7.8
9,Matt GayLAR,1.7,2.0,2.7,7.8
10,Robbie GouldSF,1.8,2.2,2.5,7.7
11,Greg ZuerleinDAL,1.7,2.3,2.7,7.7
12,Chase McLaughlinCLE,1.7,2.0,2.5,7.7
13,Younghoe KooATL,1.8,2.1,2.2,7.7
14,Tyler BassBUF,1.7,2.1,2.6,7.6
15,Mason CrosbyGB,1.5,1.7,2.9,7.4
16,Chris BoswellPIT,1.6,1.8,2.4,7.3
17,Greg JosephMIN,1.6,1.8,2.5,7.2
18,Nick FolkNE,1.7,1.9,2.1,7.1
19,Rodrigo BlankenshipIND,1.7,2.0,1.9,7.0
20,Ryan SantosoLAR,1.5,2.0,2.3,6.8
21,Evan McPhersonCIN,1.6,2.0,1.8,6.7
22,Jake ElliottPHI,1.5,1.8,2.1,6.7
23,Jason SandersMIA,1.6,1.8,2.0,6.7
24,Dustin HopkinsLAC,1.7,1.9,1.7,6.7
25,Joey SlyeWAS,1.6,1.9,1.8,6.6
26,Cairo SantosCHI,1.5,1.7,2.0,6.4
27,Matt AmmendolaNYJ,1.4,1.7,1.5,5.8
