,Player,FG,FGA,XPT,FPTS
0,Matt GayLAR,1.9,2.3,2.9,8.6
1,Michael BadgleyIND,1.9,2.4,2.7,8.5
2,Daniel CarlsonLV,2.0,2.4,2.3,8.4
3,Harrison ButkerKC,1.9,2.2,2.7,8.3
4,Greg JosephMIN,1.9,2.2,2.6,8.3
5,Ryan SuccopTB,1.6,2.0,3.3,8.2
6,Robbie GouldSF,1.9,2.2,2.5,8.1
7,Justin TuckerBAL,1.9,2.1,2.4,8.0
8,Greg ZuerleinDAL,1.8,2.2,2.5,7.8
9,Evan McPhersonCIN,1.7,2.1,2.5,7.7
10,Jason SandersMIA,1.7,2.0,2.3,7.6
11,Jake ElliottPHI,1.7,2.0,2.4,7.5
12,Chris BoswellPIT,1.8,2.1,2.0,7.5
13,Dustin HopkinsLAC,1.7,2.0,2.3,7.4
14,Nick FolkNE,1.8,2.1,1.8,7.1
15,Younghoe KooATL,1.6,1.8,2.3,7.0
16,Matt PraterARI,1.5,1.8,2.6,7.0
17,Brandon McManusDEN,1.6,1.9,2.0,6.9
18,Matt AmmendolaNYJ,1.7,2.0,1.9,6.9
19,Jason MyersSEA,1.6,1.9,2.0,6.9
20,Brian JohnsonWAS,1.6,1.8,2.1,6.8
21,Tyler BassBUF,1.5,1.8,2.3,6.8
22,Brett MaherNO,1.5,1.7,2.2,6.6
23,Ryan SantosoLAR,1.5,1.9,2.0,6.6
24,Cairo SantosCHI,1.6,1.9,1.6,6.5
25,Graham GanoNYG,1.5,1.7,1.7,6.2
26,Ka'imi FairbairnHOU,1.4,1.7,1.9,6.0
27,Matthew WrightJAC,1.4,1.6,1.5,5.7
28,Riley PattersonDET,1.3,1.6,1.7,5.6
29,Austin SeibertDET,1.0,1.0,2.0,5.0
