,Player,FG,FGA,XPT,FPTS
0,Tyler BassBUF,2.1,2.5,3.0,9.4
1,Greg ZuerleinDAL,1.9,2.5,2.9,8.7
2,Justin TuckerBAL,1.9,2.2,3.1,8.7
3,Matt GayLAR,1.7,2.0,3.2,8.3
4,Daniel CarlsonLV,1.9,2.3,2.2,8.0
5,Chris BoswellPIT,1.9,2.2,2.4,8.0
6,Michael BadgleyIND,1.8,2.2,2.5,7.8
7,Jason SandersMIA,1.8,2.2,2.3,7.8
8,Robbie GouldSF,1.8,2.3,2.3,7.6
9,Graham GanoNYG,1.8,2.1,2.1,7.5
10,Evan McPhersonCIN,1.7,2.1,2.4,7.5
11,Randy BullockTEN,1.8,2.0,2.2,7.5
12,Harrison ButkerKC,1.6,1.8,2.6,7.4
13,Nick FolkNE,1.7,2.0,2.2,7.4
14,Zane GonzalezCAR,1.8,2.0,2.0,7.2
15,Mason CrosbyGB,1.6,1.8,2.5,7.2
16,Dustin HopkinsLAC,1.6,1.9,2.2,7.1
17,Brandon McManusDEN,1.7,2.0,2.0,7.1
18,Jake ElliottPHI,1.7,2.0,2.1,7.1
19,Greg JosephMIN,1.7,1.9,2.2,7.1
20,Younghoe KooATL,1.7,2.0,2.0,7.1
21,Chase McLaughlinCLE,1.5,1.8,2.3,6.9
22,Ka'imi FairbairnHOU,1.5,1.8,2.0,6.5
23,Matt PraterARI,1.4,1.6,2.2,6.2
24,Cairo SantosCHI,1.4,1.6,1.6,5.9
25,Matt AmmendolaNYJ,1.3,1.6,1.6,5.6
26,Matthew WrightJAC,1.2,1.4,1.5,5.1
