,Player,FG,FGA,XPT,FPTS
0,Justin TuckerBAL,2.0,2.3,2.9,8.9
1,Quinn NordinNE,2.1,2.3,2.6,8.7
2,Jason MyersSEA,2.0,2.3,2.6,8.6
3,Mason CrosbyGB,1.9,2.2,2.9,8.6
4,Ryan SuccopTB,1.7,2.1,3.3,8.5
5,Harrison ButkerKC,1.8,2.0,3.1,8.4
6,Younghoe KooATL,2.0,2.3,2.4,8.4
7,Robbie GouldSF,1.8,2.1,2.8,8.2
8,Daniel CarlsonLV,2.0,2.3,2.2,8.1
9,Brandon McManusDEN,2.0,2.4,2.1,8.1
10,Rodrigo BlankenshipIND,2.0,2.3,2.0,7.9
11,Tyler BassBUF,1.7,2.1,2.7,7.9
12,Ka'imi FairbairnHOU,2.0,2.3,1.9,7.9
13,Matt GayLAR,1.8,2.2,2.5,7.8
14,Greg JosephMIN,1.7,2.0,2.6,7.8
15,Michael BadgleyIND,1.6,1.9,2.6,7.3
16,Evan McPhersonCIN,1.7,2.1,2.1,7.3
17,Graham GanoNYG,1.8,2.0,1.8,7.1
18,Matt PraterARI,1.5,1.9,2.4,7.1
19,Matt AmmendolaNYJ,1.7,1.9,1.9,7.0
20,Greg ZuerleinDAL,1.5,1.9,2.4,7.0
21,Dustin HopkinsLAC,1.6,1.9,2.2,7.0
22,Jake ElliottPHI,1.7,2.0,2.0,7.0
23,Ryan SantosoLAR,1.6,1.9,2.2,7.0
24,Cairo SantosCHI,1.6,1.9,2.0,6.9
25,Joey SlyeWAS,1.6,1.9,2.0,6.9
26,Chase McLaughlinCLE,1.5,1.7,2.4,6.8
27,Nick FolkNE,1.5,1.8,2.2,6.8
28,Jason SandersMIA,1.6,1.8,1.9,6.6
29,Chris BoswellPIT,1.5,1.7,2.2,6.5
30,Austin SeibertDET,1.5,1.8,1.9,6.4
