,Player,FG,FGA,XPT,FPTS
0,Greg ZuerleinDAL,2.0,2.0,3.0,9.0
1,Justin TuckerBAL,2.0,2.2,2.8,8.8
2,Lirim HajrullahuCAR,1.8,2.3,3.0,8.4
3,Tyler BassBUF,1.7,2.1,3.1,8.3
4,Michael BadgleyIND,1.8,2.2,2.8,8.2
5,Daniel CarlsonLV,1.8,2.2,2.6,8.1
6,Ryan SuccopTB,1.5,1.9,3.4,8.0
7,Dustin HopkinsLAC,1.8,2.1,2.5,8.0
8,Matt GayLAR,1.7,2.0,2.7,8.0
9,Mason CrosbyGB,1.8,2.1,2.5,7.9
10,Harrison ButkerKC,1.7,1.9,2.6,7.6
11,Randy BullockTEN,1.7,2.0,2.5,7.6
12,Younghoe KooATL,1.7,1.9,2.5,7.6
13,Brandon McManusDEN,1.8,2.1,2.3,7.5
14,Greg JosephMIN,1.7,2.0,2.4,7.4
15,Chris BoswellPIT,1.6,1.9,2.5,7.4
16,Nick FolkNE,1.7,2.0,2.3,7.4
17,Matt PraterARI,1.5,1.9,2.6,7.2
18,Robbie GouldSF,1.5,1.8,2.4,7.1
19,Jason MyersSEA,1.6,1.9,2.2,7.0
20,Chase McLaughlinCLE,1.7,1.9,2.0,6.9
21,Jake ElliottPHI,1.6,1.9,1.8,6.7
22,Jason SandersMIA,1.5,1.9,2.0,6.6
23,Joey SlyeWAS,1.6,1.9,1.8,6.5
24,Brian JohnsonWAS,1.5,1.8,1.8,6.5
25,Ryan SantosoLAR,1.4,1.7,1.3,5.6
26,Matthew WrightJAC,1.3,1.6,1.6,5.6
27,Matt AmmendolaNYJ,1.4,1.6,1.6,5.6
