,Player,FG,FGA,XPT,FPTS
0,Ryan SuccopTB,2.0,2.4,2.8,8.8
1,Harrison ButkerKC,1.9,2.2,2.6,8.3
2,Matt PraterARI,1.8,2.2,2.7,8.1
3,Randy BullockTEN,1.8,2.2,2.6,8.1
4,Michael BadgleyIND,1.8,2.2,2.8,8.1
5,Mason CrosbyGB,1.7,2.1,2.7,7.9
6,Greg ZuerleinDAL,1.7,2.2,2.6,7.8
7,Robbie GouldSF,1.8,2.1,2.3,7.8
8,Dustin HopkinsLAC,1.7,2.1,2.5,7.7
9,Tyler BassBUF,1.5,1.8,3.1,7.7
10,Evan McPhersonCIN,1.8,2.0,2.2,7.6
11,Greg JosephMIN,1.7,2.0,2.3,7.5
12,Matt GayLAR,1.7,2.0,2.5,7.5
13,Nick FolkNE,1.6,1.9,2.4,7.3
14,Justin TuckerBAL,1.7,1.9,2.3,7.3
15,Daniel CarlsonLV,1.6,1.9,2.3,7.2
16,Cairo SantosCHI,1.7,2.0,1.9,7.1
17,Jake ElliottPHI,1.8,2.1,1.7,7.1
18,Joey SlyeWAS,1.7,2.0,1.9,7.1
19,Jason MyersSEA,1.7,2.0,2.0,7.0
20,Brett MaherNO,1.6,1.9,2.1,7.0
21,Chris BoswellPIT,1.7,2.0,1.7,6.9
22,Brian JohnsonWAS,1.6,1.7,2.0,6.6
23,Jason SandersMIA,1.6,2.0,1.7,6.6
24,Riley PattersonDET,1.6,1.9,1.8,6.5
25,Chris NaggarDAL,1.5,1.7,2.0,6.5
26,Younghoe KooATL,1.5,1.7,1.8,6.4
27,Ka'imi FairbairnHOU,1.5,1.9,1.6,6.2
28,Brandon McManusDEN,1.5,1.7,1.8,6.2
29,Chase McLaughlinCLE,1.4,1.6,1.9,6.2
30,Matthew WrightJAC,1.5,1.8,1.2,5.8
31,Eddy PineiroNYJ,1.5,1.7,1.2,5.8
32,Graham GanoNYG,1.5,1.7,1.3,5.7
33,Lirim HajrullahuCAR,1.4,1.6,1.5,5.6
