,Player,FG,FGA,XPT,FPTS
0,Ryan SuccopTB,1.8,2.2,3.0,8.3
1,Matt PraterARI,1.7,2.0,3.2,8.2
2,Nick FolkNE,2.0,2.3,2.2,8.1
3,Robbie GouldSF,1.7,2.0,3.0,8.1
4,Tyler BassBUF,1.7,2.1,2.8,7.9
5,Matt GayLAR,1.8,2.0,2.6,7.9
6,Chris BoswellPIT,1.8,2.0,2.3,7.8
7,Greg ZuerleinDAL,1.8,2.1,2.4,7.7
8,Harrison ButkerKC,1.7,1.9,2.6,7.7
9,Jason SandersMIA,1.7,2.1,2.5,7.7
10,Mason CrosbyGB,1.7,2.0,2.7,7.7
11,Jake ElliottPHI,2.0,2.2,1.8,7.7
12,Randy BullockTEN,1.8,2.1,2.0,7.5
13,Greg JosephMIN,1.7,1.9,2.4,7.4
14,Daniel CarlsonLV,1.7,2.0,2.1,7.3
15,Cairo SantosCHI,1.7,1.9,2.1,7.1
16,Brandon McManusDEN,1.5,1.8,2.3,6.9
17,Dustin HopkinsLAC,1.4,1.6,2.6,6.9
18,Justin TuckerBAL,1.6,1.8,2.0,6.9
19,Evan McPhersonCIN,1.7,1.9,1.9,6.9
20,Younghoe KooATL,1.6,1.8,1.9,6.8
21,Michael BadgleyIND,1.4,1.7,2.4,6.7
22,Chase McLaughlinCLE,1.5,1.8,2.0,6.6
23,Brett MaherNO,1.5,1.7,1.8,6.3
24,Jason MyersSEA,1.5,1.8,1.8,6.2
25,Ka'imi FairbairnHOU,1.5,1.7,1.7,6.2
26,Eddy PineiroNYJ,1.6,1.8,1.4,6.1
27,Graham GanoNYG,1.4,1.5,1.7,5.8
28,Matthew WrightJAC,1.4,1.6,1.6,5.7
29,Alex KessmanCAR,1.3,1.6,1.7,5.5
30,Brian JohnsonWAS,1.3,1.4,1.5,5.4
31,Riley PattersonDET,1.3,1.4,1.6,5.4
