rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
62,Greg Ward,53,79,419,7.9,32,0,6,2,-4,0,0,16,80.1,5.0,0.1,PHI,2020,WR
63,Travis Fulgham,38,67,539,14.2,42,0,4,0,0,0,0,13,77.9,6.0,0.0,DEN,2020,WR
64,Hunter Renfrow,56,77,656,11.7,53,0,2,0,0,0,1,16,75.6,4.7,89.8,LV,2020,WR
65,Josh Reynolds,52,81,618,11.9,40,0,2,1,5,0,1,16,72.3,4.5,6.9,DET,2020,WR
66,Antonio Brown,45,62,483,10.7,46,0,4,2,-2,0,0,8,72.1,9.0,84.1,FA,2020,WR
67,Isaiah McKenzie,30,34,282,9.4,46,0,5,10,9,0,0,16,69.6,4.4,5.5,BUF,2020,WR
68,Scotty Miller,33,53,501,15.2,48,0,3,3,14,0,0,16,69.5,4.3,0.7,TB,2020,WR
69,James Washington,30,56,392,13.1,50,0,5,0,0,0,0,16,69.2,4.3,1.5,PIT,2020,WR
70,Breshad Perriman,30,60,505,16.8,53,0,3,1,6,0,0,12,69.1,5.8,2.5,TB,2020,WR
71,Jalen Guyton,28,55,511,18.3,72,0,3,2,0,0,0,16,69.1,4.3,7.1,LAC,2020,WR
72,Tre'Quan Smith,34,50,448,13.2,31,0,4,1,3,0,0,14,69.1,4.9,7.5,NO,2020,WR
73,Damiere Byrd,47,77,604,12.9,42,0,1,2,15,0,0,16,67.9,4.2,0.1,CHI,2020,WR
74,Allen Lazard,33,46,451,13.7,72,0,3,2,17,0,0,10,64.8,6.5,23.4,GB,2020,WR
75,A.J. Green,47,104,523,11.1,33,0,2,0,0,0,0,16,64.3,4.0,51.8,ARI,2020,WR
76,John Brown,33,52,458,13.9,46,0,3,0,0,0,0,9,63.8,7.1,1.3,FA,2020,WR
77,Odell Beckham Jr.,23,43,319,13.9,43,0,3,3,72,1,0,7,63.8,9.1,90.8,LAR,2020,WR
78,Demarcus Robinson,45,59,466,10.4,28,0,3,0,0,0,1,15,62.6,4.2,0.8,KC,2020,WR
79,Randall Cobb,38,48,441,11.6,34,0,3,0,0,0,0,10,62.1,6.2,7.6,GB,2020,WR
80,Willie Snead IV,33,48,432,13.1,34,0,3,0,0,0,0,13,61.2,4.7,0.1,FA,2020,WR
81,Danny Amendola,46,69,602,13.1,50,0,0,1,2,0,0,14,60.4,4.3,0.1,HOU,2020,WR
82,Braxton Berrios,37,55,394,10.6,43,0,3,3,29,0,0,16,60.3,3.8,6.3,NYJ,2020,WR
83,KJ Hamler,30,56,381,12.7,49,0,3,9,40,0,0,13,60.1,4.6,0.8,DEN,2020,WR
84,Anthony Miller,49,76,485,9.9,34,0,2,2,12,0,1,16,59.7,3.7,0.3,PIT,2020,WR
85,Tyron Johnson,20,26,398,19.9,55,0,3,3,17,0,0,12,59.5,5.0,0.0,LV,2020,WR
86,Michael Pittman Jr.,40,61,503,12.6,45,0,1,3,26,0,0,13,58.9,4.5,92.6,IND,2020,WR
87,Henry Ruggs III,26,43,452,17.4,72,0,2,9,49,0,2,13,58.1,4.5,10.9,FA,2020,WR
88,Chris Conley,40,63,471,11.8,51,0,2,0,0,0,1,15,57.1,3.8,0.4,HOU,2020,WR
89,Preston Williams,18,35,288,16.0,47,0,4,0,0,0,0,8,56.8,7.1,0.1,MIA,2020,WR
90,Jalen Reagor,31,54,396,12.8,55,0,1,4,26,0,0,11,56.2,5.1,13.3,PHI,2020,WR
91,Cam Sims,32,48,477,14.9,50,0,1,1,5,0,0,16,54.2,3.4,0.1,WAS,2020,WR
92,Keke Coutee,33,40,400,12.1,64,0,3,0,0,0,3,8,54.0,6.8,0.0,IND,2020,WR
93,Golden Tate,35,52,388,11.1,39,0,2,0,0,0,0,12,51.5,4.3,0.1,FA,2020,WR
94,Sammy Watkins,37,55,421,11.4,37,0,2,1,3,0,1,10,51.4,5.1,7.0,BAL,2020,WR
95,Jakeem Grant Sr.,36,54,373,10.4,30,0,1,3,20,0,0,14,51.3,3.7,1.2,FA,2020,WR
96,Miles Boykin,19,33,266,14.0,43,0,4,0,0,0,0,16,50.6,3.2,0.0,BAL,2020,WR
97,Cordarrelle Patterson,21,25,132,6.3,25,0,0,64,232,1,0,16,48.4,3.0,95.1,ATL,2020,WR
98,Deebo Samuel,33,44,391,11.8,35,0,1,8,26,0,0,7,47.7,6.8,98.8,SF,2020,WR
99,Quintez Cephus,20,35,349,17.5,49,0,2,0,0,0,0,13,46.9,3.6,0.8,DET,2020,WR
100,Larry Fitzgerald,54,72,409,7.6,18,0,1,0,0,0,0,13,46.9,3.6,0.3,FA,2020,WR
101,Kenny Golladay,20,32,338,16.9,48,0,2,0,0,0,0,5,45.8,9.2,51.8,NYG,2020,WR
102,Donovan Peoples-Jones,14,20,304,21.7,75,0,2,0,0,0,0,12,44.4,3.7,14.3,CLE,2020,WR
103,Michael Thomas,40,55,438,11.0,24,0,0,1,1,0,0,7,43.9,6.3,20.6,NO,2020,WR
104,Marvin Hall,18,32,302,16.8,73,0,2,1,1,0,0,12,42.3,3.5,0.0,FA,2020,WR
105,Richie James Jr.,23,35,394,17.1,47,0,1,0,0,0,2,11,41.4,3.8,0.0,SF,2020,WR
106,Collin Johnson,18,31,272,15.1,46,0,2,0,0,0,0,14,41.2,2.9,0.1,NYG,2020,WR
107,N'Keal Harry,33,57,309,9.4,30,0,2,2,0,0,1,14,40.9,2.9,0.2,NE,2020,WR
108,DaeSean Hamilton,23,44,293,12.7,40,0,2,0,0,0,1,16,39.3,2.5,0.0,DEN,2020,WR
109,Denzel Mims,23,44,357,15.5,30,0,0,0,0,0,0,9,37.7,4.2,0.7,NYJ,2020,WR
110,Julian Edelman,21,39,315,15.0,49,0,0,2,22,0,0,6,35.2,5.9,13.1,FA,2020,WR
111,Adam Humphries,23,35,228,9.9,23,0,2,1,0,0,0,7,34.8,5.0,0.8,WAS,2020,WR
112,Cedrick Wilson Jr.,17,28,189,11.1,42,0,2,3,-12,0,0,16,34.6,2.2,4.0,DAL,2020,WR
113,Andy Isabella,21,35,224,10.7,54,0,2,1,-6,0,0,13,33.8,2.6,0.1,ARI,2020,WR
114,Olamide Zaccheaus,20,32,274,13.7,51,0,1,1,0,0,0,11,33.4,3.0,0.8,ATL,2020,WR
