rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
1.0,Derrick Henry,378.0,2027.0,5.4,94.0,0.0,17.0,19.0,31.0,114.0,6.0,0.0,2.0,16.0,314.1,19.6,78.0,RB,2020,team
2.0,Alvin Kamara,187.0,932.0,5.0,49.0,0.0,16.0,83.0,107.0,756.0,9.1,5.0,0.0,15.0,294.8,19.7,100.0,RB,2020,team
3.0,Dalvin Cook,312.0,1557.0,5.0,70.0,0.0,16.0,44.0,54.0,361.0,8.2,1.0,3.0,14.0,293.8,21.0,100.0,RB,2020,team
4.0,Jonathan Taylor,232.0,1169.0,5.0,62.0,0.0,11.0,36.0,40.0,299.0,8.3,1.0,1.0,15.0,216.8,14.5,100.0,RB,2020,team
5.0,Aaron Jones,201.0,1104.0,5.5,77.0,0.0,9.0,47.0,63.0,355.0,7.6,2.0,0.0,14.0,211.9,15.1,98.9,RB,2020,team
6.0,David Montgomery,247.0,1070.0,4.3,80.0,0.0,8.0,54.0,68.0,438.0,8.1,2.0,1.0,15.0,210.8,14.1,98.7,RB,2020,team
7.0,James Robinson,240.0,1070.0,4.5,47.0,0.0,7.0,49.0,60.0,344.0,7.0,3.0,1.0,14.0,201.4,14.4,76.3,RB,2020,team
8.0,Josh Jacobs,273.0,1065.0,3.9,28.0,0.0,12.0,33.0,45.0,238.0,7.2,0.0,2.0,15.0,198.3,13.2,98.0,RB,2020,team
9.0,Nick Chubb,190.0,1067.0,5.6,59.0,0.0,12.0,16.0,18.0,150.0,9.4,0.0,1.0,12.0,191.7,16.0,99.8,RB,2020,team
10.0,Kareem Hunt,198.0,841.0,4.2,33.0,0.0,6.0,38.0,51.0,304.0,8.0,5.0,0.0,16.0,180.5,11.3,82.1,RB,2020,team
11.0,Ezekiel Elliott,244.0,979.0,4.0,31.0,0.0,6.0,52.0,71.0,338.0,6.5,2.0,5.0,15.0,171.7,11.4,99.7,RB,2020,team
12.0,Kenyan Drake,239.0,955.0,4.0,69.0,0.0,10.0,25.0,31.0,137.0,5.5,0.0,1.0,15.0,167.2,11.1,29.4,RB,2020,team
14.0,Antonio Gibson,170.0,795.0,4.7,40.0,0.0,11.0,36.0,44.0,247.0,6.9,0.0,2.0,14.0,166.2,11.9,95.9,RB,2020,team
15.0,Ronald Jones II,192.0,978.0,5.1,98.0,0.0,7.0,28.0,42.0,165.0,5.9,1.0,2.0,14.0,158.3,11.3,83.5,RB,2020,team
16.0,Chris Carson,141.0,681.0,4.8,29.0,0.0,5.0,37.0,46.0,287.0,7.8,4.0,0.0,12.0,150.8,12.6,31.7,RB,2020,team
17.0,J.K. Dobbins,134.0,805.0,6.0,72.0,0.0,9.0,18.0,24.0,120.0,6.7,0.0,0.0,15.0,150.5,10.0,10.3,RB,2020,team
18.0,Mike Davis,165.0,642.0,3.9,25.0,0.0,6.0,59.0,70.0,373.0,6.3,2.0,1.0,15.0,147.5,9.8,49.7,RB,2020,team
19.0,David Johnson,147.0,691.0,4.7,48.0,0.0,6.0,33.0,46.0,314.0,9.5,2.0,1.0,12.0,146.5,12.2,35.4,RB,2020,team
20.0,D'Andre Swift,114.0,521.0,4.6,54.0,0.0,8.0,46.0,57.0,357.0,7.8,2.0,2.0,13.0,143.8,11.1,97.2,RB,2020,team
21.0,Miles Sanders,164.0,867.0,5.3,82.0,0.0,6.0,28.0,52.0,197.0,7.0,0.0,2.0,12.0,142.4,11.9,77.0,RB,2020,team
22.0,Clyde Edwards-Helaire,181.0,803.0,4.4,31.0,0.0,4.0,36.0,54.0,297.0,8.3,1.0,0.0,13.0,140.0,10.8,86.8,RB,2020,team
24.0,Nyheim Hines,89.0,380.0,4.3,31.0,0.0,3.0,63.0,76.0,482.0,7.7,4.0,0.0,16.0,130.2,8.1,44.8,RB,2020,team
25.0,James Conner,169.0,721.0,4.3,59.0,0.0,6.0,35.0,43.0,215.0,6.1,0.0,0.0,13.0,129.6,10.0,94.6,RB,2020,team
27.0,Myles Gaskin,142.0,584.0,4.1,26.0,0.0,3.0,41.0,47.0,388.0,9.5,2.0,2.0,10.0,123.2,12.3,83.2,RB,2020,team
28.0,Gus Edwards,144.0,723.0,5.0,36.0,0.0,6.0,9.0,13.0,129.0,14.3,0.0,1.0,16.0,119.2,7.5,9.6,RB,2020,team
30.0,Chase Edmonds,97.0,448.0,4.6,32.0,0.0,1.0,53.0,67.0,402.0,7.6,4.0,0.0,16.0,115.0,7.2,85.1,RB,2020,team
32.0,Latavius Murray,146.0,656.0,4.5,36.0,0.0,4.0,23.0,26.0,176.0,7.7,1.0,0.0,15.0,113.2,7.5,22.2,RB,2020,team
33.0,Adrian Peterson,156.0,604.0,3.9,38.0,0.0,7.0,12.0,18.0,101.0,8.4,0.0,0.0,16.0,112.5,7.0,4.9,RB,2020,team
34.0,J.D. McKissic,85.0,365.0,4.3,17.0,0.0,1.0,80.0,110.0,589.0,7.4,2.0,1.0,16.0,111.4,7.0,32.9,RB,2020,team
35.0,Austin Ekeler,116.0,530.0,4.6,27.0,0.0,1.0,54.0,65.0,403.0,7.5,2.0,0.0,10.0,111.3,11.1,99.9,RB,2020,team
36.0,Giovani Bernard,124.0,416.0,3.4,15.0,0.0,3.0,47.0,59.0,355.0,7.6,3.0,1.0,16.0,111.1,6.9,5.4,RB,2020,team
