rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Los Angeles Rams,53.0,14.0,8.0,12.0,4.0,1.0,0.0,16.0,151.0,9.4,74.5,LAR,DST,2020
2.0,Pittsburgh Steelers,56.0,18.0,9.0,12.0,3.0,1.0,0.0,17.0,148.0,8.7,44.6,PIT,DST,2020
3.0,Indianapolis Colts,40.0,15.0,10.0,11.0,4.0,3.0,2.0,16.0,146.0,9.1,66.4,IND,DST,2020
4.0,Miami Dolphins,41.0,18.0,10.0,14.0,2.0,0.0,1.0,16.0,141.0,8.8,60.2,MIA,DST,2020
5.0,Baltimore Ravens,39.0,10.0,12.0,22.0,3.0,2.0,1.0,16.0,141.0,8.8,51.9,BAL,DST,2020
6.0,Washington Commanders,47.0,16.0,7.0,13.0,3.0,1.0,0.0,16.0,127.0,7.9,27.5,WAS,DST,2020
7.0,New Orleans Saints,45.0,18.0,8.0,6.0,1.0,1.0,0.0,16.0,124.0,7.8,79.3,NO,DST,2020
8.0,Buffalo Bills,38.0,15.0,11.0,14.0,3.0,0.0,1.0,16.0,118.0,7.4,95.9,BUF,DST,2020
9.0,Tampa Bay Buccaneers,48.0,15.0,10.0,15.0,1.0,1.0,0.0,16.0,117.0,7.3,98.0,TB,DST,2020
10.0,Arizona Cardinals,48.0,11.0,10.0,12.0,0.0,1.0,0.0,16.0,108.0,6.8,60.9,ARI,DST,2020
11.0,New England Patriots,24.0,18.0,4.0,5.0,2.0,0.0,2.0,16.0,106.0,6.6,93.2,NE,DST,2020
12.0,Kansas City Chiefs,32.0,16.0,6.0,11.0,2.0,1.0,2.0,16.0,106.0,6.6,45.7,KC,DST,2020
13.0,New York Giants,40.0,11.0,11.0,13.0,2.0,0.0,0.0,16.0,103.0,6.4,4.5,NYG,DST,2020
14.0,Seattle Seahawks,46.0,14.0,8.0,12.0,0.0,3.0,0.0,16.0,103.0,6.4,39.4,SEA,DST,2020
15.0,Philadelphia Eagles,49.0,8.0,11.0,12.0,2.0,1.0,1.0,16.0,101.0,6.3,52.5,PHI,DST,2020
16.0,Carolina Panthers,29.0,7.0,15.0,13.0,3.0,0.0,0.0,16.0,99.0,6.2,27.8,CAR,DST,2020
17.0,Cleveland Browns,38.0,11.0,10.0,16.0,2.0,2.0,0.0,16.0,97.0,6.1,40.8,CLE,DST,2020
18.0,Green Bay Packers,41.0,11.0,7.0,11.0,2.0,1.0,0.0,16.0,94.0,5.9,60.6,GB,DST,2020
19.0,Chicago Bears,35.0,10.0,8.0,13.0,1.0,1.0,1.0,16.0,90.0,5.6,35.9,CHI,DST,2020
20.0,San Francisco 49ers,30.0,12.0,8.0,11.0,1.0,0.0,0.0,16.0,88.0,5.5,79.5,SF,DST,2020
21.0,Dallas Cowboys,31.0,10.0,12.0,13.0,2.0,0.0,1.0,16.0,76.0,4.8,82.9,DAL,DST,2020
22.0,Denver Broncos,42.0,10.0,6.0,11.0,0.0,0.0,1.0,16.0,73.0,4.6,48.5,DEN,DST,2020
23.0,Los Angeles Chargers,27.0,12.0,7.0,5.0,2.0,1.0,0.0,16.0,73.0,4.6,44.3,LAC,DST,2020
24.0,Atlanta Falcons,29.0,12.0,9.0,17.0,1.0,0.0,0.0,16.0,72.0,4.5,5.8,ATL,DST,2020
25.0,New York Jets,31.0,10.0,9.0,17.0,1.0,1.0,0.0,16.0,67.0,4.2,3.3,NYJ,DST,2020
26.0,Tennessee Titans,19.0,15.0,8.0,11.0,1.0,0.0,1.0,17.0,66.0,3.9,48.4,TEN,DST,2020
27.0,Minnesota Vikings,23.0,15.0,7.0,8.0,0.0,1.0,0.0,16.0,60.0,3.8,28.0,MIN,DST,2020
28.0,Jacksonville Jaguars,18.0,12.0,5.0,8.0,1.0,0.0,2.0,16.0,58.0,3.6,6.9,JAC,DST,2020
29.0,Cincinnati Bengals,17.0,11.0,6.0,10.0,0.0,0.0,1.0,16.0,45.0,2.8,14.7,CIN,DST,2020
30.0,Las Vegas Raiders,21.0,10.0,5.0,8.0,0.0,0.0,0.0,16.0,43.0,2.7,7.6,LV,DST,2020
31.0,Houston Texans,34.0,3.0,6.0,9.0,1.0,0.0,0.0,16.0,41.0,2.6,6.4,HOU,DST,2020
32.0,Detroit Lions,24.0,7.0,5.0,15.0,0.0,1.0,1.0,16.0,29.0,1.8,1.1,DET,DST,2020
