rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
94.0,Deon Yelder,7.0,11.0,36.0,5.1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.6,0.3,0.0,TE,2020,team
95.0,Charlie Woerner,3.0,4.0,36.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.6,0.3,0.0,TE,2020,team
96.0,Kahale Warring,3.0,7.0,35.0,11.7,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,0.5,0.0,TE,2020,team
98.0,Stephen Carlson,1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.1,0.2,0.0,TE,2020,team
99.0,Ben Ellefson,1.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.4,0.0,TE,2020,team
100.0,Jaeden Graham,3.0,5.0,25.0,8.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.5,0.2,0.0,TE,2020,team
101.0,Colby Parkinson,2.0,2.0,16.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.6,0.3,0.0,TE,2020,team
102.0,Eric Saubert,3.0,4.0,16.0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.6,0.2,0.0,TE,2020,team
103.0,Dalton Keene,3.0,5.0,16.0,5.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.6,0.3,0.0,TE,2020,team
104.0,Derek Carrier,1.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.4,0.1,0.0,TE,2020,team
105.0,Luke Willson,1.0,3.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.2,0.2,0.0,TE,2020,team
106.0,Blake Jarwin,1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,2.7,TE,2020,team
107.0,Josiah Deguara,1.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.2,0.6,0.4,TE,2020,team
108.0,Temarrick Hemingway,1.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.1,0.0,TE,2020,team
109.0,Brandon Dillon,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.2,0.0,TE,2020,team
110.0,Jeremy Sprinkle,1.0,3.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.6,0.0,0.0,TE,2020,team
111.0,Trevon Wesco,1.0,2.0,5.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.5,0.0,0.0,TE,2020,team
112.0,Jake Butt,2.0,4.0,5.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,0.1,0.1,TE,2020,team
113.0,Isaac Nauta,1.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3,0.0,0.0,TE,2020,team
115.0,Marcus Baugh,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2,0.0,0.0,TE,2020,team
144.0,Reggie Gilliam,2.0,2.0,16.0,8.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,TE,2020,team
174.0,John Lovett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,TE,2020,team
