player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Austin Ekeler,12.0,58.0,4.8,19.0,0.0,1.0,6.0,7.0,96.0,16.0,2.0,0.0,1.0,33.4,RB,1,2019,LAC,IND,True,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
Justin Jackson,6.0,57.0,9.5,24.0,2.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,6.1,RB,1,2019,LAC,IND,True,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
Derek Watt,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,RB,1,2019,LAC,IND,True,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
Derrick Henry,15.0,82.0,5.5,18.0,0.0,1.0,2.0,3.0,12.0,6.0,0.0,0.0,1.0,15.4,RB,2,2019,TEN,IND,True,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
Dion Lewis,3.0,9.0,3.0,4.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.4,RB,2,2019,TEN,IND,True,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
Devonta Freeman,16.0,88.0,5.5,28.0,2.0,0.0,3.0,4.0,7.0,2.3,0.0,0.0,1.0,9.5,RB,3,2019,ATL,IND,False,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
Kenjon Barner,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,0.4,RB,3,2019,ATL,IND,False,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
Ito Smith,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB,3,2019,ATL,IND,False,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
Josh Jacobs,17.0,79.0,4.6,16.0,0.0,0.0,2.0,2.0,29.0,14.5,0.0,0.0,1.0,10.8,RB,4,2019,LV,IND,False,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
DeAndre Washington,6.0,18.0,3.0,7.0,0.0,0.0,2.0,3.0,8.0,4.0,0.0,0.0,1.0,2.6,RB,4,2019,LV,IND,False,394.0,562.0,70.1,3982.0,7.5,248.9,61.0,29.0,15.0,41.0,249.0,98.0,383.0,1567.0,4.1,97.9,60.0,8.0,4.0,2.0,394.0,4231.0,10.7,264.4,61.0,29.0,4.0,4.0,323.0,93.0,207.0,23.0,85.0,199.0,42.7,8.0,19.0,42.1,111.0,1040.0
