rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Detroit Lions,41.0,21.0,13.0,17.0,7.0,1.0,0.0,16.0,308.0,19.3,1.1,DET,DST,2011
2.0,Green Bay Packers,29.0,31.0,7.0,12.0,5.0,0.0,2.0,16.0,295.0,18.4,60.6,GB,DST,2011
3.0,Chicago Bears,33.0,20.0,11.0,13.0,6.0,1.0,3.0,16.0,287.0,17.9,35.9,CHI,DST,2011
4.0,Seattle Seahawks,33.0,22.0,9.0,10.0,4.0,1.0,1.0,16.0,287.0,17.9,39.4,SEA,DST,2011
5.0,San Francisco 49ers,42.0,23.0,15.0,18.0,1.0,1.0,2.0,16.0,286.0,17.9,79.5,SF,DST,2011
6.0,Buffalo Bills,29.0,20.0,11.0,13.0,6.0,1.0,1.0,16.0,283.0,17.7,95.9,BUF,DST,2011
7.0,New England Patriots,40.0,23.0,11.0,10.0,3.0,0.0,1.0,16.0,283.0,17.7,93.2,NE,DST,2011
8.0,Baltimore Ravens,48.0,15.0,11.0,21.0,4.0,0.0,1.0,16.0,281.0,17.6,51.9,BAL,DST,2011
9.0,Philadelphia Eagles,50.0,15.0,9.0,9.0,4.0,1.0,0.0,16.0,280.0,17.5,52.5,PHI,DST,2011
10.0,New York Giants,48.0,20.0,11.0,10.0,1.0,2.0,0.0,16.0,272.0,17.0,4.5,NYG,DST,2011
11.0,New York Jets,35.0,19.0,12.0,15.0,2.0,3.0,2.0,16.0,270.0,16.9,3.3,NYJ,DST,2011
12.0,Cincinnati Bengals,45.0,10.0,12.0,16.0,3.0,1.0,1.0,16.0,267.0,16.7,14.7,CIN,DST,2011
13.0,Jacksonville Jaguars,31.0,17.0,11.0,16.0,3.0,0.0,1.0,16.0,266.0,16.6,6.9,JAC,DST,2011
14.0,Houston Texans,44.0,17.0,10.0,10.0,1.0,0.0,1.0,16.0,263.0,16.4,6.4,HOU,DST,2011
15.0,Atlanta Falcons,33.0,19.0,10.0,12.0,3.0,0.0,0.0,16.0,254.0,15.9,5.8,ATL,DST,2011
16.0,Kansas City Chiefs,29.0,20.0,6.0,12.0,2.0,0.0,0.0,16.0,253.0,15.8,45.7,KC,DST,2011
17.0,Minnesota Vikings,50.0,8.0,15.0,18.0,0.0,1.0,1.0,16.0,250.0,15.6,28.0,MIN,DST,2011
18.0,Miami Dolphins,41.0,16.0,3.0,6.0,1.0,0.0,0.0,16.0,250.0,15.6,60.2,MIA,DST,2011
19.0,Dallas Cowboys,42.0,15.0,9.0,12.0,1.0,0.0,0.0,16.0,249.0,15.6,82.9,DAL,DST,2011
20.0,Tampa Bay Buccaneers,23.0,14.0,10.0,13.0,4.0,1.0,0.0,16.0,249.0,15.6,98.0,TB,DST,2011
21.0,Washington Commanders,41.0,13.0,8.0,17.0,1.0,0.0,0.0,16.0,247.0,15.4,27.5,WAS,DST,2011
22.0,Denver Broncos,41.0,9.0,9.0,10.0,3.0,0.0,2.0,16.0,246.0,15.4,48.5,DEN,DST,2011
23.0,New Orleans Saints,33.0,9.0,7.0,14.0,3.0,0.0,1.0,16.0,245.0,15.3,79.3,NO,DST,2011
24.0,Arizona Cardinals,42.0,10.0,9.0,11.0,0.0,0.0,4.0,16.0,242.0,15.1,60.9,ARI,DST,2011
25.0,Carolina Panthers,31.0,14.0,10.0,10.0,0.0,2.0,1.0,16.0,240.0,15.0,27.8,CAR,DST,2011
26.0,Tennessee Titans,28.0,11.0,12.0,14.0,1.0,0.0,2.0,16.0,239.0,14.9,48.4,TEN,DST,2011
27.0,Pittsburgh Steelers,35.0,11.0,4.0,6.0,1.0,2.0,1.0,16.0,233.0,14.6,44.6,PIT,DST,2011
28.0,Indianapolis Colts,29.0,8.0,9.0,14.0,3.0,0.0,0.0,16.0,230.0,14.4,66.4,IND,DST,2011
29.0,Cleveland Browns,32.0,9.0,11.0,15.0,0.0,0.0,1.0,16.0,229.0,14.3,40.8,CLE,DST,2011
30.0,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,LV,DST,2011
31.0,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,LAC,DST,2011
32.0,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,LAR,DST,2011
