Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Aaron Rodgers(GB),343,502,68.3,"4,643",9.2,45,6,36,60,257,3,0,15,397.4,26.5,97.4%
2,Drew Brees(FA),468,657,71.2,"5,476",8.3,46,14,24,21,86,1,1,16,387.8,24.2,35.7%
3,Tom Brady(FA),401,611,65.6,"5,235",8.6,39,12,32,43,109,3,2,16,366.4,22.9,99.1%
4,Cam Newton(CAR),310,517,60.0,"4,051",7.8,21,17,35,126,706,14,2,16,365.4,22.8,20.3%
5,Matthew Stafford(LAR),421,663,63.5,"5,038",7.6,41,16,36,22,78,0,1,16,339.3,21.2,97.2%
6,Matt Ryan(ATL),347,566,61.3,"4,177",7.4,29,12,26,37,84,2,3,16,273.4,17.1,36.3%
7,Ryan Fitzpatrick(WAS),353,569,62.0,"3,832",6.7,24,23,22,56,215,0,2,16,220.8,13.8,6.1%
8,Ben Roethlisberger(FA),324,513,63.2,"4,077",7.9,21,14,40,31,70,0,5,15,215.9,14.4,23.8%
9,Alex Smith(FA),273,445,61.3,"3,144",7.1,17,5,44,52,179,2,2,16,209.8,13.1,5.0%
10,Andy Dalton(CHI),300,516,58.1,"3,398",6.6,20,13,24,37,152,1,2,16,207.3,13.0,1.6%
11,Joe Flacco(NYJ),312,542,57.6,"3,610",6.7,20,12,31,39,88,1,6,16,202.4,12.7,0.3%
12,Colt McCoy(ARI),265,463,57.2,"2,733",5.9,14,11,32,61,212,0,2,13,159.9,12.3,0.4%
13,Matt Schaub(FA),178,292,61.0,"2,479",8.5,15,6,16,15,9,2,1,10,158.0,15.8,0.0%
14,Matt Moore(FA),210,347,60.5,"2,497",7.2,16,9,36,32,65,2,6,13,152.5,11.7,0.0%
15,Blaine Gabbert(TB),210,413,50.8,"2,214",5.4,12,11,40,48,98,0,5,15,114.3,7.6,0.1%
16,Chad Henne(KC),64,112,57.1,868,7.8,4,4,11,15,112,1,0,4,59.9,15.0,0.1%
17,Joe Webb III(FA),34,63,54.0,376,6.0,3,2,3,22,154,2,1,11,49.4,4.5,0.0%
18,Josh McCown(FA),35,55,63.6,414,7.5,2,4,7,12,68,0,0,3,23.4,7.8,0.0%
19,Josh Johnson(BAL),19,36,52.8,246,6.8,1,2,3,11,67,0,1,9,14.6,1.6,1.1%
20,Luke McCown(FA),30,56,53.6,296,5.3,0,4,4,7,23,0,1,4,4.2,1.1,0.0%
21,Chase Daniel(LAC),4,5,80.0,29,5.8,0,0,0,3,-3,0,0,16,0.9,0.1,0.1%
22,Tyrod Taylor(HOU),1,1,100.0,18,18.0,0,0,2,1,2,0,0,3,0.9,0.3,4.9%
23,Brian Hoyer(NE),1,1,100.0,22,22.0,0,0,0,4,-3,0,0,3,0.6,0.2,0.0%
24,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
25,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
26,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
27,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
28,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
29,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
30,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
31,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
32,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
33,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
34,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
35,Daniel Jones(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6%
36,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
37,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
38,Jake Browning(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,Gardner Minshew II(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%
40,Kyler Murray(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3%
41,Jarrett Stidham(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
42,Justin Herbert(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8%
43,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,Drew Lock(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
45,David Blough(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
47,Tim Boyle(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
48,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
50,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
51,John Lovett(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
53,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
54,Bryce Perkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
57,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,Kellen Mond(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
59,Chris Streveler(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
60,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
61,Shane Buechele(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,Joe Burrow(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.3%
63,Tua Tagovailoa(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2%
64,Jacob Eason(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
65,Jake Fromm(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
66,Jordan Love(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
67,Jalen Hurts(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4%
68,Tyler Huntley(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7%
69,Ryan Willis(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
70,Danny Etling(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
71,Zach Wilson(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6%
72,Davis Mills(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%
73,Alex McGough(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,T.J. Yates(FA),82,134,61.2,949,7.1,3,3,15,14,57,0,3,6,0.0,0.0,0.0%
75,Jake Locker(FA),34,66,51.5,542,8.2,4,0,5,8,56,1,0,5,0.0,0.0,0.0%
76,Christian Ponder(FA),158,291,54.3,"1,853",6.4,13,13,30,28,219,0,2,11,0.0,0.0,0.0%
77,Colin Kaepernick(FA),3,5,60.0,35,7.0,0,0,0,2,-2,0,0,3,0.0,0.0,0.3%
78,Ben Chappell(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
79,Adam Froman(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
80,Hunter Cantwell(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,John David Booty(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
82,Erik Ainge(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
83,Stephen McGee(FA),24,38,63.2,182,4.8,1,0,3,4,28,0,0,1,0.0,0.0,0.0%
84,Mike Kafka(FA),11,16,68.8,107,6.7,0,2,1,3,0,0,0,4,0.0,0.0,0.0%
85,Levi Brown(FA),0,0,0,0,0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
86,Ryan Tannehill(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7%
