team,games,passing_cmp_against,passing_att_against,passing_cmp_percent_against,passing_yds_against,passing_ya_against,passing_yds_per_game_against,passing_longest_pass_against,passing_td_against,passing_int_against,passing_sack_against,sack_yards_lost,passer_rating,year
BUF,16,313,492,63.6,2867,6.3,179.2,43,22,16,36,217,82.6,2018
JAC,16,312,499,62.5,3113,6.7,194.6,78,17,11,37,241,84.4,2018
MIN,16,315,503,62.6,3140,7.0,196.3,70,15,12,50,361,83.3,2018
ARI,16,342,506,67.6,3262,7.1,203.9,64,21,7,49,333,96.1,2018
BAL,16,337,577,58.4,3360,6.3,210.0,64,21,12,43,291,80.6,2018
TEN,16,337,533,63.2,3471,7.0,216.9,75,21,11,39,248,88.4,2018
CHI,16,377,615,61.3,3515,6.3,219.7,75,22,27,50,339,72.9,2018
DET,16,323,496,65.1,3599,7.9,224.9,82,29,7,43,298,102.7,2018
LAC,16,351,548,64.1,3646,7.1,227.9,82,23,13,38,240,89.1,2018
PIT,16,362,566,64.0,3697,7.1,231.1,71,27,8,52,347,95.2,2018
SF,16,344,542,63.5,3732,7.3,233.3,75,35,2,37,227,105.4,2018
GB,16,336,527,63.8,3752,7.7,234.5,75,30,7,44,322,100.9,2018
DAL,16,367,542,67.7,3755,7.4,234.7,53,22,9,39,229,95.7,2018
LAR,16,347,533,65.1,3780,7.7,236.3,73,31,18,41,326,93.8,2018
WAS,16,362,537,67.4,3794,7.6,237.1,90,27,15,46,297,95.1,2018
IND,16,384,542,70.8,3805,7.4,237.8,80,21,15,38,228,93.5,2018
SEA,16,355,546,65.0,3842,7.5,240.1,75,26,12,43,261,94.3,2018
CAR,16,353,529,66.7,3847,7.7,240.4,75,32,13,35,215,99.6,2018
LV,16,299,480,62.3,3853,8.2,240.8,89,36,14,13,80,101.0,2018
DEN,16,353,549,64.3,3929,7.7,245.6,97,26,17,44,311,90.7,2018
MIA,16,335,508,65.9,3932,8.2,245.8,73,31,21,31,209,94.1,2018
NE,16,370,605,61.2,3943,6.9,246.4,75,29,18,30,238,85.4,2018
NYG,16,362,560,64.6,4044,7.6,252.8,79,24,16,30,185,89.8,2018
NYJ,16,367,582,63.1,4065,7.5,254.1,70,29,13,39,293,93.1,2018
CLE,16,393,626,62.8,4125,7.0,257.8,67,21,17,37,245,83.4,2018
TB,16,387,534,72.5,4151,8.2,259.4,75,34,9,38,232,110.9,2018
ATL,16,398,585,68.0,4153,7.5,259.6,58,33,15,37,255,98.3,2018
HOU,16,385,594,64.8,4167,7.5,260.4,83,28,15,43,310,92.7,2018
NO,16,384,573,67.0,4302,8.1,268.9,75,30,12,49,321,100.3,2018
PHI,16,417,626,66.6,4308,7.4,269.3,75,22,10,44,311,93.4,2018
KC,16,406,632,64.2,4374,7.5,273.4,49,30,15,52,347,92.7,2018
CIN,16,389,584,66.6,4414,7.9,275.9,72,32,12,34,173,100.0,2018
