Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Buffalo Bills,16,313,"3,084",9.9,192.8,43,22,4,2
Jacksonville Jaguars,16,312,"3,354",10.8,209.6,78,17,0,0
Minnesota Vikings,16,315,"3,501",11.1,218.8,70,15,1,0
Arizona Cardinals,16,342,"3,595",10.5,224.7,64,21,5,2
Baltimore Ravens,16,337,"3,651",10.8,228.2,64,21,4,2
Tennessee Titans,16,337,"3,719",11.0,232.4,75,21,4,2
Chicago Bears,16,377,"3,854",10.2,240.9,75,22,4,1
Los Angeles Chargers,16,351,"3,886",11.1,242.9,82,23,3,3
Detroit Lions,16,323,"3,897",12.1,243.6,82,29,2,1
Oakland Raiders,16,299,"3,933",13.2,245.8,89,36,1,1
San Francisco 49ers,16,344,"3,959",11.5,247.4,75,35,4,2
Dallas Cowboys,16,367,"3,984",10.9,249.0,53,22,5,2
Indianapolis Colts,16,384,"4,033",10.5,252.1,80,21,7,6
Pittsburgh Steelers,16,362,"4,044",11.2,252.8,71,27,2,2
Carolina Panthers,16,353,"4,062",11.5,253.9,75,32,2,2
Green Bay Packers,16,336,"4,074",12.1,254.6,75,30,3,1
Washington Redskins,16,362,"4,091",11.3,255.7,90,27,9,5
Seattle Seahawks,16,355,"4,103",11.6,256.4,75,26,5,1
Los Angeles Rams,16,347,"4,106",11.8,256.6,73,31,2,2
Miami Dolphins,16,335,"4,141",12.4,258.8,73,31,7,3
New England Patriots,16,370,"4,181",11.3,261.3,75,29,5,3
New York Giants,16,362,"4,229",11.7,264.3,79,24,4,4
Denver Broncos,16,353,"4,240",12.0,265.0,97,26,3,2
New York Jets,16,367,"4,358",11.9,272.4,70,29,3,1
Cleveland Browns,16,393,"4,370",11.1,273.1,67,21,8,7
Tampa Bay Buccaneers,16,387,"4,383",11.3,273.9,75,34,4,2
Atlanta Falcons,16,398,"4,408",11.1,275.5,58,33,1,1
Houston Texans,16,385,"4,477",11.6,279.8,83,28,6,4
Cincinnati Bengals,16,389,"4,587",11.8,286.7,72,32,3,1
Philadelphia Eagles,16,417,"4,619",11.1,288.7,75,22,3,2
New Orleans Saints,16,384,"4,623",12.0,288.9,75,30,9,6
Kansas City Chiefs,16,406,"4,721",11.6,295.1,49,30,3,0
