Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Chicago Bears,16,339,"1,280",3.8,80.0,32,5,5,4
New Orleans Saints,16,356,"1,283",3.6,80.2,28,12,4,2
Houston Texans,16,385,"1,323",3.4,82.7,39,8,6,4
Baltimore Ravens,16,354,"1,327",3.7,82.9,35,11,2,1
Dallas Cowboys,16,400,"1,513",3.8,94.6,68,12,7,4
Pittsburgh Steelers,16,369,"1,538",4.2,96.1,51,13,5,1
Philadelphia Eagles,16,332,"1,551",4.7,96.9,90,14,6,1
Indianapolis Colts,16,415,"1,626",3.9,101.6,34,12,5,2
Los Angeles Chargers,16,395,"1,693",4.3,105.8,43,11,6,2
Detroit Lions,16,403,"1,761",4.4,110.1,70,11,5,1
New England Patriots,16,367,"1,803",4.9,112.7,54,7,8,5
Carolina Panthers,16,384,"1,804",4.7,112.8,60,13,9,4
Seattle Seahawks,16,366,"1,811",4.9,113.2,59,9,7,5
San Francisco 49ers,16,444,"1,814",4.1,113.4,34,13,6,2
Minnesota Vikings,16,440,"1,815",4.1,113.4,75,13,12,6
Buffalo Bills,16,440,"1,839",4.2,114.9,43,17,10,3
Washington Redskins,16,413,"1,860",4.5,116.3,78,12,3,1
Tennessee Titans,16,429,"1,863",4.3,116.4,97,9,2,0
Jacksonville Jaguars,16,434,"1,870",4.3,116.9,99,16,5,2
New York Giants,16,444,"1,898",4.3,118.6,64,18,7,1
Denver Broncos,16,429,"1,913",4.5,119.6,77,11,6,2
Green Bay Packers,16,446,"1,918",4.3,119.9,41,15,6,4
Los Angeles Rams,16,386,"1,957",5.1,122.3,51,12,4,3
Tampa Bay Buccaneers,16,426,"1,983",4.7,123.9,53,19,5,2
Atlanta Falcons,16,409,"1,999",4.9,124.9,92,16,10,0
New York Jets,16,440,"2,021",4.6,126.3,38,16,4,2
Kansas City Chiefs,16,425,"2,114",5.0,132.1,30,19,6,4
Cleveland Browns,16,459,"2,163",4.7,135.2,52,20,6,2
Cincinnati Bengals,16,466,"2,204",4.7,137.8,65,17,3,2
Oakland Raiders,16,480,"2,249",4.7,140.6,63,16,6,1
Miami Dolphins,16,485,"2,325",4.8,145.3,71,17,3,1
Arizona Cardinals,16,510,"2,479",4.9,154.9,65,25,3,1
