Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Seattle Seahawks,16,534,"2,560",4.8,160.0,61,15,6,2
Baltimore Ravens,16,547,"2,441",4.5,152.6,43,19,16,6
Los Angeles Rams,16,459,"2,231",4.9,139.4,56,23,2,0
Carolina Panthers,16,416,"2,136",5.1,133.5,59,17,7,2
New England Patriots,16,478,"2,037",4.3,127.3,34,18,2,1
New Orleans Saints,16,471,"2,025",4.3,126.6,49,26,7,4
Tennessee Titans,16,454,"2,023",4.5,126.4,99,15,4,2
Houston Texans,16,472,"2,021",4.3,126.3,97,12,4,1
Buffalo Bills,16,468,"1,984",4.2,124.0,45,15,7,1
Dallas Cowboys,16,439,"1,963",4.5,122.7,41,13,10,2
Chicago Bears,16,468,"1,938",4.1,121.1,42,16,9,4
Denver Broncos,16,393,"1,907",4.9,119.2,65,18,4,2
San Francisco 49ers,16,423,"1,902",4.5,118.9,66,7,13,6
Cleveland Browns,16,411,"1,893",4.6,118.3,92,15,6,1
Los Angeles Chargers,16,399,"1,873",4.7,117.1,41,16,2,0
Kansas City Chiefs,16,387,"1,855",4.8,115.9,45,16,4,1
Washington Redskins,16,414,"1,774",4.3,110.9,90,12,6,1
Miami Dolphins,16,371,"1,738",4.7,108.6,75,7,7,5
Jacksonville Jaguars,16,416,"1,723",4.1,107.7,43,7,5,4
Indianapolis Colts,16,408,"1,718",4.2,107.4,53,13,5,3
Cincinnati Bengals,16,359,"1,682",4.7,105.1,51,13,2,0
Green Bay Packers,16,333,"1,667",5.0,104.2,67,14,4,1
Detroit Lions,16,404,"1,660",4.1,103.8,71,11,3,2
New York Giants,16,354,"1,650",4.7,103.1,78,13,0,0
Oakland Raiders,16,387,"1,628",4.2,101.8,52,9,8,6
New York Jets,16,410,"1,622",4.0,101.4,77,11,9,5
Atlanta Falcons,16,351,"1,573",4.5,98.3,65,11,4,1
Philadelphia Eagles,16,398,"1,570",3.9,98.1,32,12,5,2
Tampa Bay Buccaneers,16,389,"1,523",3.9,95.2,28,11,5,2
Minnesota Vikings,16,357,"1,493",4.2,93.3,70,9,6,4
Pittsburgh Steelers,16,345,"1,445",4.2,90.3,30,16,4,2
Arizona Cardinals,16,355,"1,342",3.8,83.9,53,9,6,2
