Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
Los Angeles Rams,16,401,134,236,31,86,191,45.0,6,15,40.0,96,878
Tampa Bay Buccaneers,16,388,80,265,43,86,187,46.0,9,13,69.2,117,975
Kansas City Chiefs,16,384,108,239,37,83,176,47.2,12,15,80.0,137,"1,152"
Pittsburgh Steelers,16,378,88,251,39,88,198,44.4,9,14,64.3,111,"1,026"
New Orleans Saints,16,377,134,210,33,82,184,44.6,13,16,81.3,94,939
Indianapolis Colts,16,371,96,237,38,104,214,48.6,7,15,46.7,120,953
Baltimore Ravens,16,367,153,184,30,104,231,45.0,13,22,59.1,116,940
New England Patriots,16,365,131,206,28,82,201,40.8,7,14,50.0,93,744
Carolina Panthers,16,356,117,212,27,77,185,41.6,9,19,47.4,92,818
Atlanta Falcons,16,352,84,238,30,92,203,45.3,10,19,52.6,101,899
Philadelphia Eagles,16,346,94,221,31,84,205,41.0,14,23,60.9,100,852
San Francisco 49ers,16,344,98,201,45,73,193,37.8,5,10,50.0,112,982
Los Angeles Chargers,16,338,100,213,25,70,177,39.6,7,8,87.5,113,967
Houston Texans,16,333,94,202,37,77,208,37.0,8,12,66.7,105,787
Green Bay Packers,16,332,98,208,26,75,204,36.8,10,20,50.0,108,937
Chicago Bears,16,331,108,177,46,82,200,41.0,9,15,60.0,97,796
Seattle Seahawks,16,329,133,156,40,81,208,38.9,11,14,78.6,111,959
Detroit Lions,16,325,91,201,33,75,208,36.1,11,18,61.1,94,852
Dallas Cowboys,16,322,113,184,25,89,215,41.4,12,21,57.1,104,885
Denver Broncos,16,320,107,181,32,69,207,33.3,15,25,60.0,125,985
Cleveland Browns,16,314,93,189,32,73,208,35.1,9,21,42.9,112,894
Minnesota Vikings,16,310,66,218,26,73,204,35.8,9,21,42.9,92,779
Cincinnati Bengals,16,304,92,182,30,69,187,36.9,9,17,52.9,114,957
Oakland Raiders,16,300,86,197,17,73,197,37.1,7,16,43.8,110,965
New York Giants,16,297,71,208,18,76,206,36.9,12,20,60.0,114,951
Tennessee Titans,16,289,106,156,27,82,205,40.0,7,12,58.3,82,727
Buffalo Bills,16,283,108,137,38,68,215,31.6,7,18,38.9,116,992
Washington Redskins,16,280,96,156,28,75,206,36.4,10,18,55.6,115,"1,008"
Jacksonville Jaguars,16,277,92,164,21,93,230,40.4,8,17,47.1,121,"1,112"
New York Jets,16,258,84,157,17,69,214,32.2,11,22,50.0,114,948
Miami Dolphins,16,252,75,153,24,56,186,30.1,8,13,61.5,108,978
Arizona Cardinals,16,239,76,137,26,58,199,29.2,6,16,37.5,101,786
