rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Green Bay Packers,3,2,2,0,2,0,1,1,24.0,24.0,60.6,GB,DST,11,2014
2,Tampa Bay Buccaneers,6,2,1,2,1,0,0,1,22.0,22.0,98.0,TB,DST,11,2014
3,San Francisco 49ers,2,5,0,1,0,0,0,1,16.0,16.0,79.5,SF,DST,11,2014
4,Arizona Cardinals,4,1,0,1,0,0,0,1,13.0,13.0,60.9,ARI,DST,11,2014
5,Houston Texans,3,1,1,2,0,0,0,1,11.0,11.0,6.4,HOU,DST,11,2014
6,Buffalo Bills,5,0,2,1,0,0,0,1,9.0,9.0,95.9,BUF,DST,11,2014
7,Pittsburgh Steelers,0,1,0,0,1,0,0,1,8.0,8.0,44.6,PIT,DST,11,2014
8,Atlanta Falcons,2,2,0,0,0,0,0,1,8.0,8.0,5.8,ATL,DST,11,2014
9,Miami Dolphins,2,0,0,0,0,1,0,1,8.0,8.0,60.2,MIA,DST,11,2014
10,Chicago Bears,2,1,0,0,0,0,0,1,8.0,8.0,35.9,CHI,DST,11,2014
11,Tennessee Titans,5,1,0,0,0,0,0,1,7.0,7.0,48.4,TEN,DST,11,2014
12,Cincinnati Bengals,0,0,1,1,0,0,0,1,6.0,6.0,14.7,CIN,DST,11,2014
13,Carolina Panthers,2,0,1,1,0,0,0,1,5.0,5.0,27.8,CAR,DST,11,2014
14,Detroit Lions,0,2,0,0,0,0,0,1,5.0,5.0,1.1,DET,DST,11,2014
15,Washington Commanders,2,0,1,1,0,0,0,1,4.0,4.0,27.5,WAS,DST,11,2014
16,New England Patriots,1,1,0,1,0,0,0,1,4.0,4.0,93.2,NE,DST,11,2014
17,Seattle Seahawks,0,0,2,2,0,0,0,1,4.0,4.0,39.4,SEA,DST,11,2014
18,New York Giants,1,0,1,0,0,0,0,1,4.0,4.0,4.5,NYG,DST,11,2014
19,Minnesota Vikings,0,2,0,0,0,0,0,1,4.0,4.0,28.0,MIN,DST,11,2014
20,Kansas City Chiefs,2,0,0,0,0,0,0,1,3.0,3.0,45.7,KC,DST,11,2014
21,Denver Broncos,3,0,0,1,0,0,0,1,3.0,3.0,48.5,DEN,DST,11,2014
22,Cleveland Browns,0,1,0,0,0,0,0,1,2.0,2.0,40.8,CLE,DST,11,2014
23,New Orleans Saints,1,0,0,2,0,0,0,1,1.0,1.0,79.3,NO,DST,11,2014
24,New York Jets,0,0,0,0,0,0,0,0,0.0,0.0,3.3,NYJ,DST,11,2014
25,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,11,2014
26,Jacksonville Jaguars,0,0,0,0,0,0,0,0,0.0,0.0,6.9,JAC,DST,11,2014
27,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,11,2014
28,Indianapolis Colts,0,2,0,0,0,0,0,1,0.0,0.0,66.4,IND,DST,11,2014
29,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,11,2014
30,Baltimore Ravens,0,0,0,0,0,0,0,0,0.0,0.0,51.9,BAL,DST,11,2014
31,Dallas Cowboys,0,0,0,0,0,0,0,0,0.0,0.0,82.9,DAL,DST,11,2014
32,Philadelphia Eagles,1,0,0,1,0,0,0,1,-1.0,-1.0,52.5,PHI,DST,11,2014
