rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Green Bay Packers,6,2,1,1,1,0,0,1,22.0,22.0,60.6,GB,DST,5,2014
2,Philadelphia Eagles,4,0,3,3,1,0,1,1,22.0,22.0,52.5,PHI,DST,5,2014
3,Pittsburgh Steelers,1,2,0,0,1,0,0,1,15.0,15.0,44.6,PIT,DST,5,2014
4,Buffalo Bills,6,1,1,2,0,0,0,1,14.0,14.0,95.9,BUF,DST,5,2014
5,New England Patriots,1,0,3,2,1,0,0,1,14.0,14.0,93.2,NE,DST,5,2014
6,Indianapolis Colts,4,1,2,1,0,0,0,1,14.0,14.0,66.4,IND,DST,5,2014
7,Carolina Panthers,4,2,2,2,0,0,1,1,12.0,12.0,27.8,CAR,DST,5,2014
8,Detroit Lions,2,1,0,1,1,0,0,1,11.0,11.0,1.1,DET,DST,5,2014
9,Baltimore Ravens,1,2,2,2,0,0,0,1,10.0,10.0,51.9,BAL,DST,5,2014
10,Jacksonville Jaguars,4,0,1,1,0,0,0,1,10.0,10.0,6.9,JAC,DST,5,2014
11,Tampa Bay Buccaneers,0,3,0,0,1,0,0,1,8.0,8.0,98.0,TB,DST,5,2014
12,Houston Texans,1,1,2,1,0,0,0,1,8.0,8.0,6.4,HOU,DST,5,2014
13,Chicago Bears,2,1,2,2,0,0,0,1,7.0,7.0,35.9,CHI,DST,5,2014
14,Cleveland Browns,3,0,0,0,0,1,0,1,5.0,5.0,40.8,CLE,DST,5,2014
15,New Orleans Saints,1,1,0,1,0,1,0,1,5.0,5.0,79.3,NO,DST,5,2014
16,Denver Broncos,3,0,0,0,0,0,0,1,4.0,4.0,48.5,DEN,DST,5,2014
17,Atlanta Falcons,1,0,2,0,0,0,0,1,4.0,4.0,5.8,ATL,DST,5,2014
18,New York Giants,1,1,0,1,0,0,0,1,4.0,4.0,4.5,NYG,DST,5,2014
19,New York Jets,3,1,0,0,0,0,0,1,4.0,4.0,3.3,NYJ,DST,5,2014
20,Dallas Cowboys,0,1,0,0,0,0,0,1,3.0,3.0,82.9,DAL,DST,5,2014
21,Kansas City Chiefs,3,0,0,1,0,0,0,1,3.0,3.0,45.7,KC,DST,5,2014
22,San Francisco 49ers,0,1,0,1,0,0,0,1,3.0,3.0,79.5,SF,DST,5,2014
23,Washington Commanders,3,0,0,0,0,0,0,1,3.0,3.0,27.5,WAS,DST,5,2014
24,Seattle Seahawks,1,0,0,1,0,0,0,1,2.0,2.0,39.4,SEA,DST,5,2014
25,Tennessee Titans,1,1,0,0,0,0,0,1,2.0,2.0,48.4,TEN,DST,5,2014
26,Arizona Cardinals,1,2,0,0,0,0,0,1,1.0,1.0,60.9,ARI,DST,5,2014
27,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,5,2014
28,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,5,2014
29,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,5,2014
30,Minnesota Vikings,2,1,0,0,0,0,0,1,0.0,0.0,28.0,MIN,DST,5,2014
31,Miami Dolphins,0,0,0,0,0,0,0,0,0.0,0.0,60.2,MIA,DST,5,2014
32,Cincinnati Bengals,1,0,0,0,0,0,0,1,-3.0,-3.0,14.7,CIN,DST,5,2014
