rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Detroit Lions,8,3,0,1,0,0,0,1,21.0,21.0,1.1,DET,DST,6,2014
2,Philadelphia Eagles,8,0,1,3,0,0,0,1,20.0,20.0,52.5,PHI,DST,6,2014
3,Arizona Cardinals,2,3,1,1,1,0,0,1,17.0,17.0,60.9,ARI,DST,6,2014
4,Denver Broncos,4,1,1,0,1,0,0,1,15.0,15.0,48.5,DEN,DST,6,2014
5,San Francisco 49ers,5,1,0,1,1,0,0,1,14.0,14.0,79.5,SF,DST,6,2014
6,Tennessee Titans,6,1,1,1,0,0,0,1,12.0,12.0,48.4,TEN,DST,6,2014
7,Houston Texans,3,1,1,0,1,0,0,1,12.0,12.0,6.4,HOU,DST,6,2014
8,New England Patriots,5,1,2,2,0,0,0,1,11.0,11.0,93.2,NE,DST,6,2014
9,Seattle Seahawks,1,0,2,0,0,0,1,1,11.0,11.0,39.4,SEA,DST,6,2014
10,Chicago Bears,4,1,0,1,0,0,0,1,10.0,10.0,35.9,CHI,DST,6,2014
11,Indianapolis Colts,5,0,2,2,0,0,0,1,9.0,9.0,66.4,IND,DST,6,2014
12,Cleveland Browns,2,1,0,0,0,0,0,1,8.0,8.0,40.8,CLE,DST,6,2014
13,Baltimore Ravens,5,1,0,1,0,0,0,1,8.0,8.0,51.9,BAL,DST,6,2014
14,Green Bay Packers,1,2,1,1,0,0,0,1,7.0,7.0,60.6,GB,DST,6,2014
15,Minnesota Vikings,4,0,0,0,0,0,0,1,5.0,5.0,28.0,MIN,DST,6,2014
16,New York Giants,1,2,0,0,0,0,0,1,5.0,5.0,4.5,NYG,DST,6,2014
17,Dallas Cowboys,2,1,0,0,0,0,0,1,5.0,5.0,82.9,DAL,DST,6,2014
18,Miami Dolphins,3,0,0,1,0,0,0,1,4.0,4.0,60.2,MIA,DST,6,2014
19,Jacksonville Jaguars,3,0,0,1,0,0,0,1,4.0,4.0,6.9,JAC,DST,6,2014
20,Atlanta Falcons,2,0,0,0,0,0,0,1,3.0,3.0,5.8,ATL,DST,6,2014
21,New York Jets,2,0,0,1,0,0,0,1,2.0,2.0,3.3,NYJ,DST,6,2014
22,Pittsburgh Steelers,1,0,1,1,0,0,0,1,2.0,2.0,44.6,PIT,DST,6,2014
23,Carolina Panthers,1,2,0,0,0,0,0,1,1.0,1.0,27.8,CAR,DST,6,2014
24,Washington Commanders,1,0,0,1,0,0,0,1,1.0,1.0,27.5,WAS,DST,6,2014
25,New Orleans Saints,0,0,0,0,0,0,0,0,0.0,0.0,79.3,NO,DST,6,2014
26,Kansas City Chiefs,0,0,0,0,0,0,0,0,0.0,0.0,45.7,KC,DST,6,2014
27,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,6,2014
28,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,6,2014
29,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,6,2014
30,Tampa Bay Buccaneers,0,0,1,0,0,0,0,1,-1.0,-1.0,98.0,TB,DST,6,2014
31,Cincinnati Bengals,0,1,0,0,0,0,0,1,-2.0,-2.0,14.7,CIN,DST,6,2014
32,Buffalo Bills,2,0,0,0,0,0,0,1,-2.0,-2.0,95.9,BUF,DST,6,2014
