rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Carolina Panthers,6,2,1,1,2,0,0,1,31.0,31.0,27.8,CAR,DST,17,2014
2,Seattle Seahawks,4,2,0,2,1,0,0,1,21.0,21.0,39.4,SEA,DST,17,2014
3,Dallas Cowboys,3,2,2,2,1,0,0,1,18.0,18.0,82.9,DAL,DST,17,2014
4,Kansas City Chiefs,7,2,1,1,0,0,0,1,17.0,17.0,45.7,KC,DST,17,2014
5,Denver Broncos,3,1,1,1,1,0,0,1,14.0,14.0,48.5,DEN,DST,17,2014
6,Jacksonville Jaguars,3,1,1,1,1,0,0,1,13.0,13.0,6.9,JAC,DST,17,2014
7,Baltimore Ravens,4,1,1,0,0,0,0,1,12.0,12.0,51.9,BAL,DST,17,2014
8,Houston Texans,5,0,0,1,0,1,0,1,11.0,11.0,6.4,HOU,DST,17,2014
9,Pittsburgh Steelers,3,2,1,1,0,0,1,1,10.0,10.0,44.6,PIT,DST,17,2014
10,Indianapolis Colts,4,0,1,3,0,0,0,1,10.0,10.0,66.4,IND,DST,17,2014
11,San Francisco 49ers,2,3,0,0,0,0,0,1,9.0,9.0,79.5,SF,DST,17,2014
12,Chicago Bears,3,1,0,0,0,0,0,1,9.0,9.0,35.9,CHI,DST,17,2014
13,Philadelphia Eagles,0,1,0,0,0,0,1,1,9.0,9.0,52.5,PHI,DST,17,2014
14,New York Jets,7,0,1,1,0,0,0,1,9.0,9.0,3.3,NYJ,DST,17,2014
15,New Orleans Saints,3,1,0,0,0,1,0,1,8.0,8.0,79.3,NO,DST,17,2014
16,Tampa Bay Buccaneers,2,3,0,1,0,0,0,1,8.0,8.0,98.0,TB,DST,17,2014
17,Buffalo Bills,4,0,0,0,0,0,0,1,8.0,8.0,95.9,BUF,DST,17,2014
18,Green Bay Packers,2,0,1,1,0,1,1,1,7.0,7.0,60.6,GB,DST,17,2014
19,Minnesota Vikings,2,0,0,0,0,0,0,1,6.0,6.0,28.0,MIN,DST,17,2014
20,Cincinnati Bengals,0,2,1,0,0,0,0,1,6.0,6.0,14.7,CIN,DST,17,2014
21,New England Patriots,2,0,1,1,0,0,0,1,5.0,5.0,93.2,NE,DST,17,2014
22,New York Giants,4,1,0,0,0,0,0,1,5.0,5.0,4.5,NYG,DST,17,2014
23,Detroit Lions,1,0,2,1,0,0,0,1,5.0,5.0,1.1,DET,DST,17,2014
24,Cleveland Browns,1,0,0,2,0,0,0,1,2.0,2.0,40.8,CLE,DST,17,2014
25,Arizona Cardinals,1,0,0,0,0,0,0,1,2.0,2.0,60.9,ARI,DST,17,2014
26,Atlanta Falcons,1,0,0,0,0,0,0,1,1.0,1.0,5.8,ATL,DST,17,2014
27,Tennessee Titans,1,0,0,1,0,0,0,1,1.0,1.0,48.4,TEN,DST,17,2014
28,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,17,2014
29,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,17,2014
30,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,17,2014
31,Miami Dolphins,1,0,1,1,0,0,0,1,-1.0,-1.0,60.2,MIA,DST,17,2014
32,Washington Commanders,0,1,0,0,0,0,0,1,-2.0,-2.0,27.5,WAS,DST,17,2014
