rank,player,defense_sacks,defense_ints,fumble_recovery,fumble_forced,defense_td,defense_safety,defense_spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Miami Dolphins,4,3,1,1,0,0,0,1,22.0,22.0,60.2,MIA,DST,9,2014
2,Houston Texans,4,3,1,0,1,0,0,1,17.0,17.0,6.4,HOU,DST,9,2014
3,Seattle Seahawks,1,2,1,3,1,0,0,1,13.0,13.0,39.4,SEA,DST,9,2014
4,New Orleans Saints,4,1,1,1,0,0,0,1,12.0,12.0,79.3,NO,DST,9,2014
5,Arizona Cardinals,1,2,0,0,0,0,0,1,10.0,10.0,60.9,ARI,DST,9,2014
6,Dallas Cowboys,2,1,0,1,1,0,0,1,9.0,9.0,82.9,DAL,DST,9,2014
7,San Francisco 49ers,1,2,0,0,0,0,0,1,9.0,9.0,79.5,SF,DST,9,2014
8,Cleveland Browns,2,2,0,0,0,0,0,1,8.0,8.0,40.8,CLE,DST,9,2014
9,Tampa Bay Buccaneers,4,2,0,0,0,0,0,1,8.0,8.0,98.0,TB,DST,9,2014
10,Pittsburgh Steelers,4,1,1,1,0,0,0,1,8.0,8.0,44.6,PIT,DST,9,2014
11,Carolina Panthers,4,1,1,3,0,0,0,1,7.0,7.0,27.8,CAR,DST,9,2014
12,Kansas City Chiefs,3,0,0,0,0,0,0,1,7.0,7.0,45.7,KC,DST,9,2014
13,Minnesota Vikings,5,1,0,0,0,0,0,1,7.0,7.0,28.0,MIN,DST,9,2014
14,Cincinnati Bengals,2,1,0,0,0,1,0,1,7.0,7.0,14.7,CIN,DST,9,2014
15,Philadelphia Eagles,4,1,0,1,0,0,0,1,7.0,7.0,52.5,PHI,DST,9,2014
16,New England Patriots,1,2,0,0,0,0,1,1,5.0,5.0,93.2,NE,DST,9,2014
17,Indianapolis Colts,3,0,1,3,0,0,0,1,5.0,5.0,66.4,IND,DST,9,2014
18,Jacksonville Jaguars,2,2,0,1,0,0,0,1,5.0,5.0,6.9,JAC,DST,9,2014
19,New York Jets,1,0,0,1,0,0,0,1,1.0,1.0,3.3,NYJ,DST,9,2014
20,Baltimore Ravens,3,0,1,0,0,0,1,1,1.0,1.0,51.9,BAL,DST,9,2014
21,Washington Commanders,2,0,0,0,0,0,0,1,1.0,1.0,27.5,WAS,DST,9,2014
22,Las Vegas Raiders,0,0,0,0,0,0,0,0,0.0,0.0,7.6,LV,DST,9,2014
23,Buffalo Bills,0,0,0,0,0,0,0,0,0.0,0.0,95.9,BUF,DST,9,2014
24,Atlanta Falcons,0,0,0,0,0,0,0,0,0.0,0.0,5.8,ATL,DST,9,2014
25,Los Angeles Chargers,0,0,0,0,0,0,0,0,0.0,0.0,44.3,LAC,DST,9,2014
26,Green Bay Packers,0,0,0,0,0,0,0,0,0.0,0.0,60.6,GB,DST,9,2014
27,Detroit Lions,0,0,0,0,0,0,0,0,0.0,0.0,1.1,DET,DST,9,2014
28,Los Angeles Rams,0,0,0,0,0,0,0,0,0.0,0.0,74.5,LAR,DST,9,2014
29,Tennessee Titans,0,0,0,0,0,0,0,0,0.0,0.0,48.4,TEN,DST,9,2014
30,Chicago Bears,0,0,0,0,0,0,0,0,0.0,0.0,35.9,CHI,DST,9,2014
31,Denver Broncos,1,1,0,1,0,0,0,1,-1.0,-1.0,48.5,DEN,DST,9,2014
32,New York Giants,1,0,0,1,0,0,0,1,-3.0,-3.0,4.5,NYG,DST,9,2014
