player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Austin Hooper,2.0,2.0,128.0,64.0,88.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,18.8,TE,1,2017,ATL,CHI,False,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
Cameron Brate,2.0,3.0,24.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,TE,2,2017,TB,CHI,True,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
O.J. Howard,1.0,3.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,TE,2,2017,TB,CHI,True,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
Alan Cross,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,2,2017,TB,CHI,True,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
Jesse James,2.0,4.0,19.0,9.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,TE,3,2017,PIT,CHI,False,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
Martellus Bennett,6.0,7.0,39.0,6.5,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,TE,4,2017,GB,CHI,True,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
Lance Kendricks,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,4,2017,GB,CHI,True,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
Kyle Rudolph,6.0,9.0,45.0,7.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.5,TE,5,2017,MIN,CHI,False,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
Nick Boyle,2.0,3.0,15.0,7.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,TE,6,2017,BAL,CHI,True,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
Maxx Williams,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.4,TE,6,2017,BAL,CHI,True,343.0,529.0,64.8,3376.0,6.9,211.0,88.0,18.0,8.0,42.0,277.0,89.9,432.0,1730.0,4.0,108.1,58.0,10.0,8.0,6.0,343.0,3653.0,10.7,228.3,88.0,18.0,4.0,4.0,298.0,85.0,180.0,33.0,86.0,219.0,39.3,6.0,11.0,54.6,118.0,910.0
