player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
Danny Amendola,WR,1.0,32.0,40.0,0.0,22.0,19.0,22.0,10.0,31.3,1,2017,6.0,7.0,100.0,16.7,27.0,3.0,0.0,0.0,0.0,0.0,0.0,NE,KC,True
Chris Hogan,WR,1.0,73.0,90.0,4.0,7.0,5.0,11.0,2.5,3.4,1,2017,1.0,5.0,8.0,8.0,8.0,0.0,0.0,3.0,17.0,0.0,0.0,NE,KC,True
Brandin Cooks,WR,1.0,67.0,83.0,0.0,10.0,4.0,10.0,8.8,13.1,1,2017,3.0,7.0,88.0,29.3,54.0,1.0,0.0,0.0,0.0,0.0,0.0,NE,KC,True
Phillip Dorsett II,WR,1.0,18.0,22.0,0.0,6.0,0.0,6.0,0.0,0.0,1,2017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,KC,True
Larry Fitzgerald,WR,1.0,74.0,99.0,0.0,18.0,8.0,18.0,7.4,10.0,1,2017,6.0,13.0,74.0,12.3,33.0,1.0,0.0,0.0,0.0,0.0,0.0,ARI,DET,False
John Brown,WR,1.0,63.0,84.0,2.0,14.0,8.0,16.0,4.2,6.7,1,2017,4.0,9.0,32.0,8.0,12.0,0.0,0.0,1.0,10.0,0.0,0.0,ARI,DET,False
J.J. Nelson,WR,1.0,30.0,40.0,0.0,20.0,17.0,20.0,10.3,34.3,1,2017,5.0,6.0,43.0,8.6,14.0,0.0,1.0,0.0,0.0,0.0,0.0,ARI,DET,False
Jaron Brown,WR,1.0,,,,,,,0.0,,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,DET,False
Michael Crabtree,WR,1.0,48.0,73.0,0.0,15.0,13.0,15.0,8.3,17.3,1,2017,6.0,7.0,83.0,13.8,25.0,1.0,0.0,0.0,0.0,0.0,0.0,LV,TEN,False
Seth Roberts,WR,1.0,55.0,83.0,0.0,2.0,2.0,2.0,7.9,14.4,1,2017,1.0,1.0,19.0,19.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,LV,TEN,False
Amari Cooper,WR,1.0,61.0,92.0,0.0,21.0,8.0,21.0,12.2,20.0,1,2017,5.0,13.0,62.0,12.4,23.0,1.0,1.0,0.0,0.0,0.0,0.0,LV,TEN,False
Johnny Holton,WR,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,TEN,False
Ted Ginn Jr.,WR,1.0,42.0,68.0,2.0,12.0,12.0,14.0,5.8,13.8,1,2017,4.0,5.0,53.0,13.3,27.0,1.0,0.0,1.0,5.0,0.0,0.0,NO,MIN,False
Michael Thomas,WR,1.0,58.0,94.0,0.0,14.0,9.0,14.0,4.5,7.8,1,2017,5.0,8.0,45.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,MIN,False
Tommylee Lewis,WR,1.0,11.0,18.0,0.0,27.0,18.0,27.0,5.2,47.3,1,2017,2.0,3.0,52.0,26.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,NO,MIN,False
Ty Montgomery,WR,1.0,,,,,,,0.0,,1,2017,4.0,4.0,39.0,9.8,20.0,1.0,0.0,19.0,54.0,1.0,0.0,NO,MIN,False
Dez Bryant,WR,1.0,67.0,91.0,0.0,13.0,3.0,13.0,4.3,6.4,1,2017,2.0,9.0,43.0,21.5,35.0,1.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Cole Beasley,WR,1.0,52.0,70.0,0.0,10.0,6.0,10.0,3.2,6.2,1,2017,3.0,5.0,32.0,10.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Ryan Switzer,WR,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Golden Tate,WR,1.0,63.0,88.0,3.0,19.0,19.0,22.0,11.4,18.1,1,2017,10.0,12.0,107.0,10.7,19.0,0.0,0.0,2.0,7.0,0.0,0.0,DET,ARI,True
Marvin Jones Jr.,WR,1.0,68.0,94.0,0.0,3.0,3.0,3.0,9.7,14.3,1,2017,2.0,2.0,37.0,18.5,31.0,1.0,1.0,0.0,0.0,0.0,0.0,DET,ARI,True
Kenny Golladay,WR,1.0,44.0,61.0,0.0,16.0,9.0,16.0,18.9,43.0,1,2017,4.0,7.0,69.0,17.3,45.0,1.0,2.0,0.0,0.0,0.0,0.0,DET,ARI,True
Jamal Agnew,WR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,ARI,True
Kalif Raymond,WR,1.0,,,,,,,0.0,,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,ARI,True
Andre Roberts,WR,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Julio Jones,WR,1.0,48.0,81.0,0.0,10.0,8.0,10.0,6.6,13.8,1,2017,4.0,5.0,66.0,16.5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Mohamed Sanu Sr.,WR,1.0,48.0,81.0,0.0,19.0,13.0,19.0,4.7,9.8,1,2017,6.0,9.0,47.0,7.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Taylor Gabriel,WR,1.0,31.0,53.0,0.0,13.0,10.0,13.0,3.6,11.6,1,2017,3.0,4.0,36.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Justin Hardy,WR,1.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Cordarrelle Patterson,WR,1.0,,,,,,,0.7,,1,2017,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,ATL,CHI,False
Emmanuel Sanders,WR,1.0,53.0,78.0,0.0,11.0,6.0,11.0,2.6,4.9,1,2017,3.0,6.0,26.0,8.7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,DEN,LAC,True
Cody Latimer,WR,1.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,LAC,True
Bennie Fowler III,WR,1.0,38.0,56.0,0.0,11.0,8.0,11.0,14.1,37.1,1,2017,3.0,4.0,21.0,7.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,DEN,LAC,True
Antonio Brown,WR,1.0,51.0,85.0,0.0,22.0,22.0,22.0,18.2,35.7,1,2017,11.0,11.0,182.0,16.5,50.0,2.0,0.0,0.0,0.0,0.0,0.0,PIT,CLE,False
JuJu Smith-Schuster,WR,1.0,25.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,CLE,False
A.J. Green,WR,1.0,55.0,90.0,0.0,18.0,9.0,18.0,7.4,13.5,1,2017,5.0,10.0,74.0,14.8,27.0,1.0,0.0,0.0,0.0,0.0,0.0,CIN,BAL,True
Tyler Boyd,WR,1.0,42.0,69.0,0.0,10.0,2.0,10.0,1.1,2.6,1,2017,1.0,4.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,BAL,True
Cody Core,WR,1.0,10.0,16.0,0.0,20.0,0.0,20.0,0.0,0.0,1,2017,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,BAL,True
Alex Erickson,WR,1.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,BAL,True
Randall Cobb,WR,1.0,63.0,77.0,0.0,21.0,14.0,21.0,8.5,13.5,1,2017,9.0,13.0,85.0,9.4,29.0,1.0,0.0,0.0,0.0,0.0,0.0,GB,SEA,True
Davante Adams,WR,1.0,67.0,82.0,0.0,10.0,4.0,10.0,4.7,7.0,1,2017,3.0,7.0,47.0,15.7,21.0,1.0,0.0,0.0,0.0,0.0,0.0,GB,SEA,True
Trevor Davis,WR,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,SEA,True
Alshon Jeffery,WR,1.0,61.0,88.0,0.0,11.0,5.0,11.0,5.8,9.5,1,2017,3.0,7.0,38.0,12.7,24.0,1.0,0.0,0.0,0.0,0.0,0.0,PHI,WAS,False
Nelson Agholor,WR,1.0,41.0,59.0,0.0,20.0,15.0,20.0,14.6,35.6,1,2017,6.0,8.0,86.0,14.3,58.0,1.0,1.0,0.0,0.0,0.0,0.0,PHI,WAS,False
Marcus Johnson,WR,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,WAS,False
Mack Hollins,WR,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,WAS,False
T.Y. Hilton,WR,1.0,44.0,88.0,0.0,16.0,7.0,16.0,3.7,8.4,1,2017,3.0,7.0,57.0,19.0,32.0,1.0,0.0,0.0,0.0,0.0,1.0,IND,LAR,False
Donte Moncrief,WR,1.0,45.0,90.0,0.0,9.0,2.0,9.0,5.0,11.1,1,2017,1.0,4.0,50.0,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,IND,LAR,False
Travis Benjamin,WR,1.0,39.0,67.0,0.0,10.0,8.0,10.0,10.3,26.4,1,2017,3.0,4.0,43.0,14.3,38.0,1.0,1.0,0.0,0.0,0.0,0.0,LAC,DEN,False
Keenan Allen,WR,1.0,52.0,90.0,0.0,19.0,10.0,19.0,9.5,18.3,1,2017,5.0,10.0,35.0,7.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,LAC,DEN,False
Tyrell Williams,WR,1.0,54.0,93.0,0.0,13.0,9.0,13.0,5.4,10.0,1,2017,5.0,7.0,54.0,10.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,DEN,False
Jermaine Kearse,WR,1.0,55.0,95.0,0.0,16.0,13.0,16.0,5.9,10.7,1,2017,7.0,9.0,59.0,8.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,BUF,False
Robby Anderson,WR,1.0,57.0,98.0,0.0,14.0,7.0,14.0,2.2,3.9,1,2017,4.0,8.0,22.0,5.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,BUF,False
Chad Hansen,WR,1.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,BUF,False
Josh Bellamy,WR,1.0,33.0,49.0,0.0,12.0,9.0,12.0,2.7,8.2,1,2017,3.0,4.0,27.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,ATL,True
Kevin White,WR,1.0,47.0,70.0,0.0,9.0,4.0,9.0,0.6,1.3,1,2017,2.0,4.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,ATL,True
Marquise Goodwin,WR,1.0,50.0,88.0,0.0,12.0,6.0,12.0,2.1,4.2,1,2017,3.0,6.0,21.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,CAR,True
Trent Taylor,WR,1.0,24.0,42.0,0.0,4.0,4.0,4.0,0.8,3.3,1,2017,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,CAR,True
Kendrick Bourne,WR,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,CAR,True
Russell Shepard,WR,1.0,20.0,30.0,0.0,10.0,10.0,10.0,11.3,56.5,1,2017,2.0,2.0,53.0,26.5,40.0,1.0,1.0,0.0,0.0,0.0,0.0,CAR,SF,False
Devin Funchess,WR,1.0,45.0,67.0,0.0,4.0,4.0,4.0,2.0,4.4,1,2017,2.0,2.0,20.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,SF,False
Damiere Byrd,WR,1.0,19.0,28.0,0.0,5.0,0.0,5.0,0.0,0.0,1,2017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,SF,False
Curtis Samuel,WR,1.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,SF,False
DeAndre Hopkins,WR,1.0,79.0,100.0,0.0,20.0,9.0,20.0,11.5,14.6,1,2017,7.0,16.0,55.0,7.9,12.0,0.0,1.0,0.0,0.0,0.0,0.0,HOU,JAC,True
Andy Jones,WR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,JAC,True
Chris Moore,WR,1.0,,,,,,,0.0,,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,JAC,True
Robert Woods,WR,1.0,43.0,66.0,0.0,12.0,7.0,12.0,5.3,12.3,1,2017,3.0,5.0,53.0,17.7,27.0,2.0,0.0,0.0,0.0,0.0,0.0,LAR,IND,True
Tavon Austin,WR,1.0,7.0,11.0,29.0,14.0,43.0,43.0,-0.2,-2.9,1,2017,1.0,1.0,7.0,7.0,7.0,0.0,0.0,2.0,11.0,0.0,1.0,LAR,IND,True
Sammy Watkins,WR,1.0,38.0,58.0,0.0,13.0,13.0,13.0,5.8,15.3,1,2017,5.0,5.0,58.0,11.6,24.0,1.0,0.0,0.0,0.0,0.0,0.0,LAR,IND,True
Pharoh Cooper,WR,1.0,22.0,34.0,0.0,5.0,0.0,5.0,0.0,0.0,1,2017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,IND,True
Cooper Kupp,WR,1.0,39.0,60.0,0.0,15.0,10.0,15.0,13.6,34.9,1,2017,4.0,6.0,76.0,19.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0,LAR,IND,True
Josh Reynolds,WR,1.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,IND,True
Jordan Matthews,WR,1.0,67.0,87.0,0.0,4.0,3.0,4.0,6.1,9.1,1,2017,2.0,3.0,61.0,30.5,47.0,1.0,0.0,0.0,0.0,0.0,0.0,BUF,NYJ,True
Zay Jones,WR,1.0,66.0,86.0,0.0,6.0,2.0,6.0,2.1,3.2,1,2017,1.0,4.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,BUF,NYJ,True
Isaiah McKenzie,WR,1.0,,,,,,,0.0,,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,NYJ,True
Allen Robinson II,WR,1.0,3.0,5.0,0.0,33.0,33.0,33.0,1.7,56.7,1,2017,1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,HOU,False
Allen Hurns,WR,1.0,51.0,80.0,0.0,8.0,6.0,8.0,4.2,8.2,1,2017,3.0,4.0,42.0,14.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,JAC,HOU,False
Keelan Cole Sr.,WR,1.0,19.0,30.0,0.0,11.0,0.0,11.0,0.0,0.0,1,2017,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,HOU,False
Paul Richardson Jr.,WR,1.0,41.0,84.0,0.0,17.0,10.0,17.0,5.9,14.4,1,2017,4.0,7.0,59.0,14.8,28.0,1.0,0.0,0.0,0.0,0.0,0.0,SEA,GB,False
Tyler Lockett,WR,1.0,26.0,53.0,0.0,12.0,4.0,12.0,0.8,3.1,1,2017,1.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,GB,False
Amara Darboh,WR,1.0,5.0,10.0,0.0,20.0,0.0,20.0,0.0,0.0,1,2017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,GB,False
Ryan Grant,WR,1.0,37.0,59.0,0.0,16.0,11.0,16.0,6.1,16.5,1,2017,4.0,6.0,61.0,15.3,34.0,1.0,0.0,0.0,0.0,0.0,0.0,WAS,PHI,True
Jamison Crowder,WR,1.0,49.0,78.0,0.0,14.0,6.0,14.0,-0.6,-1.2,1,2017,3.0,7.0,14.0,4.7,7.0,0.0,0.0,0.0,0.0,0.0,1.0,WAS,PHI,True
Josh Doctson,WR,1.0,20.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,PHI,True
Albert Wilson,WR,1.0,39.0,57.0,0.0,13.0,13.0,13.0,3.7,9.5,1,2017,5.0,5.0,37.0,7.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,NE,False
Chris Conley,WR,1.0,64.0,94.0,0.0,6.0,3.0,6.0,4.3,6.7,1,2017,2.0,4.0,43.0,21.5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,KC,NE,False
Demarcus Robinson,WR,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,NE,False
Tyreek Hill,WR,1.0,50.0,74.0,4.0,16.0,18.0,20.0,19.8,39.6,1,2017,7.0,8.0,133.0,19.0,75.0,1.0,1.0,2.0,5.0,0.0,0.0,KC,NE,False
Adam Thielen,WR,1.0,65.0,100.0,0.0,15.0,14.0,15.0,15.7,24.2,1,2017,9.0,10.0,157.0,17.4,44.0,4.0,0.0,0.0,0.0,0.0,0.0,MIN,NO,True
Stefon Diggs,WR,1.0,58.0,89.0,2.0,14.0,14.0,16.0,20.7,35.7,1,2017,7.0,8.0,93.0,13.3,30.0,2.0,2.0,1.0,-6.0,0.0,0.0,MIN,NO,True
Laquon Treadwell,WR,1.0,36.0,55.0,0.0,3.0,3.0,3.0,0.7,1.9,1,2017,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,NO,True
Breshad Perriman,WR,1.0,42.0,64.0,0.0,10.0,2.0,10.0,0.5,1.2,1,2017,1.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,CIN,False
Corey Coleman,WR,1.0,53.0,80.0,0.0,11.0,9.0,11.0,11.3,21.3,1,2017,5.0,6.0,53.0,10.6,23.0,1.0,1.0,0.0,0.0,0.0,0.0,CLE,PIT,True
Sterling Shepard,WR,1.0,57.0,100.0,2.0,14.0,14.0,16.0,5.0,8.8,1,2017,7.0,8.0,44.0,6.3,12.0,0.0,0.0,1.0,6.0,0.0,0.0,NYG,DAL,False
Corey Davis,WR,1.0,42.0,66.0,0.0,24.0,14.0,24.0,6.9,16.4,1,2017,6.0,10.0,69.0,11.5,23.0,1.0,0.0,0.0,0.0,0.0,0.0,TEN,LV,True
Taywan Taylor,WR,1.0,6.0,9.0,0.0,33.0,33.0,33.0,1.4,23.3,1,2017,2.0,2.0,14.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,LV,True
DeSean Jackson,WR,1.0,36.0,51.0,0.0,19.0,8.0,19.0,3.9,10.8,2,2017,3.0,7.0,39.0,13.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,TB,CHI,True
Mike Evans,WR,1.0,55.0,77.0,0.0,16.0,13.0,16.0,15.3,27.8,2,2017,7.0,9.0,93.0,13.3,18.0,0.0,1.0,0.0,0.0,0.0,0.0,TB,CHI,True
Adam Humphries,WR,1.0,41.0,58.0,0.0,7.0,5.0,7.0,1.8,4.4,2,2017,2.0,3.0,18.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,CHI,True
Chris Godwin,WR,1.0,29.0,41.0,0.0,7.0,0.0,7.0,0.0,0.0,2,2017,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,CHI,True
Larry Fitzgerald,WR,1.0,62.0,94.0,0.0,10.0,5.0,10.0,2.1,3.4,2,2017,3.0,6.0,21.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,IND,False
J.J. Nelson,WR,1.0,50.0,76.0,0.0,14.0,10.0,14.0,18.0,36.0,2,2017,5.0,7.0,120.0,24.0,45.0,2.0,1.0,0.0,0.0,0.0,0.0,ARI,IND,False
Chad Williams,WR,1.0,10.0,15.0,0.0,20.0,10.0,20.0,1.5,15.0,2,2017,1.0,2.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,IND,False
Jaron Brown,WR,1.0,,,,,,,7.3,,2,2017,4.0,11.0,73.0,18.3,22.0,3.0,0.0,0.0,0.0,0.0,0.0,ARI,IND,False
Michael Crabtree,WR,1.0,35.0,61.0,0.0,17.0,17.0,17.0,26.0,74.3,2,2017,6.0,6.0,80.0,13.3,26.0,3.0,3.0,0.0,0.0,0.0,0.0,LV,NYJ,True
Seth Roberts,WR,1.0,34.0,60.0,0.0,3.0,0.0,3.0,0.0,0.0,2,2017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,NYJ,True
Amari Cooper,WR,1.0,48.0,84.0,0.0,10.0,8.0,10.0,3.3,6.9,2,2017,4.0,5.0,33.0,8.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,NYJ,True
Johnny Holton,WR,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,NYJ,True
Ted Ginn Jr.,WR,1.0,43.0,66.0,0.0,14.0,7.0,14.0,2.4,5.6,2,2017,3.0,6.0,24.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NE,True
Michael Thomas,WR,1.0,58.0,89.0,0.0,17.0,9.0,17.0,8.9,15.3,2,2017,5.0,10.0,89.0,17.8,33.0,2.0,0.0,0.0,0.0,0.0,0.0,NO,NE,True
Tommylee Lewis,WR,1.0,14.0,22.0,0.0,14.0,7.0,14.0,1.6,11.4,2,2017,1.0,2.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,NE,True
Ty Montgomery,WR,1.0,,,,,,,0.0,,2,2017,6.0,7.0,75.0,12.5,23.0,2.0,1.0,10.0,35.0,1.0,0.0,NO,NE,True
Dez Bryant,WR,1.0,66.0,93.0,0.0,24.0,11.0,24.0,11.9,18.0,2,2017,7.0,16.0,59.0,8.4,15.0,0.0,1.0,0.0,0.0,0.0,0.0,DAL,DEN,False
Cole Beasley,WR,1.0,57.0,80.0,0.0,14.0,7.0,14.0,3.3,5.8,2,2017,4.0,8.0,33.0,8.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,DEN,False
Noah Brown,WR,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,DEN,False
Ryan Switzer,WR,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,DEN,False
Golden Tate,WR,1.0,43.0,69.0,0.0,9.0,9.0,9.0,2.5,5.8,2,2017,4.0,4.0,25.0,6.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,NYG,False
Marvin Jones Jr.,WR,1.0,56.0,90.0,0.0,9.0,2.0,9.0,8.7,15.5,2,2017,1.0,5.0,27.0,27.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,DET,NYG,False
Kenny Golladay,WR,1.0,33.0,53.0,0.0,9.0,3.0,9.0,0.8,2.4,2,2017,1.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,NYG,False
Kalif Raymond,WR,1.0,,,,,,,-2.0,,2,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,DET,NYG,False
Andre Roberts,WR,1.0,4.0,7.0,0.0,25.0,0.0,25.0,0.0,0.0,2,2017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,GB,True
Julio Jones,WR,1.0,48.0,83.0,0.0,19.0,10.0,19.0,10.8,22.5,2,2017,5.0,9.0,108.0,21.6,34.0,2.0,0.0,0.0,0.0,0.0,0.0,ATL,GB,True
Mohamed Sanu Sr.,WR,1.0,48.0,83.0,0.0,13.0,10.0,13.0,8.5,17.7,2,2017,5.0,6.0,85.0,17.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,ATL,GB,True
Taylor Gabriel,WR,1.0,26.0,45.0,4.0,12.0,12.0,15.0,2.1,8.1,2,2017,2.0,3.0,14.0,7.0,12.0,0.0,0.0,1.0,7.0,0.0,0.0,ATL,GB,True
Justin Hardy,WR,1.0,19.0,33.0,0.0,11.0,5.0,11.0,1.9,10.0,2,2017,1.0,2.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,GB,True
Cordarrelle Patterson,WR,1.0,,,,,,,12.3,,2,2017,1.0,1.0,6.0,6.0,6.0,0.0,0.0,3.0,57.0,1.0,0.0,ATL,GB,True
Emmanuel Sanders,WR,1.0,69.0,90.0,0.0,12.0,9.0,12.0,18.2,26.4,2,2017,6.0,8.0,62.0,10.3,25.0,1.0,2.0,0.0,0.0,0.0,0.0,DEN,DAL,True
Cody Latimer,WR,1.0,14.0,18.0,0.0,14.0,14.0,14.0,2.2,15.7,2,2017,2.0,2.0,22.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,DAL,True
Bennie Fowler III,WR,1.0,23.0,30.0,0.0,13.0,4.0,13.0,0.8,3.5,2,2017,1.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,DAL,True
Isaiah McKenzie,WR,1.0,30.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,DAL,True
Antonio Brown,WR,1.0,71.0,95.0,0.0,15.0,7.0,15.0,6.2,8.7,2,2017,5.0,11.0,62.0,12.4,26.0,1.0,0.0,0.0,0.0,0.0,0.0,PIT,MIN,True
JuJu Smith-Schuster,WR,1.0,39.0,52.0,0.0,10.0,8.0,10.0,7.6,19.5,2,2017,3.0,4.0,16.0,5.3,9.0,0.0,1.0,0.0,0.0,0.0,0.0,PIT,MIN,True
