Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,68,68,93,3,1,49,49,18.2,26.8
Adrian Peterson,RB,DET,1,15,15,25,47,0,47,47,4.1,27.3
Ben Roethlisberger,QB,PIT,1,65,65,98,5,0,68,68,19.2,29.5
Danny Amendola,WR,DET,1,33,33,55,0,21,6,21,2.1,6.4
DeSean Jackson,WR,PHI,1,55,55,77,0,16,11,16,6.4,11.6
Drew Brees,QB,NO,1,60,60,100,0,0,63,63,15.5,25.8
Frank Gore,RB,NYJ,1,37,37,57,57,5,57,62,6.3,17.0
Greg Olsen,TE,SEA,1,45,45,70,0,2,0,2,0.0,0.0
Jared Cook,TE,NO,1,39,39,65,0,13,5,13,7.3,18.7
Jason Witten,TE,LV,1,26,26,32,0,4,4,4,0.3,1.2
Julian Edelman,WR,NE,1,52,52,72,0,21,15,21,17.9,34.4
Larry Fitzgerald,WR,ARI,1,61,61,77,0,11,11,11,5.0,8.2
LeSean McCoy,RB,TB,1,11,11,18,9,64,55,73,2.1,19.1
Marcedes Lewis,TE,GB,1,33,33,45,0,3,3,3,0.4,1.2
Matt Ryan,QB,ATL,1,75,75,99,5,0,53,53,28.5,38.0
Matthew Stafford,QB,DET,1,59,59,98,2,0,58,58,17.2,29.2
Philip Rivers,QB,IND,1,73,73,99,5,0,40,40,11.9,16.3
Ryan Fitzpatrick,QB,MIA,1,75,75,100,4,0,67,67,24.3,32.4
Tom Brady,QB,TB,1,61,61,100,2,0,59,59,9.7,15.9
Golden Tate,WR,NYG,1,40,40,62,0,13,13,13,4.7,11.8
Andre Roberts,WR,BUF,1,6,6,10,0,0,0,0,0.0,0.0
Emmanuel Sanders,WR,NO,1,47,47,78,0,6,2,6,1.8,3.8
Jimmy Graham,TE,CHI,1,40,40,62,0,3,3,3,1.8,4.5
Rob Gronkowski,TE,TB,1,42,42,69,0,2,0,2,0.0,0.0
A.J. Green,WR,CIN,1,57,57,62,0,23,5,23,2.9,5.1
Julio Jones,WR,ATL,1,59,59,78,0,7,3,7,2.4,4.1
Cam Newton,QB,NE,1,72,72,100,15,0,76,76,35.6,49.4
Mark Ingram II,RB,BAL,1,27,27,42,33,11,41,44,13.7,50.7
Randall Cobb,WR,HOU,1,40,40,68,0,15,13,15,5.9,14.8
Kyle Rudolph,TE,MIN,1,38,38,70,0,3,0,3,0.0,0.0
Andy Dalton,QB,DAL,1,2,2,3,0,0,50,50,0.0,0.0
Luke Stocker,TE,ATL,1,29,29,38,0,0,0,0,0.0,0.0
Anthony Sherman,RB,KC,1,7,7,9,0,0,0,0,0.0,0.0
Dion Lewis,RB,NYG,1,57,57,88,18,9,25,26,11.6,20.4
Virgil Green,TE,LAC,1,35,35,42,0,0,0,0,0.0,0.0
Bruce Miller,TE,JAC,1,14,14,18,0,7,0,7,0.0,0.0
Ryan Tannehill,QB,TEN,1,62,62,98,6,0,45,45,26.8,43.2
Kirk Cousins,QB,MIN,1,54,54,100,0,0,48,48,1.5,2.8
Russell Wilson,QB,SEA,1,63,63,98,8,0,52,52,34.4,54.6
