player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1.0,56.0,56.0,100.0,4.0,0.0,66.0,66.0,24.7,44.1,7,2021
Brian Hoyer,QB,NE,1.0,12.0,12.0,16.0,25.0,0.0,58.0,58.0,2.9,24.2,7,2021
Chad Henne,QB,KC,1.0,18.0,18.0,25.0,6.0,0.0,94.0,94.0,3.7,20.6,7,2021
Danny Amendola,WR,HOU,1.0,24.0,24.0,43.0,0.0,21.0,13.0,21.0,1.7,7.1,7,2021
DeSean Jackson,WR,LAR,1.0,4.0,4.0,6.0,0.0,25.0,0.0,25.0,0.0,0.0,7,2021
Marcedes Lewis,TE,GB,1.0,21.0,21.0,38.0,0.0,14.0,14.0,14.0,3.1,14.8,7,2021
Matt Ryan,QB,ATL,1.0,63.0,63.0,100.0,5.0,0.0,68.0,68.0,18.4,29.2,7,2021
Matthew Stafford,QB,LAR,1.0,65.0,65.0,100.0,3.0,0.0,66.0,66.0,27.2,41.8,7,2021
Tom Brady,QB,TB,1.0,65.0,65.0,89.0,0.0,0.0,55.0,55.0,24.4,37.5,7,2021
Colt McCoy,QB,ARI,1.0,5.0,5.0,7.0,40.0,0.0,40.0,40.0,-0.1,-2.0,7,2021
A.J. Green,WR,ARI,1.0,60.0,60.0,85.0,0.0,5.0,5.0,5.0,6.6,11.0,7,2021
Blaine Gabbert,QB,TB,1.0,8.0,8.0,11.0,0.0,0.0,38.0,38.0,0.6,7.5,7,2021
Julio Jones,WR,TEN,1.0,29.0,29.0,41.0,0.0,14.0,7.0,14.0,3.8,13.1,7,2021
Mark Ingram II,RB,HOU,1.0,21.0,21.0,38.0,29.0,14.0,43.0,43.0,2.7,12.9,7,2021
Randall Cobb,WR,GB,1.0,35.0,35.0,63.0,0.0,11.0,9.0,11.0,2.2,6.3,7,2021
Kyle Rudolph,TE,NYG,1.0,41.0,41.0,57.0,0.0,5.0,5.0,5.0,0.8,2.0,7,2021
Lee Smith,TE,ATL,1.0,26.0,26.0,41.0,0.0,8.0,4.0,8.0,0.7,2.7,7,2021
Ryan Tannehill,QB,TEN,1.0,67.0,67.0,96.0,3.0,0.0,43.0,43.0,20.4,30.4,7,2021
Mohamed Sanu Sr.,WR,SF,1.0,28.0,28.0,50.0,0.0,4.0,4.0,4.0,1.6,5.7,7,2021
Brandon Bolden,RB,NE,1.0,21.0,21.0,28.0,10.0,33.0,38.0,43.0,13.9,66.2,7,2021
Case Keenum,QB,CLE,1.0,71.0,71.0,100.0,6.0,0.0,52.0,52.0,12.7,17.9,7,2021
Josh Gordon,WR,KC,1.0,8.0,8.0,11.0,0.0,13.0,0.0,13.0,0.0,0.0,7,2021
Travis Kelce,TE,KC,1.0,53.0,53.0,74.0,0.0,23.0,13.0,23.0,6.5,12.3,7,2021
Marquise Goodwin,WR,CHI,1.0,35.0,35.0,53.0,0.0,11.0,6.0,11.0,1.6,4.6,7,2021
DeAndre Hopkins,WR,ARI,1.0,59.0,59.0,83.0,0.0,15.0,12.0,15.0,11.3,19.2,7,2021
Robert Woods,WR,LAR,1.0,63.0,63.0,97.0,0.0,10.0,10.0,10.0,9.0,14.3,7,2021
Kenny Stills,WR,NO,1.0,32.0,32.0,43.0,0.0,9.0,0.0,9.0,0.0,0.0,7,2021
Cordarrelle Patterson,RB,ATL,1.0,46.0,46.0,73.0,30.0,11.0,35.0,41.0,12.1,26.3,7,2021
Giovani Bernard,RB,TB,1.0,11.0,11.0,15.0,0.0,27.0,18.0,27.0,0.5,4.5,7,2021
Le'Veon Bell,RB,BAL,1.0,22.0,22.0,30.0,23.0,9.0,27.0,32.0,0.4,1.8,7,2021
Rex Burkhead,RB,HOU,1.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2021
Geno Smith,QB,SEA,1.0,56.0,56.0,100.0,5.0,0.0,45.0,45.0,11.9,21.3,7,2021
Zach Ertz,TE,ARI,1.0,35.0,35.0,49.0,3.0,14.0,11.0,17.0,13.0,37.1,7,2021
Ryan Griffin,TE,NYJ,1.0,50.0,50.0,77.0,0.0,4.0,2.0,4.0,1.5,3.0,7,2021
Demetrius Harris,TE,ARI,1.0,21.0,21.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2021
Jack Doyle,TE,IND,1.0,50.0,50.0,74.0,0.0,2.0,0.0,2.0,0.0,0.0,7,2021
Teddy Bridgewater,QB,DEN,1.0,50.0,50.0,100.0,4.0,0.0,70.0,70.0,14.8,29.6,7,2021
Derek Carr,QB,LV,1.0,66.0,66.0,100.0,3.0,0.0,55.0,55.0,20.0,30.3,7,2021
Devonta Freeman,RB,BAL,1.0,29.0,29.0,40.0,14.0,10.0,24.0,24.0,9.9,34.1,7,2021
Mike Evans,WR,TB,1.0,56.0,56.0,77.0,0.0,18.0,11.0,18.0,25.6,45.7,7,2021
Brandin Cooks,WR,HOU,1.0,53.0,53.0,95.0,0.0,13.0,9.0,13.0,2.1,4.0,7,2021
Davante Adams,WR,GB,1.0,48.0,48.0,86.0,0.0,15.0,13.0,15.0,13.6,28.3,7,2021
Allen Robinson II,WR,CHI,1.0,62.0,62.0,94.0,0.0,6.0,3.0,6.0,1.6,2.6,7,2021
Odell Beckham Jr.,WR,CLE,1.0,43.0,43.0,61.0,0.0,14.0,5.0,14.0,2.3,5.3,7,2021
Jarvis Landry,WR,CLE,1.0,38.0,38.0,54.0,0.0,21.0,13.0,21.0,3.7,9.7,7,2021
Jimmy Garoppolo,QB,SF,1.0,56.0,56.0,100.0,4.0,0.0,52.0,52.0,7.2,12.9,7,2021
Jerick McKinnon,RB,KC,1.0,22.0,22.0,31.0,0.0,18.0,9.0,18.0,1.7,7.7,7,2021
John Brown,WR,DEN,1.0,6.0,6.0,12.0,0.0,17.0,0.0,17.0,0.0,0.0,7,2021
Damien Williams,RB,CHI,1.0,11.0,11.0,17.0,27.0,9.0,36.0,36.0,0.8,7.3,7,2021
Keith Smith,RB,ATL,1.0,11.0,11.0,17.0,0.0,9.0,9.0,9.0,0.6,5.5,7,2021
Cameron Brate,TE,TB,1.0,40.0,40.0,55.0,0.0,10.0,0.0,10.0,0.0,0.0,7,2021
Darren Fells,TE,DET,1.0,28.0,28.0,41.0,0.0,4.0,4.0,4.0,0.6,2.1,7,2021
Diontae Spencer,WR,DEN,1.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2021
Marcus Mariota,QB,LV,1.0,1.0,1.0,2.0,100.0,0.0,100.0,100.0,0.4,40.0,7,2021
Jameis Winston,QB,NO,1.0,74.0,74.0,100.0,11.0,0.0,58.0,58.0,16.9,22.8,7,2021
Kevin White,WR,NO,1.0,8.0,8.0,11.0,0.0,25.0,0.0,25.0,0.0,0.0,7,2021
Melvin Gordon III,RB,DEN,1.0,29.0,29.0,58.0,28.0,10.0,34.0,38.0,9.2,31.7,7,2021
Taylor Heinicke,QB,WAS,1.0,72.0,72.0,100.0,14.0,0.0,65.0,65.0,21.2,29.4,7,2021
Mike Davis,RB,ATL,1.0,38.0,38.0,60.0,11.0,0.0,11.0,11.0,1.0,2.6,7,2021
David Johnson,RB,HOU,1.0,30.0,30.0,54.0,23.0,20.0,40.0,43.0,5.2,17.3,7,2021
Malcolm Brown,RB,MIA,1.0,5.0,5.0,7.0,60.0,20.0,80.0,80.0,0.9,18.0,7,2021
Jesse James,TE,CHI,1.0,26.0,26.0,39.0,0.0,12.0,12.0,12.0,2.0,7.7,7,2021
MyCole Pruitt,TE,TEN,1.0,37.0,37.0,53.0,0.0,8.0,5.0,8.0,8.7,23.5,7,2021
Nelson Agholor,WR,NE,1.0,43.0,43.0,57.0,0.0,12.0,5.0,12.0,11.1,25.8,7,2021
Tyler Lockett,WR,SEA,1.0,48.0,48.0,86.0,0.0,6.0,4.0,6.0,1.2,2.5,7,2021
Jamison Crowder,WR,NYJ,1.0,52.0,52.0,80.0,0.0,12.0,8.0,12.0,3.4,6.5,7,2021
Ty Montgomery,RB,NO,1.0,12.0,12.0,16.0,8.0,8.0,8.0,17.0,0.4,3.3,7,2021
C.J. Uzomah,TE,CIN,1.0,52.0,52.0,83.0,0.0,6.0,6.0,6.0,21.1,40.6,7,2021
DeAndre Carter,WR,WAS,1.0,39.0,39.0,54.0,3.0,3.0,5.0,5.0,3.1,7.9,7,2021
Geoff Swaim,TE,TEN,1.0,38.0,38.0,54.0,0.0,3.0,3.0,3.0,0.8,2.1,7,2021
Damiere Byrd,WR,CHI,1.0,20.0,20.0,30.0,0.0,5.0,5.0,5.0,1.0,5.0,7,2021
Adam Humphries,WR,WAS,1.0,50.0,50.0,69.0,0.0,8.0,6.0,8.0,3.6,7.2,7,2021
Jared Goff,QB,DET,1.0,69.0,69.0,100.0,1.0,0.0,54.0,54.0,13.0,18.8,7,2021
Derrick Henry,RB,TEN,1.0,50.0,50.0,71.0,58.0,4.0,64.0,64.0,14.4,28.8,7,2021
Carson Wentz,QB,IND,1.0,68.0,68.0,100.0,6.0,0.0,44.0,44.0,20.3,29.9,7,2021
Alex Collins,RB,SEA,1.0,22.0,22.0,39.0,73.0,5.0,77.0,77.0,4.4,20.0,7,2021
Tyler Boyd,WR,CIN,1.0,45.0,45.0,71.0,0.0,16.0,9.0,16.0,3.9,8.7,7,2021
Devontae Booker,RB,NYG,1.0,59.0,59.0,82.0,24.0,5.0,27.0,29.0,12.6,21.4,7,2021
Hunter Henry,TE,NE,1.0,60.0,60.0,79.0,0.0,7.0,3.0,7.0,8.3,13.8,7,2021
Austin Hooper,TE,CLE,1.0,46.0,46.0,65.0,0.0,7.0,4.0,7.0,4.2,9.1,7,2021
Rashard Higgins,WR,CLE,1.0,42.0,42.0,59.0,0.0,5.0,2.0,5.0,-0.2,-0.5,7,2021
Tajae Sharpe,WR,ATL,1.0,14.0,14.0,22.0,0.0,14.0,14.0,14.0,1.8,12.9,7,2021
Tyler Higbee,TE,LAR,1.0,65.0,65.0,100.0,0.0,12.0,8.0,12.0,4.6,7.1,7,2021
Kenyan Drake,RB,LV,1.0,26.0,26.0,39.0,54.0,12.0,65.0,65.0,13.9,53.5,7,2021
Demarcus Robinson,WR,KC,1.0,57.0,57.0,79.0,0.0,7.0,2.0,7.0,0.7,1.2,7,2021
Robby Anderson,WR,CAR,1.0,61.0,61.0,95.0,0.0,15.0,5.0,15.0,1.4,2.3,7,2021
Alex Erickson,WR,CAR,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2021
Tyreek Hill,WR,KC,1.0,52.0,52.0,72.0,2.0,17.0,13.0,19.0,6.7,12.9,7,2021
Marcus Johnson,WR,TEN,1.0,29.0,29.0,41.0,3.0,3.0,3.0,7.0,0.5,1.7,7,2021
Geronimo Allison,WR,DET,1.0,32.0,32.0,46.0,0.0,6.0,0.0,6.0,0.0,0.0,7,2021
Kalif Raymond,WR,DET,1.0,56.0,56.0,81.0,2.0,14.0,13.0,16.0,11.6,20.7,7,2021
Jalen Richard,RB,LV,1.0,16.0,16.0,24.0,25.0,25.0,44.0,50.0,2.5,15.6,7,2021
J.D. McKissic,RB,WAS,1.0,46.0,46.0,64.0,9.0,13.0,17.0,22.0,5.6,12.2,7,2021
Elijhaa Penny,RB,NYG,1.0,22.0,22.0,31.0,41.0,0.0,41.0,41.0,2.4,10.9,7,2021
Leonard Fournette,RB,TB,1.0,39.0,39.0,53.0,38.0,10.0,44.0,49.0,15.0,38.5,7,2021
O.J. Howard,TE,TB,1.0,37.0,37.0,51.0,0.0,8.0,3.0,8.0,0.9,2.4,7,2021
Corey Davis,WR,NYJ,1.0,47.0,47.0,72.0,0.0,13.0,9.0,13.0,10.7,22.8,7,2021
John Ross,WR,NYG,1.0,37.0,37.0,51.0,0.0,5.0,5.0,5.0,2.7,7.3,7,2021
David Njoku,TE,CLE,1.0,42.0,42.0,59.0,0.0,5.0,5.0,5.0,1.8,4.3,7,2021
Chris Godwin,WR,TB,1.0,61.0,61.0,84.0,0.0,18.0,13.0,18.0,17.1,28.0,7,2021
Evan Engram,TE,NYG,1.0,44.0,44.0,61.0,0.0,18.0,14.0,18.0,4.4,10.0,7,2021
Patrick Mahomes II,QB,KC,1.0,54.0,54.0,75.0,11.0,0.0,76.0,76.0,8.7,16.1,7,2021
Joe Mixon,RB,CIN,1.0,34.0,34.0,54.0,35.0,0.0,35.0,35.0,11.9,35.0,7,2021
Alvin Kamara,RB,NO,1.0,61.0,61.0,82.0,33.0,18.0,49.0,51.0,23.9,39.2,7,2021
Wayne Gallman Jr.,RB,ATL,1.0,3.0,3.0,5.0,33.0,0.0,33.0,33.0,0.2,6.7,7,2021
Samaje Perine,RB,CIN,1.0,30.0,30.0,48.0,37.0,3.0,40.0,40.0,13.5,45.0,7,2021
Jamaal Williams,RB,DET,1.0,20.0,20.0,29.0,60.0,0.0,60.0,60.0,5.7,28.5,7,2021
