Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Aaron Rodgers,QB,GB,1,31,31,46,3,0,61,61,14.2,45.8
Ben Roethlisberger,QB,PIT,1,76,76,100,4,0,62,62,12.4,16.3
Danny Amendola,WR,HOU,1,30,30,53,0,30,23,30,25.3,84.3
Jared Cook,TE,LAC,1,65,65,70,0,11,6,11,8.0,12.3
Marcedes Lewis,TE,GB,1,20,20,29,0,5,0,5,0.0,0.0
Matt Ryan,QB,ATL,1,50,50,100,2,0,68,68,11.8,23.6
Matthew Stafford,QB,LAR,1,65,65,100,0,0,49,49,19.5,30.0
Tom Brady,QB,TB,1,51,51,85,0,0,73,73,25.0,49.0
Andre Roberts,WR,LAC,1,3,3,3,0,0,0,0,-2.0,-66.7
Jimmy Graham,TE,CHI,1,20,20,24,0,10,10,10,1.6,8.0
Rob Gronkowski,TE,TB,1,50,50,83,0,20,14,20,13.7,27.4
A.J. Green,WR,ARI,1,68,68,89,0,13,6,13,2.3,3.4
Blaine Gabbert,QB,TB,1,9,9,15,11,0,33,33,-0.1,-1.1
Julio Jones,WR,TEN,1,46,46,68,0,20,11,20,11.8,25.7
Cam Newton,QB,CAR,1,1,1,1,0,0,0,0,0.0,0.0
Kyle Rudolph,TE,NYG,1,34,34,57,0,18,12,18,1.7,5.0
Andy Dalton,QB,CHI,1,82,82,100,1,0,60,60,17.7,21.6
Luke Stocker,TE,MIN,1,14,14,29,0,0,0,0,0.0,0.0
Ryan Tannehill,QB,TEN,1,68,68,100,3,0,50,50,27.3,40.1
Kirk Cousins,QB,MIN,1,48,48,100,2,0,48,48,21.9,45.6
Russell Wilson,QB,SEA,1,58,58,100,7,0,52,52,25.0,43.1
T.Y. Hilton,WR,IND,1,40,40,70,0,13,5,13,3.9,9.8
Travis Benjamin,WR,SF,1,6,6,9,0,17,0,17,0.0,0.0
Marvin Jones Jr.,WR,JAC,1,61,61,90,0,13,11,13,14.8,24.3
Brandon Bolden,RB,NE,1,28,28,45,25,7,32,32,18.6,66.4
Derek Carrier,TE,LV,1,12,12,15,0,0,0,0,0.0,0.0
Case Keenum,QB,CLE,1,66,66,100,8,0,44,44,13.5,20.5
Josh Gordon,WR,KC,1,21,21,27,0,5,0,5,0.0,0.0
Cole Beasley,WR,BUF,1,42,42,51,0,12,10,12,3.1,7.4
Travis Kelce,TE,KC,1,60,60,77,0,8,7,8,9.4,15.7
Marquise Goodwin,WR,CHI,1,26,26,32,0,12,8,12,1.3,5.0
Cordarrelle Patterson,RB,ATL,1,18,18,36,22,6,28,28,1.2,6.7
Keenan Allen,WR,LAC,1,82,82,88,0,10,7,10,5.2,6.3
Le'Veon Bell,RB,TB,1,23,23,38,13,4,17,17,7.5,32.6
Rex Burkhead,RB,HOU,1,40,40,70,30,10,38,40,6.6,16.5
Kenjon Barner,RB,TB,1,9,9,15,44,0,44,44,0.0,0.0
Zach Ertz,TE,ARI,1,70,70,92,0,14,10,14,8.4,12.0
Latavius Murray,RB,BAL,1,39,39,55,41,0,41,41,21.0,53.8
Jack Doyle,TE,IND,1,32,32,56,0,6,3,6,1.1,3.4
Derek Carr,QB,LV,1,75,75,94,1,0,49,49,15.3,20.4
Devonta Freeman,RB,BAL,1,27,27,38,19,7,26,26,2.7,10.0
Sammy Watkins,WR,BAL,1,21,21,30,0,5,0,5,0.0,0.0
Mike Evans,WR,TB,1,43,43,72,0,16,14,16,20.9,48.6
Brandin Cooks,WR,HOU,1,18,18,32,0,22,17,22,2.6,14.4
Davante Adams,WR,GB,1,22,22,32,0,32,27,32,5.5,25.0
Allen Robinson II,WR,CHI,1,53,53,65,0,8,4,8,4.2,7.9
Odell Beckham Jr.,WR,LAR,1,51,51,78,0,10,4,10,1.8,3.5
Jarvis Landry,WR,CLE,1,48,48,73,0,17,13,17,13.5,28.1
Jimmy Garoppolo,QB,SF,1,70,70,100,1,0,47,47,14.7,21.0
Jerick McKinnon,RB,KC,1,23,23,29,22,13,35,35,11.0,47.8
Richard Rodgers,TE,PHI,1,38,38,51,0,5,5,5,1.1,2.9
Damien Williams,RB,CHI,1,16,16,20,0,31,19,31,9.3,58.1
Keith Smith,RB,ATL,1,9,9,18,0,11,11,11,0.3,3.3
Cameron Brate,TE,TB,1,10,10,17,0,30,20,30,1.2,12.0
Marcus Mariota,QB,LV,1,7,7,9,57,0,71,71,2.5,35.7
Amari Cooper,WR,DAL,1,46,46,74,0,15,11,15,7.9,17.2
DeVante Parker,WR,MIA,1,49,49,72,0,8,4,8,1.2,2.4
Melvin Gordon III,RB,DEN,1,26,26,48,46,8,50,54,15.6,60.0
Ameer Abdullah,RB,CAR,1,40,40,54,18,28,40,45,8.2,20.5
Tevin Coleman,RB,NYJ,1,10,10,22,50,10,50,60,0.6,6.0
Taylor Heinicke,QB,WAS,1,59,59,100,3,0,34,34,5.1,8.6
Duke Johnson Jr.,RB,MIA,1,43,43,63,58,2,60,60,18.2,42.3
Mike Davis,RB,ATL,1,18,18,36,33,17,50,50,-1.2,-6.7
David Johnson,RB,HOU,1,17,17,30,29,24,47,53,3.6,21.2
Tyler Kroft,TE,NYJ,1,44,44,96,0,7,2,7,0.5,1.1
Blake Bell,TE,KC,1,21,21,27,0,0,0,0,0.0,0.0
Nelson Agholor,WR,NE,1,55,55,89,0,5,2,5,2.3,4.2
Tyler Lockett,WR,SEA,1,51,51,88,2,10,12,12,22.0,43.1
Breshad Perriman,WR,TB,1,37,37,62,0,16,14,16,4.4,11.9
Jamison Crowder,WR,NYJ,1,7,7,15,0,14,14,14,1.6,22.9
Ty Montgomery,RB,NO,1,30,30,42,0,7,3,7,0.1,0.3
Stefon Diggs,WR,BUF,1,67,67,82,0,21,13,21,14.1,21.0
Jake Kumerow,WR,BUF,1,10,10,12,0,10,10,10,1.5,15.0
DeAndre Carter,WR,WAS,1,12,12,20,8,8,8,17,1.1,9.2
Darren Waller,TE,LV,1,62,62,78,0,15,3,15,2.2,3.5
Trevor Siemian,QB,NO,1,46,46,64,4,0,37,37,10.7,23.3
Geoff Swaim,TE,TEN,1,48,48,71,0,2,2,2,0.2,0.4
Damiere Byrd,WR,CHI,1,46,46,56,0,13,11,13,4.7,10.2
Eric Tomlinson,TE,BAL,1,37,37,52,0,3,0,3,0.0,0.0
Adam Humphries,WR,WAS,1,37,37,63,0,5,3,5,0.3,0.8
Laquon Treadwell,WR,JAC,1,62,62,91,0,8,5,8,8.4,13.5
Ezekiel Elliott,RB,DAL,1,37,37,60,49,8,51,57,9.0,24.3
Jared Goff,QB,DET,1,58,58,100,0,0,52,52,17.5,30.2
Carson Wentz,QB,IND,1,57,57,100,5,0,56,56,12.1,21.2
Devontae Booker,RB,NYG,1,30,30,50,27,7,33,33,2.6,8.7
Hunter Henry,TE,NE,1,42,42,68,0,14,12,14,8.6,20.5
Tajae Sharpe,WR,ATL,1,38,38,76,0,5,0,5,0.0,0.0
Dak Prescott,QB,DAL,1,51,51,82,0,0,53,53,31.8,62.4
Jonathan Williams,RB,WAS,1,11,11,19,64,0,64,64,4.5,40.9
Tyler Higbee,TE,LAR,1,61,61,94,0,13,10,13,17.5,28.7
Nick Vannett,TE,NO,1,20,20,28,0,5,5,5,1.0,5.0
Chris Moore,WR,HOU,1,37,37,65,0,8,8,8,9.8,26.5
Demarcus Robinson,WR,KC,1,41,41,53,0,15,7,15,1.9,4.6
Robby Anderson,WR,CAR,1,54,54,73,0,17,13,17,11.0,20.4
Alex Erickson,WR,CAR,1,5,5,7,0,0,0,0,0.0,0.0
Brandon Allen,QB,CIN,1,54,54,100,2,0,56,56,9.7,18.0
Tyreek Hill,WR,KC,1,14,14,18,0,21,7,21,0.2,1.4
Mike Thomas,WR,CIN,1,44,44,81,0,7,0,7,0.0,0.0
Chester Rogers,WR,TEN,1,10,10,15,0,20,20,20,0.4,4.0
Kalif Raymond,WR,DET,1,42,42,72,2,12,12,14,17.4,41.4
Jalen Richard,RB,LV,1,24,24,30,8,8,17,17,2.7,11.3
C.J. Ham,RB,MIN,1,13,13,27,0,8,8,8,0.7,5.4
Elijhaa Penny,RB,NYG,1,15,15,25,0,13,0,13,0.0,0.0
Dalvin Cook,RB,MIN,1,26,26,54,54,4,58,58,8.2,31.5
Mike Williams,WR,LAC,1,67,67,72,0,25,13,25,17.9,26.7
Mitchell Trubisky,QB,BUF,1,5,5,6,60,0,80,80,0.3,6.0
David Njoku,TE,CLE,1,39,39,59,0,5,5,5,1.1,2.8
D'Onta Foreman,RB,TEN,1,35,35,51,60,6,63,66,8.4,24.0
Evan Engram,TE,NYG,1,38,38,63,0,13,3,13,0.4,1.1
Patrick Mahomes II,QB,KC,1,78,78,100,12,0,68,68,26.2,33.6
Alvin Kamara,RB,NO,1,56,56,78,54,4,57,57,16.2,28.9
Jamaal Williams,RB,DET,1,24,24,41,54,4,58,58,5.2,21.7
Zay Jones,WR,LV,1,71,71,89,0,11,7,11,2.7,3.8
Cooper Kupp,WR,LAR,1,64,64,98,2,11,13,13,19.6,30.6
Dede Westbrook,WR,MIN,1,5,5,10,0,0,0,0,0.0,0.0
Josh Reynolds,WR,DET,1,49,49,84,0,6,2,6,1.1,2.2
Corey Clement,RB,DAL,1,17,17,27,41,24,65,65,14.0,82.4
James Conner,RB,ARI,1,46,46,61,33,13,46,46,21.3,46.3
Gerald Everett,TE,SEA,1,55,55,95,0,5,2,5,2.0,3.6
Jonnu Smith,TE,NE,1,25,25,40,4,0,4,4,0.5,2.0
Jeremy Sprinkle,TE,DAL,1,22,22,35,0,5,5,5,1.0,4.5
Cooper Rush,QB,DAL,1,11,11,18,27,0,36,36,0.0,0.0
Austin Ekeler,RB,LAC,1,78,78,84,21,15,27,36,23.9,30.6
Kenny Golladay,WR,NYG,1,43,43,72,0,12,7,12,2.2,5.1
Mack Hollins,WR,MIA,1,7,7,10,0,14,0,14,0.0,0.0
George Kittle,TE,SF,1,66,66,94,0,11,8,11,1.0,1.5
Antony Auclair,TE,HOU,1,20,20,35,0,5,5,5,0.7,3.5
Trent Taylor,WR,CIN,1,32,32,59,0,9,6,9,4.1,12.8
Jacob Hollister,TE,JAC,1,41,41,60,0,7,7,7,1.4,3.4
Cethan Carter,TE,MIA,1,4,4,6,0,0,0,0,0.0,0.0
Tim Patrick,WR,DEN,1,42,42,78,0,24,14,24,9.5,22.6
Mo Alie-Cox,TE,IND,1,22,22,39,0,14,9,14,2.7,12.3
Darrell Daniels,TE,ARI,1,24,24,32,0,0,0,0,0.0,0.0
Isaiah McKenzie,WR,BUF,1,22,22,27,5,5,9,9,1.9,8.6
Blake Jarwin,TE,DAL,1,12,12,19,0,17,8,17,0.6,5.0
Alex Armah Jr.,RB,WAS,1,1,1,2,0,0,0,0,0.0,0.0
Anthony Firkser,TE,TEN,1,23,23,34,0,17,17,17,11.6,50.4
Keelan Cole Sr.,WR,NYJ,1,28,28,61,0,11,11,11,11.4,40.7
Dare Ogunbowale,RB,JAC,1,46,46,68,24,13,30,37,5.5,12.0
Zach Pascal,WR,IND,1,49,49,86,0,4,2,4,0.7,1.4
Kendrick Bourne,WR,NE,1,36,36,58,3,11,11,14,3.2,8.9
Taysom Hill,QB,NO,1,26,26,36,19,0,54,54,10.1,38.8
Greg Ward,WR,PHI,1,43,43,58,0,5,5,7,0.3,0.7
Brandon Zylstra,WR,CAR,1,50,50,68,0,4,2,6,0.0,0.0
Sam Darnold,QB,CAR,1,71,71,96,11,0,70,70,15.7,22.1
Saquon Barkley,RB,NYG,1,36,36,60,31,11,39,42,4.9,13.6
Royce Freeman,RB,HOU,1,1,1,2,0,0,0,0,0.0,0.0
Nick Chubb,RB,CLE,1,16,16,24,56,6,63,63,6.0,37.5
Ito Smith,RB,DAL,1,5,5,8,20,0,20,20,6.4,128.0
Kalen Ballage,RB,PIT,1,7,7,9,14,0,14,14,0.0,0.0
Myles Gaskin,RB,MIA,1,7,7,10,14,43,57,57,1.0,14.3
Courtland Sutton,WR,DEN,1,41,41,76,0,7,5,10,1.9,4.6
Tre'Quan Smith,WR,NO,1,52,52,72,0,13,10,13,13.6,26.2
Cedrick Wilson Jr.,WR,DAL,1,42,42,68,0,14,12,14,23.9,56.9
DJ Moore,WR,CAR,1,55,55,74,2,18,15,20,10.0,18.2
Christian Kirk,WR,ARI,1,68,68,89,0,4,3,4,4.3,6.3
Mark Andrews,TE,BAL,1,66,66,93,2,23,14,24,8.5,12.9
Mike Gesicki,TE,MIA,1,39,39,57,0,8,5,8,2.2,5.6
Hayden Hurst,TE,ATL,1,12,12,24,0,8,8,8,3.3,27.5
Nyheim Hines,RB,IND,1,9,9,16,0,33,22,33,1.9,21.1
Josh Allen,QB,BUF,1,77,77,94,6,0,65,65,23.9,31.0
Justin Jackson,RB,LAC,1,17,17,18,18,6,18,24,2.0,11.8
Allen Lazard,WR,GB,1,21,21,31,0,29,24,29,19.5,92.9
Equanimeous St. Brown,WR,GB,1,51,51,75,0,10,4,10,2.2,4.3
Rashaad Penny,RB,SEA,1,43,43,74,53,0,53,53,25.0,58.1
Sony Michel,RB,LAR,1,52,52,80,40,8,42,48,4.9,9.4
Dalton Schultz,TE,DAL,1,37,37,60,0,8,8,8,14.1,38.1
Phillip Lindsay,RB,MIA,1,15,15,22,73,0,73,73,4.0,26.7
Durham Smythe,TE,MIA,1,47,47,69,0,4,4,4,3.2,6.8
Darrel Williams,RB,KC,1,31,31,40,23,13,32,35,4.7,15.2
Noah Fant,TE,DEN,1,52,52,96,0,4,2,4,1.6,3.1
