player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Aaron Rodgers,QB,GB,1.0,58.0,58.0,98.0,3.0,0.0,60.0,60.0,33.5,57.8,11,2021
Adrian Peterson,RB,TEN,1.0,15.0,15.0,19.0,60.0,13.0,73.0,73.0,4.4,29.3,11,2021
Ben Roethlisberger,QB,PIT,1.0,69.0,69.0,100.0,0.0,0.0,64.0,64.0,22.9,33.2,11,2021
Danny Amendola,WR,HOU,1.0,13.0,13.0,20.0,0.0,8.0,0.0,8.0,0.0,0.0,11,2021
DeSean Jackson,WR,LV,1.0,16.0,16.0,34.0,6.0,0.0,6.0,6.0,0.4,2.5,11,2021
Jared Cook,TE,LAC,1.0,38.0,38.0,50.0,0.0,13.0,8.0,13.0,2.8,7.4,11,2021
Joe Flacco,QB,NYJ,1.0,60.0,60.0,100.0,3.0,0.0,68.0,68.0,17.9,29.8,11,2021
Matt Ryan,QB,ATL,1.0,50.0,50.0,93.0,0.0,0.0,56.0,56.0,4.1,8.2,11,2021
Matthew Slater,WR,NE,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2021
Tom Brady,QB,TB,1.0,69.0,69.0,88.0,1.0,0.0,68.0,68.0,20.3,29.4,11,2021
Andre Roberts,WR,LAC,1.0,1.0,1.0,1.0,100.0,0.0,100.0,100.0,0.4,40.0,11,2021
Colt McCoy,QB,ARI,1.0,83.0,83.0,100.0,7.0,0.0,60.0,60.0,22.9,27.6,11,2021
Emmanuel Sanders,WR,BUF,1.0,44.0,44.0,79.0,0.0,11.0,7.0,11.0,2.6,5.9,11,2021
Jimmy Graham,TE,CHI,1.0,12.0,12.0,20.0,0.0,25.0,17.0,25.0,2.5,20.8,11,2021
Rob Gronkowski,TE,TB,1.0,46.0,46.0,59.0,0.0,17.0,13.0,17.0,7.1,15.4,11,2021
A.J. Green,WR,ARI,1.0,57.0,57.0,69.0,0.0,12.0,7.0,12.0,7.8,13.7,11,2021
Blaine Gabbert,QB,TB,1.0,9.0,9.0,12.0,22.0,0.0,44.0,44.0,0.2,2.2,11,2021
Cam Newton,QB,CAR,1.0,51.0,51.0,100.0,20.0,0.0,73.0,73.0,26.2,51.4,11,2021
Mark Ingram II,RB,NO,1.0,47.0,47.0,72.0,34.0,17.0,47.0,51.0,9.3,19.8,11,2021
Randall Cobb,WR,GB,1.0,45.0,45.0,76.0,0.0,4.0,2.0,4.0,1.5,3.3,11,2021
Kyle Rudolph,TE,NYG,1.0,14.0,14.0,24.0,0.0,7.0,7.0,7.0,2.8,20.0,11,2021
Andy Dalton,QB,CHI,1.0,29.0,29.0,49.0,0.0,0.0,79.0,79.0,16.0,55.2,11,2021
Lee Smith,TE,ATL,1.0,22.0,22.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2021
Tyrod Taylor,QB,HOU,1.0,64.0,64.0,100.0,9.0,0.0,47.0,47.0,19.1,29.8,11,2021
Ryan Tannehill,QB,TEN,1.0,81.0,81.0,100.0,2.0,0.0,67.0,67.0,13.2,16.3,11,2021
Kirk Cousins,QB,MIN,1.0,70.0,70.0,100.0,3.0,0.0,53.0,53.0,25.2,36.0,11,2021
Russell Wilson,QB,SEA,1.0,49.0,49.0,100.0,4.0,0.0,57.0,57.0,8.5,17.3,11,2021
T.Y. Hilton,WR,IND,1.0,28.0,28.0,41.0,0.0,7.0,7.0,7.0,2.6,9.3,11,2021
Marvin Jones Jr.,WR,JAC,1.0,42.0,42.0,91.0,0.0,14.0,10.0,14.0,5.2,12.4,11,2021
Brandon Bolden,RB,NE,1.0,17.0,17.0,27.0,6.0,12.0,18.0,18.0,1.6,9.4,11,2021
Josh Gordon,WR,KC,1.0,29.0,29.0,43.0,0.0,7.0,3.0,7.0,0.7,2.4,11,2021
Cole Beasley,WR,BUF,1.0,32.0,32.0,57.0,0.0,16.0,13.0,16.0,2.3,7.2,11,2021
Travis Kelce,TE,KC,1.0,59.0,59.0,87.0,2.0,14.0,10.0,15.0,13.8,23.4,11,2021
Marquise Goodwin,WR,CHI,1.0,42.0,42.0,71.0,0.0,19.0,10.0,19.0,16.4,39.0,11,2021
Keenan Allen,WR,LAC,1.0,62.0,62.0,82.0,0.0,21.0,15.0,21.0,11.2,18.1,11,2021
Tavon Austin,WR,JAC,1.0,12.0,12.0,26.0,0.0,17.0,8.0,17.0,-0.2,-1.7,11,2021
Giovani Bernard,RB,TB,1.0,8.0,8.0,10.0,0.0,13.0,13.0,13.0,0.3,3.8,11,2021
Rex Burkhead,RB,HOU,1.0,27.0,27.0,42.0,67.0,0.0,67.0,67.0,4.0,14.8,11,2021
Zach Ertz,TE,ARI,1.0,63.0,63.0,76.0,0.0,14.0,13.0,14.0,20.8,33.0,11,2021
Kyle Juszczyk,RB,SF,1.0,38.0,38.0,55.0,0.0,5.0,3.0,5.0,0.7,1.8,11,2021
Latavius Murray,RB,BAL,1.0,30.0,30.0,37.0,33.0,7.0,40.0,40.0,3.3,11.0,11,2021
Ryan Griffin,TE,NYJ,1.0,47.0,47.0,78.0,0.0,9.0,6.0,9.0,3.9,8.3,11,2021
Jack Doyle,TE,IND,1.0,51.0,51.0,74.0,0.0,10.0,6.0,10.0,3.0,5.9,11,2021
Derek Carr,QB,LV,1.0,47.0,47.0,100.0,0.0,0.0,57.0,57.0,9.6,20.4,11,2021
