Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Pittsburgh Steelers,16,289,"2,981",10.3,186.3,73,15,1,0
Cleveland Browns,16,265,"3,158",11.9,197.4,80,16,4,3
Houston Texans,16,279,"3,322",11.9,207.6,56,18,0,0
Kansas City Chiefs,16,257,"3,407",13.3,212.9,67,23,1,0
New York Jets,16,275,"3,414",12.4,213.4,99,15,2,2
Baltimore Ravens,16,288,"3,430",11.9,214.4,66,11,6,3
Jacksonville Jaguars,16,326,"3,554",10.9,222.1,80,21,1,0
St. Louis Rams,16,293,"3,562",12.2,222.6,93,21,2,0
Cincinnati Bengals,16,319,"3,662",11.5,228.9,74,21,8,5
Philadelphia Eagles,16,301,"3,713",12.3,232.1,74,27,3,3
Seattle Seahawks,16,324,"3,750",11.6,234.4,68,18,5,4
San Diego Chargers,16,299,"3,778",12.6,236.1,78,29,3,1
Washington Redskins,16,308,"3,804",12.4,237.8,73,22,5,3
Tennessee Titans,16,369,"3,809",10.3,238.1,78,21,5,5
Indianapolis Colts,16,351,"3,824",10.9,239.0,81,25,4,2
Buffalo Bills,16,321,"3,924",12.2,245.3,65,30,2,2
Tampa Bay Buccaneers,16,301,"3,962",13.2,247.6,91,30,3,2
San Francisco 49ers,16,333,"3,978",11.9,248.6,77,20,5,4
Denver Broncos,16,333,"3,987",12.0,249.2,84,24,3,2
Arizona Cardinals,16,340,"4,000",11.8,250.0,95,17,3,3
Atlanta Falcons,16,340,"4,017",11.8,251.1,70,25,4,0
Detroit Lions,16,376,"4,102",10.9,256.4,80,26,4,3
Carolina Panthers,16,318,"4,119",13.0,257.4,84,28,4,3
Dallas Cowboys,16,336,"4,149",12.3,259.3,74,24,4,4
Miami Dolphins,16,350,"4,233",12.1,264.6,99,24,1,0
Oakland Raiders,16,324,"4,262",13.2,266.4,81,31,3,1
Chicago Bears,16,383,"4,273",11.2,267.1,79,22,3,2
Minnesota Vikings,16,367,"4,361",11.9,272.6,79,34,5,2
New Orleans Saints,16,362,"4,413",12.2,275.8,72,24,5,2
New York Giants,16,361,"4,417",12.2,276.1,74,28,1,0
New England Patriots,16,386,"4,977",12.9,311.1,58,26,0,0
Green Bay Packers,16,390,"4,988",12.8,311.8,72,29,8,5
