Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
San Francisco 49ers,16,353,"1,236",3.5,77.3,34,3,10,3
Baltimore Ravens,16,419,"1,482",3.5,92.6,25,10,10,3
Miami Dolphins,16,412,"1,530",3.7,95.6,24,8,9,1
Houston Texans,16,378,"1,536",4.1,96.0,42,8,8,5
Chicago Bears,16,384,"1,542",4.0,96.4,88,10,9,4
Atlanta Falcons,16,372,"1,552",4.2,97.0,74,10,5,4
Dallas Cowboys,16,385,"1,585",4.1,99.1,40,10,6,3
Pittsburgh Steelers,16,399,"1,597",4.0,99.8,42,7,2,1
Jacksonville Jaguars,16,435,"1,667",3.8,104.2,68,14,7,5
Cincinnati Bengals,16,425,"1,675",3.9,104.7,70,14,8,4
Minnesota Vikings,16,439,"1,712",3.9,107.0,28,10,5,4
New Orleans Saints,16,351,"1,738",5.0,108.6,69,11,7,3
New York Jets,16,451,"1,777",3.9,111.1,70,17,10,5
Green Bay Packers,16,383,"1,789",4.7,111.8,54,10,6,0
Seattle Seahawks,16,473,"1,797",3.8,112.3,39,10,4,0
Philadelphia Eagles,16,414,"1,801",4.4,112.6,61,11,5,3
New England Patriots,16,405,"1,874",4.6,117.1,41,13,10,6
Washington Redskins,16,438,"1,884",4.3,117.8,67,15,5,1
New York Giants,16,435,"1,940",4.5,121.3,80,15,10,5
San Diego Chargers,16,448,"1,955",4.4,122.2,46,8,3,1
Arizona Cardinals,16,475,"1,986",4.2,124.1,48,15,3,2
Denver Broncos,16,488,"2,021",4.1,126.3,47,11,5,1
Detroit Lions,16,410,"2,050",5.0,128.1,65,10,5,2
Tennessee Titans,16,461,"2,053",4.5,128.3,80,10,9,5
Carolina Panthers,16,451,"2,093",4.6,130.8,46,18,10,4
Kansas City Chiefs,16,508,"2,112",4.2,132.0,35,14,8,4
Oakland Raiders,16,430,"2,178",5.1,136.1,60,15,3,2
Buffalo Bills,16,467,"2,224",4.8,139.0,76,19,9,4
Indianapolis Colts,16,540,"2,303",4.3,143.9,56,19,5,3
Cleveland Browns,16,534,"2,359",4.4,147.4,67,12,6,4
St. Louis Rams,16,510,"2,433",4.8,152.1,91,17,12,3
Tampa Bay Buccaneers,16,498,"2,497",5.0,156.1,81,26,10,4
