Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
New Orleans Saints,16,472,"5,505",11.7,344.1,79,46,3,2
New England Patriots,16,402,"5,257",13.1,328.6,99,39,1,1
Green Bay Packers,16,376,"5,161",13.7,322.6,93,51,1,0
Detroit Lions,16,423,"5,071",12.0,316.9,73,41,4,3
New York Giants,16,359,"4,933",13.7,308.3,99,29,2,2
San Diego Chargers,16,366,"4,624",12.6,289.0,58,27,4,0
Dallas Cowboys,16,376,"4,453",11.8,278.3,77,33,5,3
Atlanta Falcons,16,365,"4,365",12.0,272.8,80,29,2,1
Pittsburgh Steelers,16,341,"4,333",12.7,270.8,95,21,4,4
Philadelphia Eagles,16,330,"4,276",13.0,267.3,73,22,3,3
Oakland Raiders,16,315,"4,119",13.1,257.4,78,20,4,3
Tennessee Titans,16,353,"4,113",11.7,257.1,80,22,5,4
Carolina Panthers,16,312,"4,089",13.1,255.6,91,21,6,4
Washington Redskins,16,346,"4,058",11.7,253.6,51,19,4,4
Arizona Cardinals,16,307,"3,954",12.9,247.1,73,21,4,2
Buffalo Bills,16,356,"3,857",10.8,241.1,60,24,1,1
Tampa Bay Buccaneers,16,365,"3,838",10.5,239.9,65,17,7,4
Houston Texans,16,288,"3,696",12.8,231.0,80,20,1,1
Baltimore Ravens,16,314,"3,629",11.6,226.8,74,21,1,0
New York Jets,16,310,"3,542",11.4,221.4,74,26,3,2
Cincinnati Bengals,16,308,"3,507",11.4,219.2,84,21,2,1
Seattle Seahawks,16,299,"3,444",11.5,215.3,61,15,1,0
Miami Dolphins,16,280,"3,425",12.2,214.1,65,20,3,3
Chicago Bears,16,268,"3,346",12.5,209.1,81,18,7,3
Cleveland Browns,16,320,"3,300",10.3,206.3,76,16,2,0
Kansas City Chiefs,16,299,"3,288",11.0,205.5,52,13,3,1
St. Louis Rams,16,292,"3,258",11.2,203.6,68,9,5,3
Minnesota Vikings,16,286,"3,255",11.4,203.4,72,20,5,4
Indianapolis Colts,16,302,"3,223",10.7,201.4,87,14,3,3
San Francisco 49ers,16,277,"3,193",11.5,199.6,56,18,3,1
Denver Broncos,16,217,"2,708",12.5,169.3,56,20,6,3
Jacksonville Jaguars,16,240,"2,510",10.5,156.9,74,12,3,0
