Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
Pittsburgh Steelers,16,264,82,156,26,86,221,38.9,8,13,61.5,96,777
San Francisco 49ers,16,267,53,190,24,76,216,35.2,7,17,41.2,98,867
Jacksonville Jaguars,16,268,73,175,20,79,218,36.2,4,9,44.4,105,895
Baltimore Ravens,16,269,79,166,24,71,221,32.1,10,21,47.6,103,"1,032"
Houston Texans,16,270,73,166,31,76,212,35.9,6,13,46.2,88,686
New York Jets,16,272,83,167,22,69,211,32.7,1,10,10.0,110,966
Cincinnati Bengals,16,284,94,170,20,78,220,35.5,4,11,36.4,101,878
Philadelphia Eagles,16,289,84,173,32,75,211,35.6,7,17,41.2,97,813
Chicago Bears,16,291,75,199,17,80,229,34.9,7,17,41.2,98,719
Kansas City Chiefs,16,291,96,169,26,72,210,34.3,7,16,43.8,108,834
Atlanta Falcons,16,292,87,186,19,93,211,44.1,6,11,54.6,101,843
Washington Redskins,16,295,95,180,20,77,206,37.4,4,10,40.0,123,"1,006"
Cleveland Browns,16,301,124,149,28,95,230,41.3,6,14,42.9,90,726
Dallas Cowboys,16,305,78,199,28,81,204,39.7,4,11,36.4,85,650
Miami Dolphins,16,310,88,198,24,74,219,33.8,7,14,50.0,112,975
Seattle Seahawks,16,310,96,174,40,77,221,34.8,7,11,63.6,96,907
San Diego Chargers,16,311,102,186,23,96,195,49.2,1,9,11.1,92,760
St. Louis Rams,16,313,122,166,25,83,216,38.4,5,8,62.5,111,951
Denver Broncos,16,315,101,182,32,73,218,33.5,3,9,33.3,99,845
Tennessee Titans,16,324,111,187,26,96,236,40.7,8,20,40.0,99,812
Detroit Lions,16,325,91,195,39,67,205,32.7,8,19,42.1,119,982
New Orleans Saints,16,326,92,196,38,67,202,33.2,6,22,27.3,109,912
Carolina Panthers,16,329,110,191,28,83,194,42.8,4,12,33.3,98,901
Minnesota Vikings,16,332,92,213,27,92,208,44.2,5,9,55.6,97,834
Arizona Cardinals,16,333,118,174,41,71,226,31.4,4,8,50.0,122,950
New York Giants,16,338,103,210,25,84,220,38.2,10,18,55.6,110,933
Buffalo Bills,16,340,120,196,24,75,189,39.7,9,13,69.2,85,871
Indianapolis Colts,16,343,136,193,14,98,216,45.4,3,6,50.0,84,804
Tampa Bay Buccaneers,16,356,135,188,33,73,185,39.5,9,13,69.2,95,786
Green Bay Packers,16,358,96,246,16,83,195,42.6,4,16,25.0,122,948
Oakland Raiders,16,369,105,206,58,92,219,42.0,4,14,28.6,120,982
New England Patriots,16,370,101,245,24,87,202,43.1,8,19,42.1,115,907
