Team,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,RTG
New Orleans Saints,16,472,662,71.3,"5,347",8.3,334.2,79,46,14,24,158,110.5
New England Patriots,16,402,612,65.7,"5,084",8.6,317.8,99,39,12,32,173,105.7
Green Bay Packers,16,376,552,68.1,"4,924",9.4,307.8,93,51,8,41,237,122.6
Detroit Lions,16,423,666,63.5,"4,814",7.6,300.9,73,41,16,36,257,97.2
New York Giants,16,359,589,61.0,"4,734",8.4,295.9,99,29,16,28,199,92.9
San Diego Chargers,16,366,582,62.9,"4,426",7.9,276.6,58,27,20,30,198,88.7
Dallas Cowboys,16,376,570,66.0,"4,201",7.8,262.6,77,33,12,39,252,100.1
Atlanta Falcons,16,365,594,61.4,"4,192",7.3,262.0,80,29,13,26,173,91.1
Philadelphia Eagles,16,330,554,59.6,"4,110",7.7,256.9,73,22,25,32,166,78.3
Pittsburgh Steelers,16,341,539,63.3,"4,054",8.0,253.4,95,21,15,42,279,89.7
Oakland Raiders,16,315,524,60.1,"3,962",7.9,247.6,78,20,23,25,157,79.4
Tennessee Titans,16,353,584,60.4,"3,923",7.0,245.2,80,22,14,24,190,84.4
Carolina Panthers,16,312,519,60.1,"3,829",7.9,239.3,91,21,17,35,260,84.8
Washington Redskins,16,346,591,58.5,"3,773",6.9,235.8,51,19,24,41,285,73.3
Buffalo Bills,16,356,578,61.6,"3,703",6.7,231.4,60,24,25,23,154,77.0
Tampa Bay Buccaneers,16,365,588,62.1,"3,650",6.5,228.1,65,17,24,32,188,73.6
Arizona Cardinals,16,307,550,55.8,"3,567",7.2,222.9,73,21,23,54,387,73.9
Houston Texans,16,288,467,61.7,"3,506",7.9,219.1,80,20,9,33,190,92.7
Baltimore Ravens,16,314,544,57.7,"3,423",6.7,213.9,74,21,12,33,206,81.7
Cincinnati Bengals,16,308,535,57.6,"3,340",6.6,208.8,84,21,14,25,167,79.6
New York Jets,16,310,547,56.7,"3,297",6.5,206.1,74,26,18,40,245,78.4
Seattle Seahawks,16,299,509,58.7,"3,105",6.8,194.1,61,15,14,50,339,77.6
Miami Dolphins,16,280,469,59.7,"3,091",7.3,193.2,65,20,13,52,334,84.9
Cleveland Browns,16,320,570,56.1,"3,090",5.8,193.1,76,16,13,39,210,72.8
Kansas City Chiefs,16,299,500,59.8,"3,080",6.6,192.5,52,13,18,34,208,73.0
Chicago Bears,16,268,473,56.7,"3,011",7.1,188.2,81,18,20,49,335,73.8
Indianapolis Colts,16,302,534,56.6,"2,995",6.0,187.2,87,14,14,35,228,72.2
Minnesota Vikings,16,286,510,56.1,"2,957",6.4,184.8,72,20,17,49,298,74.6
San Francisco 49ers,16,277,451,61.4,"2,930",7.1,183.1,56,18,5,44,263,91.4
St. Louis Rams,16,292,549,53.2,"2,870",5.9,179.4,68,9,10,55,388,69.0
Denver Broncos,16,217,429,50.6,"2,434",6.3,152.1,56,20,13,42,274,73.5
Jacksonville Jaguars,16,240,469,51.2,"2,179",5.4,136.2,74,12,15,44,331,62.2
