team,games,passing_cmp_against,passing_att_against,passing_cmp_percent_against,passing_yds_against,passing_ya_against,passing_yds_per_game_against,passing_longest_pass_against,passing_td_against,passing_int_against,passing_sack_against,sack_yards_lost,passer_rating,year
PIT,16,289,530,54.5,2751,5.6,171.9,73,15,11,35,230,71.7,2011
CLE,16,265,469,56.5,2959,6.7,184.9,80,16,9,32,199,80.6,2011
HOU,16,279,538,51.9,3035,6.2,189.7,56,18,17,44,287,69.0,2011
BAL,16,288,535,53.8,3140,6.4,196.3,66,11,15,48,290,68.8,2011
NYJ,16,275,507,54.2,3216,6.7,201.0,99,15,19,35,198,69.6,2011
KC,16,257,454,56.6,3221,7.5,201.3,67,23,20,29,186,79.1,2011
LAR,16,293,484,60.5,3301,7.4,206.3,93,21,12,39,261,87.3,2011
JAC,16,326,513,63.5,3341,6.9,208.8,80,21,17,31,213,83.7,2011
CIN,16,319,539,59.2,3385,6.8,211.6,74,21,10,45,277,85.0,2011
PHI,16,301,518,58.1,3397,7.2,212.3,74,27,15,50,316,85.7,2011
SEA,16,324,543,59.7,3518,6.9,219.9,68,18,22,33,232,74.7,2011
WAS,16,308,509,60.5,3553,7.5,222.1,73,22,13,41,251,87.4,2011
LAC,16,299,478,62.6,3591,7.9,224.4,78,29,17,32,187,92.5,2011
TEN,16,369,591,62.4,3629,6.4,226.8,78,21,11,28,180,85.1,2011
IND,16,351,493,71.2,3632,7.8,227.0,81,25,8,29,192,103.9,2011
SF,16,333,579,57.5,3695,6.9,230.9,77,20,23,42,283,73.6,2011
ARI,16,340,578,58.8,3696,6.9,231.0,95,17,10,42,304,82.5,2011
DEN,16,333,534,62.4,3704,7.5,231.5,84,24,9,41,283,93.1,2011
BUF,16,321,507,63.3,3714,7.7,232.1,65,30,20,29,210,90.4,2011
ATL,16,340,560,60.7,3786,7.2,236.6,70,25,19,33,231,83.3,2011
TB,16,301,481,62.6,3814,8.2,238.4,91,30,14,23,148,97.2,2011
DET,16,376,604,62.3,3831,6.8,239.4,80,26,21,41,271,82.1,2011
DAL,16,336,545,61.7,3906,7.6,244.1,74,24,15,42,243,88.4,2011
CAR,16,318,490,64.9,3949,8.4,246.8,84,28,14,31,170,98.3,2011
MIA,16,350,590,59.3,3992,7.2,249.5,99,24,16,41,241,83.7,2011
MIN,16,367,538,68.2,4019,8.1,251.2,79,34,8,50,342,107.6,2011
LV,16,324,601,53.9,4023,7.1,251.4,81,31,18,39,239,81.3,2011
CHI,16,383,631,60.7,4065,6.8,254.1,79,22,20,33,208,79.3,2011
NYG,16,361,589,61.3,4082,7.5,255.1,74,28,20,48,335,86.1,2011
NO,16,362,626,57.8,4157,7.1,259.8,72,24,9,33,256,86.4,2011
NE,16,386,619,62.4,4703,8.0,293.9,58,26,23,40,274,86.1,2011
GB,16,390,637,61.2,4796,7.8,299.8,72,29,31,29,192,80.6,2011
