player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Blake Jarwin,TE,DAL,1,32,32,44,0,3,0,3,0.0,0.0,8,2014
Jamal Agnew,WR,JAC,1,55,55,72,0,22,11,22,9.8,17.8,8,2014
Aaron Jones,RB,GB,1,48,48,66,31,23,46,54,17.0,35.4,8,2014
Alex Armah Jr.,RB,NO,1,9,9,12,0,11,11,11,6.1,67.8,8,2014
Ricky Seals-Jones,TE,WAS,1,70,70,100,0,6,3,6,1.2,1.7,8,2014
Anthony Firkser,TE,TEN,1,20,20,27,0,10,5,10,0.8,4.0,8,2014
P.J. Walker,QB,CAR,1,10,10,14,10,0,20,20,-0.1,-1.0,8,2014
Keelan Cole Sr.,WR,NYJ,1,55,55,65,0,9,5,9,2.5,4.5,8,2014
Dare Ogunbowale,RB,JAC,1,15,15,20,13,7,20,20,1.8,12.0,8,2014
Marcus Kemp,WR,KC,1,2,2,2,0,0,0,0,0.0,0.0,8,2014
Zach Pascal,WR,IND,1,75,75,94,0,11,7,11,4.3,5.7,8,2014
Kendrick Bourne,WR,NE,1,23,23,30,0,30,17,30,1.8,7.8,8,2014
Cyril Grayson Jr.,WR,TB,1,8,8,13,0,13,13,13,11.0,137.5,8,2014
Greg Ward,WR,PHI,1,32,32,49,0,0,0,0,0.0,0.0,8,2014
Dan Arnold,TE,JAC,1,55,55,72,0,18,15,18,6.8,12.4,8,2014
Sam Darnold,QB,CAR,1,64,64,86,13,0,50,50,11.8,18.4,8,2014
Baker Mayfield,QB,CLE,1,59,59,100,2,0,54,54,9.5,16.1,8,2014
Logan Woodside,QB,TEN,1,1,1,1,100,0,100,100,-0.1,-10.0,8,2014
Ronald Jones II,RB,TB,1,9,9,15,33,11,44,44,1.9,21.1,8,2014
Royce Freeman,RB,CAR,1,11,11,15,55,9,55,64,2.5,22.7,8,2014
Nick Chubb,RB,CLE,1,33,33,56,48,3,52,52,6.9,20.9,8,2014
Kalen Ballage,RB,PIT,1,3,3,4,33,0,33,33,-0.3,-10.0,8,2014
Myles Gaskin,RB,MIA,1,40,40,58,30,10,38,40,5.5,13.8,8,2014
Courtland Sutton,WR,DEN,1,46,46,87,0,9,4,9,4.0,8.7,8,2014
James Washington,WR,PIT,1,34,34,46,0,3,3,3,0.4,1.2,8,2014
Tre'Quan Smith,WR,NO,1,48,48,63,0,6,6,6,9.3,19.4,8,2014
Cedrick Wilson Jr.,WR,DAL,1,42,42,58,0,7,10,10,15.8,37.6,8,2014
Dante Pettis,WR,NYG,1,1,1,2,0,0,0,0,0.0,0.0,8,2014
DJ Moore,WR,CAR,1,61,61,82,0,13,7,13,5.9,9.7,8,2014
Christian Kirk,WR,ARI,1,46,46,78,0,13,9,13,4.6,10.0,8,2014
Dallas Goedert,TE,PHI,1,44,44,68,0,16,14,16,7.2,16.4,8,2014
Mike Gesicki,TE,MIA,1,67,67,97,0,6,4,6,6.8,10.1,8,2014
Hayden Hurst,TE,ATL,1,33,33,62,0,9,6,9,0.4,1.2,8,2014
Braxton Berrios,WR,NYJ,1,20,20,24,0,10,10,10,7.3,36.5,8,2014
Nyheim Hines,RB,IND,1,25,25,31,4,20,20,24,2.4,9.6,8,2014
Josh Allen,QB,BUF,1,73,73,100,11,0,68,68,29.5,40.4,8,2014
Justin Jackson,RB,LAC,1,7,7,12,43,0,43,43,7.9,112.9,8,2014
Equanimeous St. Brown,WR,GB,1,67,67,92,0,4,3,4,1.2,1.8,8,2014
Rashaad Penny,RB,SEA,1,11,11,19,64,0,64,64,0.7,6.4,8,2014
Sony Michel,RB,LAR,1,20,20,30,45,10,55,55,5.6,28.0,8,2014
Dalton Schultz,TE,DAL,1,60,60,82,0,12,3,12,1.1,1.8,8,2014
Godwin Igwebuike,RB,DET,1,11,11,18,27,27,55,55,0.0,0.0,8,2014
