,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Mike Williams(LAC),8,16,165,20.6,72,0,2,0,0,0,0,1,28.5,28.5,91.9%
1,2,Davante Adams(GB),11,16,206,18.7,59,0,1,0,0,0,0,1,26.6,26.6,100.0%
2,3,Marquise Brown(BAL),9,10,125,13.9,43,0,2,0,0,0,0,1,24.5,24.5,92.8%
3,4,Antonio Brown(FA),7,8,124,17.7,62,0,2,0,0,0,0,1,24.4,24.4,84.1%
4,5,Mike Evans(TB),6,8,113,18.8,34,0,2,0,0,0,0,1,23.3,23.3,97.8%
5,6,Ja'Marr Chase(CIN),6,10,159,26.5,70,0,1,0,0,0,0,1,21.9,21.9,98.5%
6,7,D.K. Metcalf(SEA),5,5,98,19.6,25,0,2,0,0,0,0,1,21.8,21.8,98.9%
7,8,Marquez Callaway(NO),4,8,85,21.3,49,0,2,0,0,0,0,1,20.5,20.5,28.6%
8,9,Kadarius Toney(NYG),10,13,189,18.9,38,0,0,1,7,0,0,1,19.6,19.6,21.6%
9,10,Chase Claypool(PIT),5,6,130,26.0,59,0,1,0,0,0,0,1,19.0,19.0,85.4%
10,11,Courtland Sutton(DEN),7,11,120,17.1,39,0,1,0,0,0,0,1,18.0,18.0,67.5%
11,12,Emmanuel Sanders(BUF),3,5,54,18.0,35,0,2,0,0,0,0,1,17.4,17.4,46.6%
12,13,Chris Moore(HOU),5,5,109,21.8,67,0,1,0,0,0,0,1,16.9,16.9,0.1%
13,14,Robert Woods(LAR),12,14,150,12.5,25,0,0,0,0,0,0,1,15.0,15.0,29.9%
14,15,Michael Pittman Jr.(IND),6,7,89,14.8,42,0,1,0,0,0,0,1,14.9,14.9,92.6%
15,16,CeeDee Lamb(DAL),4,6,84,21.0,49,0,1,1,4,0,0,1,14.8,14.8,99.7%
16,17,DeAndre Hopkins(ARI),6,9,87,14.5,30,0,1,0,0,0,0,1,14.7,14.7,69.3%
17,18,Deonte Harty(NO),1,1,72,72.0,72,0,1,0,0,0,0,1,13.2,13.2,8.7%
18,19,Diontae Johnson(PIT),2,2,72,36.0,50,0,1,0,0,0,0,1,13.2,13.2,98.1%
19,20,Deebo Samuel(SF),3,9,58,19.3,26,0,0,1,13,1,0,1,13.1,13.1,98.8%
20,21,Chris Conley(HOU),3,4,84,28.0,40,0,1,0,0,0,1,1,12.4,12.4,0.4%
21,22,Justin Jefferson(MIN),7,8,124,17.7,37,0,0,0,0,0,0,1,12.4,12.4,99.9%
22,23,Amari Cooper(DAL),3,6,60,20.0,24,0,1,0,0,0,0,1,12.0,12.0,97.7%
23,24,Rondale Moore(ARI),5,6,59,11.8,33,0,0,3,38,0,0,1,9.7,9.7,20.4%
24,25,Cooper Kupp(LAR),7,10,92,13.1,33,0,0,0,0,0,0,1,9.2,9.2,100.0%
25,26,Rashard Higgins(CLE),3,5,29,9.7,16,0,1,0,0,0,0,1,8.9,8.9,0.7%
26,27,Tim Patrick(DEN),7,9,89,12.7,23,0,0,0,0,0,0,1,8.9,8.9,17.6%
27,28,Kendall Hinton(DEN),2,3,25,12.5,23,0,1,0,0,0,0,1,8.5,8.5,0.1%
28,29,Tyreek Hill(KC),7,13,63,9.0,17,0,0,1,15,0,0,1,7.8,7.8,100.0%
29,30,DeVonta Smith(PHI),7,9,77,11.0,17,0,0,0,0,0,1,1,7.7,7.7,86.6%
30,31,Mecole Hardman(KC),9,12,76,8.4,26,0,0,0,0,0,0,1,7.6,7.6,29.2%
31,32,Keenan Allen(LAC),6,9,75,12.5,37,0,0,0,0,0,0,1,7.5,7.5,99.3%
32,33,Adam Humphries(WAS),3,5,73,24.3,27,0,0,0,0,0,0,1,7.3,7.3,0.8%
33,34,DeAndre Carter(WAS),4,8,62,15.5,26,0,0,1,11,0,0,1,7.3,7.3,1.8%
34,35,Chris Godwin(TB),7,11,70,10.0,18,0,0,0,0,0,0,1,7.0,7.0,67.1%
35,36,Donovan Peoples-Jones(CLE),5,6,70,14.0,42,0,0,0,0,0,0,1,7.0,7.0,14.3%
36,37,Stefon Diggs(BUF),2,5,69,34.5,61,0,0,0,0,0,0,1,6.9,6.9,100.0%
37,38,DeSean Jackson(LV),1,3,68,68.0,68,0,0,0,0,0,0,1,6.8,6.8,4.4%
38,39,Preston Williams(MIA),3,5,60,20.0,34,0,0,1,7,0,0,1,6.7,6.7,0.1%
39,40,Amon-Ra St. Brown(DET),7,8,65,9.3,18,0,0,0,0,0,0,1,6.5,6.5,82.8%
40,41,Laviska Shenault Jr.(JAC),1,3,58,58.0,58,0,0,0,0,0,0,1,5.8,5.8,34.3%
41,42,Tyler Lockett(SEA),5,10,57,11.4,25,0,0,0,0,0,0,1,5.7,5.7,97.5%
42,43,Parris Campbell(IND),4,6,56,14.0,23,0,0,0,0,0,0,1,5.6,5.6,4.5%
43,44,Jakobi Meyers(NE),4,5,56,14.0,24,0,0,0,0,0,0,1,5.6,5.6,66.5%
44,45,Hunter Renfrow(LV),6,8,56,9.3,17,0,0,0,0,0,0,1,5.6,5.6,89.8%
45,46,Tavon Austin(JAC),5,5,54,10.8,22,0,0,0,0,0,0,1,5.4,5.4,0.1%
46,47,Tajae Sharpe(ATL),4,5,53,13.3,17,0,0,0,0,0,0,1,5.3,5.3,1.1%
47,48,Tee Higgins(CIN),5,7,32,6.4,10,0,0,0,0,0,0,1,5.2,5.2,95.2%
48,49,Marcus Johnson(TEN),3,5,52,17.3,22,0,0,0,0,0,0,1,5.2,5.2,0.6%
49,50,Henry Ruggs III(FA),3,3,51,17.0,29,0,0,0,0,0,0,1,5.1,5.1,10.9%
50,51,Byron Pringle(KC),2,2,11,5.5,6,0,1,0,0,0,1,1,5.1,5.1,2.7%
51,52,Cedrick Wilson Jr.(DAL),1,1,35,35.0,35,0,0,1,6,0,0,1,5.0,5.0,4.0%
52,53,Christian Kirk(ARI),5,5,39,7.8,9,0,0,1,11,0,0,1,5.0,5.0,79.5%
53,54,Jamal Agnew(JAC),6,7,41,6.8,8,0,0,1,8,0,0,1,4.9,4.9,1.2%
54,55,Quez Watkins(PHI),3,3,48,16.0,53,0,0,0,0,0,0,1,4.8,4.8,1.3%
