,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
55,56,CeeDee Lamb(DAL),2,2,45,22.5,31,0,0,0,0,0,0,1,4.5,4.5,99.7%
56,57,Breshad Perriman(TB),5,6,44,8.8,24,0,0,0,0,0,0,1,4.4,4.4,2.5%
57,58,Christian Kirk(ARI),2,3,43,21.5,35,0,0,0,0,0,0,1,4.3,4.3,79.5%
58,59,Allen Robinson II(CHI),2,4,22,11.0,16,0,0,0,0,0,0,1,4.2,4.2,53.7%
59,60,DeVonta Smith(PHI),3,4,41,13.7,25,0,0,0,0,0,0,1,4.1,4.1,86.6%
60,61,Trent Taylor(CIN),2,3,41,20.5,26,0,0,0,0,0,0,1,4.1,4.1,0.0%
61,62,T.Y. Hilton(IND),2,5,39,19.5,33,0,0,0,0,0,0,1,3.9,3.9,16.8%
62,63,Gabriel Davis(BUF),3,14,39,13.0,27,0,0,0,0,0,0,1,3.9,3.9,22.3%
63,64,Donovan Peoples-Jones(CLE),3,4,38,12.7,22,0,0,0,0,0,0,1,3.8,3.8,14.3%
64,65,Ray-Ray McCloud(PIT),4,9,37,9.3,20,0,0,0,0,0,0,1,3.7,3.7,1.0%
65,66,Deonte Harty(NO),3,4,24,8.0,10,0,0,1,9,0,0,1,3.3,3.3,8.7%
66,67,Kendrick Bourne(NE),3,4,24,8.0,17,0,0,1,8,0,0,1,3.2,3.2,23.7%
67,68,Cole Beasley(BUF),4,5,31,7.8,13,0,0,0,0,0,0,1,3.1,3.1,63.2%
68,69,Van Jefferson(LAR),2,3,31,15.5,24,0,0,0,0,0,0,1,3.1,3.1,68.1%
69,70,Jerry Jeudy(DEN),2,5,30,15.0,28,0,0,0,0,0,0,1,3.0,3.0,65.4%
70,71,Jalen Reagor(PHI),2,3,19,9.5,12,0,0,3,10,0,0,1,2.9,2.9,13.3%
71,72,Marquise Brown(BAL),3,8,27,9.0,11,0,0,0,0,0,0,1,2.7,2.7,92.8%
72,73,Zay Jones(LV),5,8,27,5.4,11,0,0,0,0,0,0,1,2.7,2.7,6.0%
73,74,Brandin Cooks(HOU),3,4,26,8.7,25,0,0,0,0,0,0,1,2.6,2.6,92.7%
74,75,Ja'Marr Chase(CIN),2,4,26,13.0,24,0,0,0,0,0,0,1,2.6,2.6,98.5%
75,76,Lil'Jordan Humphrey(NO),1,1,26,26.0,26,0,0,0,0,0,0,1,2.6,2.6,0.2%
76,77,A.J. Green(ARI),4,9,23,5.8,9,0,0,0,0,0,0,1,2.3,2.3,51.8%
77,78,Nelson Agholor(NE),1,3,23,23.0,23,0,0,0,0,0,0,1,2.3,2.3,13.6%
78,79,Rashod Bateman(BAL),2,4,22,11.0,19,0,0,0,0,0,0,1,2.2,2.2,29.1%
79,80,Tyler Johnson(TB),5,7,22,4.4,7,0,0,0,0,0,0,1,2.2,2.2,4.7%
80,81,Kenny Golladay(NYG),3,5,22,7.3,9,0,0,0,0,0,0,1,2.2,2.2,51.8%
81,82,Equanimeous St. Brown(GB),2,5,22,11.0,18,0,0,0,0,0,0,1,2.2,2.2,0.1%
82,83,Demarcus Robinson(KC),3,6,19,6.3,11,0,0,0,0,0,0,1,1.9,1.9,0.8%
83,84,Courtland Sutton(DEN),1,3,13,13.0,13,0,0,0,0,0,0,1,1.9,1.9,67.5%
84,85,Isaiah McKenzie(BUF),1,1,9,9.0,9,0,0,1,10,0,0,1,1.9,1.9,5.5%
85,86,Odell Beckham Jr.(LAR),2,5,18,9.0,13,0,0,0,0,0,0,1,1.8,1.8,90.8%
86,87,Antoine Wesley(ARI),2,4,17,8.5,9,0,0,0,0,0,0,1,1.7,1.7,0.3%
87,88,Anthony Schwartz(CLE),1,3,13,13.0,13,0,0,1,3,0,0,1,1.6,1.6,0.3%
88,89,Jamison Crowder(NYJ),1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,23.6%
89,90,Jake Kumerow(BUF),1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.1%
90,91,Dazz Newsome(CHI),1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%
91,92,Marquise Goodwin(CHI),2,3,13,6.5,8,0,0,0,0,0,0,1,1.3,1.3,0.3%
92,93,Trent Sherfield(SF),1,1,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.1%
93,94,DeVante Parker(MIA),2,4,12,6.0,9,0,0,0,0,0,0,1,1.2,1.2,64.3%
94,95,C.J. Saunders(CAR),2,2,11,5.5,8,0,0,0,0,0,0,1,1.1,1.1,0.0%
95,96,Josh Reynolds(DET),1,3,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,6.9%
