player,team,touchdowns
E.Moore,NYJ,0
D.Brown,WAS,0
D.Fitzpatrick,TEN,0
D.Felton,CLE,0
K.Toney,NYG,0
P.Williams,CIN,0
D.Chisena,MIN,0
A.Baccellia,ARI,0
M.Ffrench,LAC,0
J.Cotton,JAC,0
S.Williams,DEN,0
R.Cracraft,FA,0
M.Stevenson,BUF,0
A.Rodgers,GB,0
N.Collins,HOU,0
S.Smith,CAR,0
T.Atwell,LAR,0
A.Schwartz,CLE,0
D.Newsome,CHI,0
J.Koski,LAR,0
J.Moore,ATL,0
M.Bailey,NYJ,0
K.Hinton,DEN,0
K.Wilkerson,NE,0
T.Simmons,PIT,0
J.Moore,BAL,0
D.Dillon,NYG,0
S.Washington,CIN,0
E.St.,GB,0
J.Proche,BAL,0
R.John,NYG,0
T.Jonsen,TB,0
A.Hifo,ARI,0
J.Hammond,JAC,0
D.Harris,IND,0
M.Cole,SEA,0
J.Ward,CLE,0
J.Weah,CHI,0
J.McCleskey,NO,0
J.Pearson,TB,0
I.Hodgins,BUF,0
D.Mims,NYJ,0
B.Edwards,LV,0
C.Phillips,FA,0
J.Winfree,GB,0
T.Johnson,TB,0
C.Claypool,PIT,0
Q.Bell,ATL,0
P.Hart,SEA,0
T.Irwin,CIN,0
C.Scott,TEN,0
J.Grant,FA,0
J.Franklin,FA,0
D.Thompkins,GB,0
T.Godwin,JAC,0
T.Fulgham,DEN,0
C.Johnson,NYG,0
A.Wesley,ARI,0
A.Ratliff-Williams,SEA,0
L.Humphrey,NO,0
D.Sills,NYG,0
G.Jennings,FA,0
S.Roland,CHI,0
C.Thompson,SEA,0
D.Davis,HOU,0
H.Butler,PHI,0
T.Johnson,LV,0
J.Jeudy,DEN,0
T.Kennedy,DET,0
C.Lamb,DAL,0
C.Batson,TEN,0
D.Duvernay,BAL,0
A.Gandy-Golden,WAS,0
J.Hightower,PHI,0
A.Fuller,SEA,0
D.Peoples-Jones,CLE,0
M.Pittman,IND,0
K.Kirkwood,FA,0
K.Hamler,DEN,0
B.Aiyuk,SF,0
J.Jefferson,MIN,0
D.Smith,PHI,0
L.Shenault,JAC,0
J.Reagor,PHI,0
T.Higgins,CIN,0
T.Ives,CHI,0
M.Taylor,GB,0
M.Henry,NO,0
K.Ento,GB,0
J.Fortson,KC,0
