Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Josh Gordon(KC),87,159,"1,646",18.9,95,30,9,5,88,0,0,14,227.4,16.2,1.8%
2,A.J. Green(ARI),98,178,"1,426",14.6,82,18,11,0,0,0,0,16,208.6,13.0,51.8%
3,Dez Bryant(FA),93,160,"1,233",13.3,79,14,13,1,1,0,1,16,199.4,12.5,2.6%
4,Antonio Brown(FA),110,166,"1,499",13.6,56,23,8,7,4,0,0,16,198.9,12.4,84.1%
5,Alshon Jeffery(FA),89,150,"1,421",16.0,80,20,7,16,105,0,1,16,194.6,12.2,0.1%
6,DeSean Jackson(LV),82,125,"1,332",16.2,61,25,9,3,2,0,0,16,187.4,11.7,4.4%
7,Larry Fitzgerald(FA),82,134,954,11.6,75,11,10,2,8,0,1,16,154.2,9.6,0.3%
8,Julian Edelman(FA),105,151,"1,056",10.1,44,9,6,2,11,0,0,16,146.7,9.2,13.1%
9,T.Y. Hilton(IND),82,138,"1,083",13.2,73,13,5,2,6,0,0,16,138.9,8.7,16.8%
10,Marvin Jones Jr.(JAC),51,80,712,14.0,45,10,10,8,65,0,0,16,137.7,8.6,55.4%
11,Golden Tate(FA),64,98,898,14.0,80,12,5,3,31,0,0,16,122.9,7.7,0.1%
12,Emmanuel Sanders(BUF),67,112,740,11.0,55,12,6,1,25,0,0,16,114.5,7.2,46.6%
13,Kenny Stills(NO),32,50,641,20.0,76,7,5,3,10,0,0,16,95.1,5.9,0.1%
14,DeAndre Hopkins(ARI),52,91,802,15.4,66,12,2,0,0,0,1,16,90.2,5.6,69.3%
15,Ted Ginn Jr.(FA),36,68,556,15.4,47,10,5,4,29,0,0,16,88.5,5.5,0.0%
16,Robert Woods(LAR),40,85,587,14.7,57,9,3,2,16,0,0,14,80.3,5.7,29.9%
17,Danny Amendola(HOU),54,83,633,11.7,57,8,2,1,1,0,0,12,75.4,6.3,0.1%
18,Randall Cobb(GB),31,47,433,14.0,48,6,4,4,78,0,0,6,75.1,12.5,7.6%
19,Julio Jones(TEN),41,60,580,14.1,81,9,2,1,7,0,1,5,68.7,13.7,60.7%
20,Andre Roberts(LAC),43,76,471,11.0,34,3,2,0,0,0,0,16,59.1,3.7,0.1%
21,Mohamed Sanu Sr.(SF),47,78,455,9.7,32,4,2,4,16,0,1,16,58.1,3.6,0.1%
22,Cole Beasley(BUF),39,54,368,9.4,23,2,2,0,0,0,0,14,48.8,3.5,63.2%
23,Marquise Goodwin(CHI),17,32,283,16.6,59,5,3,3,13,0,1,12,45.6,3.8,0.3%
24,Dwayne Harris(FA),9,14,80,8.9,24,1,2,1,6,0,1,13,18.6,1.4,0.0%
25,Travis Benjamin(SF),5,13,105,21.0,39,4,0,1,45,0,1,8,13.0,1.6,0.0%
26,Chris Hogan(FA),10,17,83,8.3,16,0,0,0,0,0,0,16,8.3,0.5,0.0%
27,KJ Hamler(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
28,Devin Duvernay(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
29,Brandon Aiyuk(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.8%
30,Justin Jefferson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
