rank,player,sacks,ints,frec,ff,defense_td,sfty,spc_td,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Seattle Seahawks,44.0,28.0,11.0,14.0,4.0,2.0,0.0,16.0,196.0,12.3,39.4,SEA,DST,2013
2.0,Carolina Panthers,60.0,20.0,10.0,11.0,4.0,0.0,0.0,16.0,190.0,11.9,27.8,CAR,DST,2013
3.0,Kansas City Chiefs,47.0,21.0,15.0,12.0,7.0,0.0,4.0,16.0,180.0,11.3,45.7,KC,DST,2013
4.0,Arizona Cardinals,47.0,20.0,10.0,11.0,5.0,2.0,0.0,16.0,168.0,10.5,60.9,ARI,DST,2013
5.0,Cincinnati Bengals,43.0,20.0,11.0,13.0,5.0,0.0,1.0,16.0,167.0,10.4,14.7,CIN,DST,2013
6.0,San Francisco 49ers,38.0,18.0,11.0,11.0,5.0,1.0,0.0,16.0,163.0,10.2,79.5,SF,DST,2013
7.0,New England Patriots,48.0,17.0,12.0,11.0,3.0,0.0,0.0,16.0,145.0,9.1,93.2,NE,DST,2013
8.0,Buffalo Bills,57.0,23.0,6.0,12.0,3.0,0.0,0.0,16.0,143.0,8.9,95.9,BUF,DST,2013
9.0,Indianapolis Colts,42.0,15.0,12.0,15.0,1.0,2.0,1.0,16.0,132.0,8.3,66.4,IND,DST,2013
10.0,Tampa Bay Buccaneers,35.0,21.0,10.0,13.0,3.0,1.0,0.0,16.0,126.0,7.9,98.0,TB,DST,2013
11.0,Philadelphia Eagles,37.0,19.0,12.0,11.0,2.0,2.0,0.0,16.0,122.0,7.6,52.5,PHI,DST,2013
12.0,Miami Dolphins,42.0,18.0,6.0,8.0,2.0,1.0,0.0,16.0,121.0,7.6,60.2,MIA,DST,2013
13.0,New York Giants,34.0,17.0,12.0,13.0,2.0,0.0,1.0,16.0,120.0,7.5,4.5,NYG,DST,2013
14.0,Tennessee Titans,36.0,13.0,12.0,13.0,3.0,0.0,0.0,16.0,116.0,7.3,48.4,TEN,DST,2013
15.0,Denver Broncos,41.0,17.0,9.0,14.0,2.0,0.0,3.0,16.0,115.0,7.2,48.5,DEN,DST,2013
16.0,Dallas Cowboys,34.0,15.0,13.0,13.0,5.0,0.0,1.0,16.0,115.0,7.2,82.9,DAL,DST,2013
17.0,Baltimore Ravens,40.0,16.0,7.0,14.0,1.0,0.0,2.0,16.0,111.0,6.9,51.9,BAL,DST,2013
18.0,Cleveland Browns,40.0,14.0,7.0,7.0,4.0,0.0,1.0,16.0,111.0,6.9,40.8,CLE,DST,2013
19.0,Chicago Bears,31.0,19.0,9.0,17.0,6.0,0.0,1.0,16.0,111.0,6.9,35.9,CHI,DST,2013
20.0,Pittsburgh Steelers,34.0,10.0,10.0,14.0,3.0,1.0,1.0,16.0,110.0,6.9,44.6,PIT,DST,2013
21.0,New Orleans Saints,49.0,12.0,7.0,10.0,0.0,0.0,0.0,16.0,109.0,6.8,79.3,NO,DST,2013
22.0,Detroit Lions,33.0,15.0,7.0,8.0,2.0,2.0,2.0,16.0,100.0,6.3,1.1,DET,DST,2013
23.0,Green Bay Packers,44.0,11.0,11.0,13.0,2.0,0.0,1.0,16.0,100.0,6.3,60.6,GB,DST,2013
24.0,Washington Commanders,36.0,16.0,9.0,12.0,5.0,0.0,0.0,16.0,99.0,6.2,27.5,WAS,DST,2013
25.0,New York Jets,41.0,13.0,2.0,9.0,1.0,1.0,0.0,16.0,97.0,6.1,3.3,NYJ,DST,2013
26.0,Jacksonville Jaguars,31.0,11.0,10.0,14.0,2.0,3.0,0.0,16.0,86.0,5.4,6.9,JAC,DST,2013
27.0,Atlanta Falcons,32.0,10.0,11.0,13.0,3.0,0.0,0.0,16.0,84.0,5.3,5.8,ATL,DST,2013
28.0,Minnesota Vikings,41.0,12.0,8.0,11.0,1.0,0.0,3.0,16.0,72.0,4.5,28.0,MIN,DST,2013
29.0,Houston Texans,32.0,7.0,4.0,8.0,1.0,1.0,1.0,16.0,60.0,3.8,6.4,HOU,DST,2013
30.0,Los Angeles Rams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,LAR,DST,2013
31.0,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,LAC,DST,2013
32.0,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,LV,DST,2013
