rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
243.0,Doug Martin,127.0,456.0,3.6,28.0,2.0,1.0,12.0,24.0,66.0,5.5,0.0,1.0,6.0,0.0,0.0,0.0,RB,2013,team
244.0,David Wilson,44.0,146.0,3.3,18.0,0.0,1.0,2.0,6.0,8.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,RB,2013,team
245.0,Trent Richardson,188.0,563.0,3.0,22.0,1.0,3.0,35.0,52.0,316.0,9.0,1.0,1.0,16.0,0.0,0.0,0.0,RB,2013,team
246.0,Shaun Draughn,4.0,2.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,RB,2013,team
248.0,Ronnie Hillman,55.0,218.0,4.0,19.0,0.0,1.0,12.0,14.0,119.0,9.9,0.0,1.0,10.0,0.0,0.0,0.0,RB,2013,team
249.0,Bradie Ewing,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,14.5,0.0,0.0,2.0,0.0,0.0,0.0,RB,2013,team
250.0,Erik Lorig,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,47.0,4.3,0.0,0.0,15.0,0.0,0.0,0.0,RB,2013,team
251.0,Lance Dunbar,30.0,150.0,5.0,45.0,1.0,0.0,7.0,7.0,59.0,8.4,0.0,1.0,9.0,0.0,0.0,0.0,RB,2013,team
252.0,Collin Mooney,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,32.0,5.3,0.0,0.0,12.0,0.0,0.0,0.0,RB,2013,team
253.0,Dan Herron,5.0,33.0,6.6,22.0,1.0,0.0,1.0,1.0,57.0,57.0,0.0,0.0,6.0,0.0,0.0,0.0,RB,2013,team
254.0,Bobby Rainey,150.0,566.0,3.8,80.0,3.0,5.0,15.0,19.0,46.0,3.1,1.0,1.0,15.0,0.0,0.0,0.0,RB,2013,team
255.0,Daryl Richardson,69.0,215.0,3.1,14.0,0.0,0.0,14.0,18.0,121.0,8.6,0.0,0.0,8.0,0.0,0.0,0.0,RB,2013,team
256.0,Edwin Baker,43.0,171.0,4.0,20.0,1.0,2.0,8.0,9.0,57.0,7.1,0.0,0.0,3.0,0.0,0.0,0.0,RB,2013,team
257.0,Bryce Brown,75.0,314.0,4.2,65.0,2.0,2.0,8.0,13.0,84.0,10.5,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
258.0,Toby Gerhart,36.0,283.0,7.9,41.0,4.0,2.0,13.0,19.0,88.0,6.8,0.0,1.0,14.0,0.0,0.0,0.0,RB,2013,team
259.0,Christine Michael,18.0,79.0,4.4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,RB,2013,team
260.0,Jackie Battle,36.0,142.0,3.9,37.0,2.0,1.0,4.0,5.0,36.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
261.0,Greg Jones,2.0,2.0,1.0,4.0,0.0,0.0,5.0,11.0,34.0,6.8,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
262.0,Fred Jackson,206.0,890.0,4.3,59.0,1.0,9.0,47.0,66.0,387.0,8.2,1.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
263.0,Jamaal Charles,259.0,1287.0,5.0,46.0,6.0,12.0,70.0,104.0,693.0,9.9,7.0,2.0,15.0,0.0,0.0,0.1,RB,2013,team
264.0,Felix Jones,48.0,184.0,3.8,14.0,0.0,0.0,9.0,13.0,63.0,7.0,0.0,1.0,16.0,0.0,0.0,0.0,RB,2013,team
265.0,Donald Brown,102.0,537.0,5.3,51.0,4.0,6.0,27.0,35.0,214.0,7.9,2.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
266.0,DeAngelo Williams,201.0,843.0,4.2,43.0,6.0,3.0,26.0,36.0,333.0,12.8,1.0,2.0,15.0,0.0,0.0,0.1,RB,2013,team
268.0,Justin Forsett,6.0,31.0,5.2,10.0,0.0,0.0,15.0,16.0,82.0,5.5,0.0,0.0,9.0,0.0,0.0,0.0,RB,2013,team
269.0,Jonathan Stewart,48.0,180.0,3.8,16.0,0.0,0.0,7.0,7.0,44.0,6.3,0.0,0.0,6.0,0.0,0.0,0.0,RB,2013,team
270.0,John Kuhn,10.0,38.0,3.8,12.0,0.0,1.0,13.0,19.0,81.0,6.2,0.0,1.0,15.0,0.0,0.0,0.0,RB,2013,team
271.0,Jerome Felton,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,37.0,6.2,0.0,0.0,13.0,0.0,0.0,0.0,RB,2013,team
272.0,Jason Snelling,44.0,164.0,3.7,17.0,0.0,1.0,29.0,34.0,216.0,7.4,3.0,0.0,14.0,0.0,0.0,0.0,RB,2013,team
273.0,Darren Sproles,53.0,220.0,4.2,38.0,1.0,2.0,71.0,89.0,604.0,8.5,2.0,2.0,15.0,0.0,0.0,0.1,RB,2013,team
274.0,Brian Leonard,47.0,182.0,3.9,24.0,1.0,0.0,29.0,37.0,179.0,6.2,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
275.0,Brandon Jacobs,58.0,238.0,4.1,37.0,1.0,4.0,2.0,7.0,13.0,6.5,0.0,1.0,7.0,0.0,0.0,0.0,RB,2013,team
276.0,Bernard Scott,4.0,14.0,3.5,9.0,0.0,0.0,2.0,2.0,10.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,RB,2013,team
277.0,BenJarvus Green-Ellis,220.0,756.0,3.4,25.0,1.0,7.0,4.0,8.0,22.0,5.5,0.0,2.0,16.0,0.0,0.0,0.0,RB,2013,team
278.0,Arian Foster,121.0,542.0,4.5,23.0,2.0,1.0,22.0,35.0,183.0,8.3,1.0,0.0,8.0,0.0,0.0,0.0,RB,2013,team
280.0,Ahmad Bradshaw,41.0,186.0,4.5,27.0,1.0,2.0,7.0,8.0,42.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,RB,2013,team
281.0,Darren McFadden,114.0,379.0,3.3,30.0,4.0,5.0,17.0,25.0,108.0,6.4,0.0,1.0,10.0,0.0,0.0,7.0,RB,2013,team
282.0,Darius Reynaud,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,1.0,9.0,0.0,0.0,0.0,RB,2013,team
284.0,Danny Woodhead,106.0,429.0,4.0,14.0,0.0,2.0,76.0,87.0,605.0,8.0,6.0,2.0,16.0,0.0,0.0,20.6,RB,2013,team
285.0,Chris Ogbonnaya,49.0,240.0,4.9,43.0,2.0,0.0,48.0,75.0,343.0,7.1,2.0,2.0,16.0,0.0,0.0,0.0,RB,2013,team
286.0,Chris Johnson,279.0,1077.0,3.9,30.0,5.0,6.0,42.0,52.0,345.0,8.2,4.0,2.0,16.0,0.0,0.0,0.6,RB,2013,team
288.0,Knowshon Moreno,241.0,1038.0,4.3,31.0,5.0,10.0,60.0,74.0,548.0,9.1,3.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
