rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,year
1.0,Stephen Gostkowski,38.0,41.0,92.7,54.0,1.0,8.0,13.0,11.0,5.0,44.0,44.0,16.0,179.0,11.2,0.1,FA,K,2013
2.0,Matt Prater,25.0,26.0,96.2,64.0,2.0,4.0,5.0,8.0,6.0,75.0,75.0,16.0,170.0,10.6,52.8,ARI,K,2013
3.0,Justin Tucker,38.0,41.0,92.7,61.0,0.0,10.0,12.0,10.0,6.0,26.0,26.0,16.0,162.0,10.1,98.0,BAL,K,2013
4.0,Stephen Hauschka,33.0,35.0,94.3,53.0,0.0,10.0,9.0,11.0,3.0,44.0,44.0,16.0,160.0,10.0,0.0,FA,K,2013
5.0,Mason Crosby,33.0,37.0,89.2,57.0,1.0,13.0,8.0,6.0,5.0,42.0,42.0,16.0,157.0,9.8,40.7,GB,K,2013
6.0,Dan Bailey,28.0,30.0,93.3,53.0,2.0,2.0,8.0,10.0,6.0,47.0,47.0,16.0,153.0,9.6,0.0,FA,K,2013
7.0,Nick Folk,33.0,36.0,91.7,54.0,0.0,8.0,10.0,12.0,3.0,27.0,27.0,16.0,144.0,9.0,81.8,NE,K,2013
8.0,Robbie Gould,26.0,29.0,89.7,58.0,0.0,11.0,6.0,6.0,3.0,45.0,45.0,16.0,135.0,8.4,22.5,SF,K,2013
9.0,Graham Gano,24.0,27.0,88.9,55.0,0.0,9.0,4.0,5.0,6.0,42.0,42.0,16.0,131.0,8.2,31.4,NYG,K,2013
10.0,Ryan Succop,22.0,28.0,78.6,51.0,0.0,6.0,9.0,6.0,1.0,52.0,52.0,16.0,126.0,7.9,57.4,TB,K,2013
11.0,Greg Zuerlein,26.0,28.0,92.9,54.0,0.0,7.0,10.0,8.0,1.0,34.0,34.0,16.0,122.0,7.6,74.2,DAL,K,2013
12.0,Mike Nugent,18.0,22.0,81.8,54.0,0.0,2.0,6.0,7.0,3.0,52.0,52.0,16.0,119.0,7.4,1.0,FA,K,2013
13.0,Randy Bullock,26.0,35.0,74.3,51.0,1.0,7.0,5.0,12.0,1.0,26.0,26.0,16.0,118.0,7.4,10.8,TEN,K,2013
14.0,Kai Forbath,18.0,22.0,81.8,50.0,0.0,3.0,10.0,4.0,1.0,26.0,26.0,13.0,86.0,6.6,3.0,LAR,K,2013
15.0,Austin Seibert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,DET,K,2013
16.0,Jason Sanders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,MIA,K,2013
17.0,Eddy Pineiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,NYJ,K,2013
18.0,Joey Slye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,WAS,K,2013
19.0,Greg Joseph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1,MIN,K,2013
20.0,Michael Badgley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,IND,K,2013
21.0,Matthew Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,JAC,K,2013
22.0,Matt Gay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,LAR,K,2013
