,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,71,71,100,8,0,63,63,23.1,32.5
1,Alex Smith,QB,KC,1,85,85,100,2,0,54,54,15.0,17.6
2,Ben Roethlisberger,QB,PIT,1,49,49,91,0,0,41,41,20.8,42.4
3,Danny Amendola,WR,NE,1,17,17,23,0,6,6,6,0.8,4.7
4,Darren Sproles,RB,PHI,1,31,31,53,10,23,26,32,5.4,17.4
5,DeSean Jackson,WR,WAS,1,56,56,75,0,14,7,14,17.8,31.8
6,Drew Brees,QB,NO,1,74,74,100,1,0,50,50,32.5,43.9
7,Eli Manning,QB,NYG,1,56,56,100,4,0,52,52,19.6,35.0
8,Frank Gore,RB,IND,1,35,35,56,43,3,46,46,3.1,8.9
9,Greg Olsen,TE,CAR,1,65,65,100,0,8,6,8,4.5,6.9
10,Jared Cook,TE,GB,1,33,33,46,0,6,3,6,0.7,2.1
11,Jason Witten,TE,DAL,1,56,56,100,0,5,5,5,3.3,5.9
12,Joe Flacco,QB,BAL,1,68,68,100,3,0,56,56,13.3,19.6
13,Josh McCown,QB,CLE,1,74,74,99,0,0,58,58,12.9,17.4
14,Julian Edelman,WR,NE,1,66,66,90,0,17,12,17,8.3,12.6
15,Larry Fitzgerald,WR,ARI,1,64,64,97,0,6,6,6,5.3,8.3
16,LeSean McCoy,RB,BUF,1,40,40,73,48,5,53,53,27.4,68.5
17,Matt Ryan,QB,ATL,1,70,70,100,6,0,54,54,18.3,26.1
18,Matthew Stafford,QB,DET,1,61,61,100,7,0,72,72,16.3,26.7
19,Michael Crabtree,WR,OAK,1,65,65,88,0,20,12,20,11.0,16.9
20,Philip Rivers,QB,SD,1,56,56,100,0,0,54,54,19.7,35.2
21,Ryan Fitzpatrick,QB,NYJ,1,57,57,100,4,0,60,60,16.9,29.6
22,Ted Ginn Jr.,WR,CAR,1,41,41,63,2,24,12,27,18.8,45.9
23,Tom Brady,QB,NE,1,73,73,100,4,0,73,73,19.0,26.0
24,Vernon Davis,TE,WAS,1,46,46,61,0,15,11,15,6.8,14.8
25,Dez Bryant,WR,DAL,1,43,43,77,0,16,12,16,7.2,16.7
26,Golden Tate,WR,DET,1,51,51,84,0,14,10,14,7.7,15.1
27,Andre Roberts,WR,DET,1,16,16,26,0,25,13,25,1.9,11.9
28,Emmanuel Sanders,WR,DEN,1,73,73,91,0,14,10,14,22.2,30.4
29,Jimmy Graham,TE,SEA,1,63,63,100,0,11,10,11,4.7,7.5
30,Joe Webb III,QB,CAR,1,1,1,2,0,0,0,0,0.0,0.0
31,Rob Gronkowski,TE,NE,1,7,7,10,0,29,0,29,0.0,0.0
32,Antonio Brown,WR,PIT,1,49,49,91,0,12,10,12,27.1,55.3
33,Logan Paulsen,TE,CHI,1,33,33,41,0,3,0,3,0.0,0.0
34,Julio Jones,WR,ATL,1,57,57,81,0,12,7,12,3.5,6.1
35,Cam Newton,QB,CAR,1,65,65,100,5,0,49,49,20.4,31.4
36,Mark Ingram II,RB,NO,1,42,42,57,33,5,36,38,28.7,68.3
37,Randall Cobb,WR,GB,1,56,56,79,0,13,11,13,4.1,7.3
