,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,54,54,100,9,0,54,54,26.4,48.9
1,Alex Smith,QB,KC,1,63,63,100,5,0,57,57,13.2,21.0
2,Ben Roethlisberger,QB,PIT,1,60,60,100,2,0,75,75,7.0,11.7
3,Brian Hoyer,QB,CHI,1,65,65,100,3,0,78,78,18.4,28.3
4,Danny Amendola,WR,NE,1,13,13,21,0,15,15,15,2.3,17.7
5,Darren Sproles,RB,PHI,1,24,24,37,8,25,33,33,18.7,77.9
6,DeSean Jackson,WR,WAS,1,51,51,72,0,16,10,16,15.6,30.6
7,Drew Brees,QB,NO,1,81,81,100,2,0,69,69,25.9,32.0
8,Eli Manning,QB,NYG,1,67,67,100,0,0,57,57,14.0,20.9
9,Frank Gore,RB,IND,1,44,44,61,48,7,50,55,14.3,32.5
10,Greg Olsen,TE,CAR,1,77,77,100,0,13,8,13,6.4,8.3
11,Jared Cook,TE,GB,1,14,14,26,0,21,7,21,1.5,10.7
12,Jason Witten,TE,DAL,1,68,68,100,0,3,3,3,2.5,3.7
13,Joe Flacco,QB,BAL,1,67,67,100,4,0,64,64,11.8,17.6
14,Julian Edelman,WR,NE,1,46,46,74,7,13,15,20,5.2,11.3
15,Larry Fitzgerald,WR,ARI,1,80,80,98,0,15,9,15,6.0,7.5
16,LeSean McCoy,RB,BUF,1,48,48,75,35,8,42,44,23.6,49.2
17,Marcedes Lewis,TE,JAC,1,36,36,55,0,8,8,8,2.0,5.6
18,Matt Ryan,QB,ATL,1,64,64,100,8,0,55,55,19.9,31.1
19,Matthew Slater,WR,NE,1,2,2,3,0,0,0,0,0.0,0.0
20,Matthew Stafford,QB,DET,1,68,68,100,3,0,63,63,26.5,39.0
21,Michael Crabtree,WR,OAK,1,50,50,77,0,22,16,22,10.2,20.4
22,Philip Rivers,QB,SD,1,59,59,100,2,0,68,68,11.4,19.3
23,Ryan Fitzpatrick,QB,NYJ,1,68,68,100,4,0,69,69,-2.3,-3.4
24,Ted Ginn Jr.,WR,CAR,1,49,49,64,4,14,10,18,6.7,13.7
25,Vernon Davis,TE,WAS,1,35,35,49,0,0,0,0,0.0,0.0
26,Dez Bryant,WR,DAL,1,52,52,76,0,12,6,12,10.0,19.2
27,Golden Tate,WR,DET,1,59,59,87,2,10,8,12,3.2,5.4
28,Andre Roberts,WR,DET,1,10,10,15,0,10,0,10,0.0,0.0
29,Emmanuel Sanders,WR,DEN,1,57,57,85,0,23,16,23,23.7,41.6
30,Jimmy Graham,TE,SEA,1,47,47,68,0,19,13,19,14.0,29.8
31,Rob Gronkowski,TE,NE,1,14,14,23,0,7,0,7,0.0,0.0
32,Antonio Brown,WR,PIT,1,60,60,100,0,30,20,30,14.0,23.3
33,Logan Paulsen,TE,CHI,1,10,10,15,0,0,0,0,0.0,0.0
34,A.J. Green,WR,CIN,1,64,64,96,0,17,13,17,7.7,12.0
35,Blaine Gabbert,QB,SF,1,57,57,100,9,0,53,53,5.0,8.8
36,Julio Jones,WR,ATL,1,49,49,77,0,14,2,14,1.6,3.3
37,Cam Newton,QB,CAR,1,76,76,99,9,0,55,55,13.1,17.2
38,Mark Ingram II,RB,NO,1,40,40,49,38,15,48,53,18.7,46.8
39,Randall Cobb,WR,GB,1,42,42,78,0,7,2,7,3.3,7.9
40,Kyle Rudolph,TE,MIN,1,53,53,96,0,19,13,19,13.0,24.5
41,Andy Dalton,QB,CIN,1,67,67,100,9,0,55,55,10.2,15.2
42,Lance Kendricks,TE,LAR,1,59,59,91,0,7,0,7,0.0,0.0
43,Anthony Sherman,RB,KC,1,10,10,16,0,10,10,10,0.3,3.0
44,Lee Smith,TE,OAK,1,33,33,51,0,3,3,3,0.4,1.2
45,Dwayne Harris,WR,NYG,1,1,1,1,0,0,0,0,0.0,0.0
46,Tyrod Taylor,QB,BUF,1,64,64,100,14,0,53,53,16.4,25.6
47,Ryan Tannehill,QB,MIA,1,67,67,100,1,0,60,60,19.0,28.4
48,Kirk Cousins,QB,WAS,1,71,71,100,4,0,54,54,19.3,27.2
49,Russell Wilson,QB,SEA,1,46,46,67,2,0,52,52,14.0,30.4
50,Lamar Miller,RB,HOU,1,54,54,76,39,9,46,48,10.7,19.8
51,Alshon Jeffery,WR,CHI,1,65,65,100,0,11,8,11,7.0,10.8
52,Mohamed Sanu Sr.,WR,ATL,1,27,27,42,0,15,11,15,3.1,11.5
53,T.Y. Hilton,WR,IND,1,63,63,88,0,17,13,17,23.4,37.1
54,Travis Benjamin,WR,SD,1,45,45,76,0,16,9,16,6.2,13.8
55,Marvin Jones Jr.,WR,DET,1,65,65,96,0,12,9,12,32.5,50.0
56,Rhett Ellison,TE,MIN,1,21,21,38,0,5,5,5,1.8,8.6
57,Alfred Morris,RB,DAL,1,7,7,10,71,14,86,86,8.1,115.7
58,Brandon Bolden,RB,NE,1,2,2,3,0,0,0,0,0.0,0.0
59,Case Keenum,QB,LAR,1,65,65,100,3,0,43,43,13.7,21.1
60,Cole Beasley,WR,DAL,1,30,30,44,0,23,23,23,7.3,24.3
61,Chris Hogan,WR,NE,1,55,55,89,0,5,2,5,0.3,0.5
62,Garrett Celek,TE,SF,1,38,38,67,0,11,8,11,2.5,6.6
63,Jermaine Kearse,WR,SEA,1,53,53,77,0,4,4,4,1.1,2.1
64,Travis Kelce,TE,KC,1,58,58,92,0,12,10,12,14.9,25.7
65,Marquise Goodwin,WR,BUF,1,53,53,83,0,9,2,9,0.6,1.1
66,Russell Shepard,WR,TB,1,11,11,12,0,18,9,18,0.6,5.5
67,DeAndre Hopkins,WR,HOU,1,69,69,97,0,12,6,12,5.6,8.1
68,Robert Woods,WR,BUF,1,61,61,95,0,13,10,13,5.1,8.4
69,Kenny Stills,WR,MIA,1,65,65,97,0,12,8,12,7.6,11.7
70,Cordarrelle Patterson,RB,MIN,1,5,5,9,0,20,20,20,0.8,16.0
71,Tavon Austin,WR,LAR,1,50,50,77,4,16,14,20,16.4,32.8
72,Giovani Bernard,RB,CIN,1,35,35,52,14,14,29,29,4.4,12.6
73,Theo Riddick,RB,DET,1,45,45,66,22,20,38,42,4.8,10.7
74,Chris Thompson,RB,WAS,1,34,34,48,18,6,21,24,1.6,4.7
75,Kenjon Barner,RB,PHI,1,12,12,18,67,0,67,67,10.2,85.0
76,Jordan Reed,TE,WAS,1,64,64,90,0,11,6,11,5.6,8.8
77,Levine Toilolo,TE,ATL,1,29,29,45,0,0,0,0,0.0,0.0
78,Vance McDonald,TE,SF,1,10,10,18,0,20,20,20,0.4,4.0
79,Kyle Juszczyk,RB,BAL,1,19,19,28,0,5,5,5,0.2,1.1
80,Luke Willson,TE,SEA,1,47,47,68,0,6,4,6,0.9,1.9
81,Latavius Murray,RB,OAK,1,31,31,48,32,3,35,35,9.8,31.6
82,Ryan Griffin,TE,HOU,1,47,47,66,0,21,17,21,5.2,11.1
83,Demetrius Harris,TE,KC,1,31,31,49,0,10,6,10,1.4,4.5
84,Zach Line,RB,MIN,1,16,16,29,0,0,0,0,0.0,0.0
85,James Develin,RB,NE,1,23,23,37,0,0,0,0,0.0,0.0
86,Jack Doyle,TE,IND,1,54,54,75,0,11,11,11,6.5,12.0
87,Patrick DiMarco,RB,ATL,1,19,19,30,0,0,0,0,0.0,0.0
88,Blake Bortles,QB,JAC,1,66,66,100,5,0,62,62,11.5,17.4
89,Derek Carr,QB,OAK,1,65,65,100,2,0,55,55,11.9,18.3
90,Carlos Hyde,RB,SF,1,40,40,70,53,3,55,55,24.5,61.3
91,Devonta Freeman,RB,ATL,1,38,38,59,37,13,50,50,26.7,70.3
92,Mike Evans,WR,TB,1,78,78,87,0,18,13,18,19.2,24.6
93,Brandin Cooks,WR,NO,1,78,78,96,1,10,4,12,1.9,2.4
94,Davante Adams,WR,GB,1,25,25,46,0,8,8,8,8.3,33.2
95,Jordan Matthews,WR,PHI,1,55,55,85,0,5,4,5,7.9,14.4
96,Allen Robinson II,WR,JAC,1,64,64,97,0,17,11,17,17.7,27.7
97,Odell Beckham Jr.,WR,NYG,1,67,67,100,0,16,10,16,12.1,18.1
98,Jarvis Landry,WR,MIA,1,66,66,99,3,18,14,21,19.6,29.7
99,Paul Richardson Jr.,WR,SEA,1,27,27,39,0,0,0,0,0.0,0.0
100,Eric Ebron,TE,DET,1,58,58,85,0,14,9,14,6.9,11.9
101,Trey Burton,TE,PHI,1,33,33,51,0,18,6,18,1.9,5.8
102,James White,RB,NE,1,16,16,26,19,13,25,31,1.4,8.8
103,Cody Latimer,WR,DEN,1,24,24,36,0,4,4,4,1.0,4.2
104,Jerick McKinnon,RB,MIN,1,36,36,65,44,6,47,50,6.7,18.6
105,John Brown,WR,ARI,1,47,47,57,0,23,13,23,7.0,14.9
106,Richard Rodgers,TE,GB,1,43,43,80,0,7,5,7,6.9,16.0
107,Ryan Grant,WR,WAS,1,18,18,25,0,6,0,6,0.0,0.0
108,Damien Williams,RB,MIA,1,11,11,16,9,27,36,36,8.5,77.3
109,Albert Wilson,WR,KC,1,21,21,33,0,0,0,0,0.0,0.0
110,Taylor Gabriel,WR,ATL,1,36,36,56,0,8,6,8,3.3,9.2
111,Allen Hurns,WR,JAC,1,57,57,86,0,14,7,14,4.0,7.0
112,Bennie Fowler III,WR,DEN,1,11,11,16,0,9,9,9,1.3,11.8
113,Dontrelle Inman,WR,SD,1,53,53,90,0,8,6,8,3.2,6.0
114,Keith Smith,RB,DAL,1,8,8,12,0,0,0,0,0.0,0.0
115,Adam Thielen,WR,MIN,1,33,33,60,0,12,9,12,2.9,8.8
116,Cameron Brate,TE,TB,1,70,70,78,0,14,7,14,16.6,23.7
117,Darren Fells,TE,ARI,1,50,50,61,0,4,4,4,1.5,3.0
118,Seth Roberts,WR,OAK,1,40,40,62,0,15,5,15,8.7,21.8
119,Marcus Mariota,QB,TEN,1,68,68,100,4,0,53,53,4.8,7.1
120,Jameis Winston,QB,TB,1,90,90,100,4,0,69,69,25.5,28.3
121,Amari Cooper,WR,OAK,1,53,53,82,0,17,8,17,6.2,11.7
122,DeVante Parker,WR,MIA,1,58,58,87,0,10,5,10,11.1,19.1
123,Kevin White,WR,CHI,1,52,52,80,0,27,12,27,6.2,11.9
124,Melvin Gordon III,RB,SD,1,51,51,86,31,14,39,45,13.8,27.1
125,Todd Gurley II,RB,LAR,1,52,52,80,52,4,54,56,20.0,38.5
126,Devin Funchess,WR,CAR,1,42,42,55,0,5,0,5,0.0,0.0
127,Maxx Williams,TE,BAL,1,12,12,18,0,0,0,0,0.0,0.0
128,Tevin Coleman,RB,ATL,1,27,27,42,44,11,56,56,26.9,99.6
129,Duke Johnson Jr.,RB,CLE,1,41,41,50,24,17,37,41,8.1,19.8
130,Jay Ajayi,RB,MIA,1,18,18,27,39,0,39,39,8.8,48.9
131,T.J. Yeldon,RB,JAC,1,33,33,50,18,9,24,27,2.8,8.5
132,David Johnson,RB,ARI,1,79,79,96,24,8,28,32,23.1,29.2
133,Clive Walford,TE,OAK,1,45,45,69,0,7,4,7,2.7,6.0
134,Nick O'Leary,TE,BUF,1,14,14,22,0,7,7,7,2.8,20.0
135,Jesse James,TE,PIT,1,58,58,97,0,7,3,7,1.0,1.7
136,Tyler Kroft,TE,CIN,1,43,43,64,0,0,0,0,0.0,0.0
137,Blake Bell,TE,SF,1,24,24,42,0,4,0,4,0.0,0.0
138,Nelson Agholor,WR,PHI,1,52,52,80,0,6,6,6,2.1,4.0
139,Justin Hardy,WR,ATL,1,21,21,33,0,10,10,10,8.6,41.0
140,Tyler Lockett,WR,SEA,1,23,23,33,0,0,0,0,0.0,0.0
141,Breshad Perriman,WR,BAL,1,26,26,39,4,15,12,19,2.4,9.2
142,Jamison Crowder,WR,WAS,1,44,44,62,0,16,9,16,13.8,31.4
143,Ty Montgomery,RB,GB,1,4,4,7,25,0,25,25,-0.1,-2.5
144,Phillip Dorsett II,WR,IND,1,64,64,89,0,6,5,6,2.7,4.2
145,Stefon Diggs,WR,MIN,1,49,49,89,0,14,8,14,4.0,8.2
146,Chris Manhertz,TE,NO,1,15,15,19,0,0,0,0,0.0,0.0
147,C.J. Uzomah,TE,CIN,1,39,39,58,0,10,5,10,3.1,7.9
148,Malcolm Johnson,RB,CLE,1,23,23,28,0,4,4,4,0.3,1.3
149,Trevor Siemian,QB,DEN,1,67,67,100,4,0,57,57,29.0,43.3
150,James O'Shaughnessy,TE,KC,1,1,1,2,0,0,0,0,0.0,0.0
151,Chris Conley,WR,KC,1,51,51,81,0,10,6,10,4.4,8.6
152,Geoff Swaim,TE,DAL,1,29,29,43,0,3,0,3,0.0,0.0
153,Michael Burton,RB,DET,1,8,8,12,0,0,0,0,0.0,0.0
154,J.J. Nelson,WR,ARI,1,1,1,1,0,0,0,0,0.0,0.0
155,Tyrell Williams,WR,SD,1,52,52,88,0,17,12,17,6.9,13.3
156,Adam Humphries,WR,TB,1,58,58,64,0,21,16,21,10.0,17.2
157,Ross Travis,TE,KC,1,11,11,17,0,18,18,18,1.0,9.1
158,Ezekiel Elliott,RB,DAL,1,50,50,74,60,4,64,64,16.0,32.0
159,Derrick Henry,RB,TEN,1,24,24,35,42,0,42,42,4.5,18.8
160,Carson Wentz,QB,PHI,1,65,65,100,2,0,49,49,21.0,32.3
161,Michael Thomas,WR,NO,1,72,72,89,0,15,10,15,13.1,18.2
162,Alex Collins,RB,SEA,1,17,17,25,24,12,35,35,3.1,18.2
163,Tyler Boyd,WR,CIN,1,24,24,36,0,17,13,17,1.8,7.5
164,Devontae Booker,RB,DEN,1,16,16,24,25,6,31,31,2.5,15.6
165,Hunter Henry,TE,SD,1,59,59,100,0,8,8,8,5.6,9.5
166,Sterling Shepard,WR,NYG,1,66,66,99,0,11,8,11,13.3,20.2
167,Austin Hooper,TE,ATL,1,14,14,22,0,0,0,0,0.0,0.0
168,Jordan Howard,RB,CHI,1,49,49,75,18,12,27,31,9.2,18.8
169,Rashard Higgins,WR,CLE,1,18,18,22,0,6,0,6,0.0,0.0
170,Tajae Sharpe,WR,TEN,1,51,51,75,0,14,6,14,4.8,9.4
171,Dak Prescott,QB,DAL,1,68,68,100,6,0,41,41,23.5,34.6
172,Jonathan Williams,RB,BUF,1,6,6,9,50,0,50,50,0.2,3.3
173,Tyler Higbee,TE,LAR,1,21,21,32,0,0,0,0,0.0,0.0
174,Will Fuller V,WR,HOU,1,71,71,100,0,10,4,10,3.1,4.4
175,Kenyan Drake,RB,MIA,1,27,27,40,33,7,41,41,4.8,17.8
176,Jacoby Brissett,QB,NE,1,62,62,100,13,0,44,44,14.9,24.0
177,Chris Moore,WR,BAL,1,26,26,39,0,4,4,4,0.2,0.8
178,Seth DeValve,TE,CLE,1,3,3,4,0,0,0,0,0.0,0.0
179,Wendell Smallwood,RB,PHI,1,24,24,37,71,0,71,71,13.9,57.9
180,Robby Anderson,WR,NYJ,1,11,11,16,0,18,18,18,3.4,30.9
181,Josh Ferguson,RB,IND,1,17,17,24,6,24,24,29,3.1,18.2
182,Stephen Anderson,TE,HOU,1,11,11,15,0,9,0,9,0.0,0.0
183,Andy Janovich,RB,DEN,1,27,27,40,4,4,7,7,1.5,5.6
184,Derek Watt,RB,SD,1,7,7,12,0,14,14,14,0.6,8.6
185,Tyreek Hill,WR,KC,1,12,12,19,8,33,33,42,2.3,19.2
186,Johnny Holton,WR,OAK,1,2,2,3,50,0,50,50,0.2,10.0
187,DeAndre Washington,RB,OAK,1,18,18,28,33,6,39,39,6.2,34.4
188,Dwayne Washington,RB,DET,1,25,25,37,40,4,44,44,3.5,14.0
189,Trevor Davis,WR,GB,1,12,12,22,0,8,0,8,0.0,0.0
190,Mike Thomas,WR,LAR,1,8,8,12,0,13,0,13,0.0,0.0
191,Chester Rogers,WR,IND,1,31,31,43,0,6,0,6,0.0,0.0
192,Jalen Richard,RB,OAK,1,13,13,20,46,8,54,54,4.1,31.5
193,Tommylee Lewis,WR,NO,1,10,10,12,10,40,40,50,4.4,44.0
