,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Lamar Jackson(BAL),27,41,65.9,266,6.5,3,2,3,21,120,0,0,1,32.6,32.6,94.0%
1,2,Justin Herbert(LAC),32,38,84.2,356,9.4,2,0,0,5,14,1,0,1,31.6,31.6,98.8%
2,3,Matt Ryan(ATL),23,30,76.7,343,11.4,2,0,2,5,8,1,0,1,28.5,28.5,36.3%
3,4,Josh Johnson(BAL),27,41,65.9,317,7.7,3,1,2,4,18,0,0,1,25.5,25.5,1.1%
4,5,Carson Wentz(IND),22,30,73.3,272,9.1,3,0,1,4,13,0,0,1,24.2,24.2,44.0%
5,6,Teddy Bridgewater(DEN),19,28,67.9,249,8.9,1,0,4,3,-1,1,0,1,21.9,21.9,15.6%
6,7,Kirk Cousins(MIN),17,28,60.7,187,6.7,2,0,0,1,1,1,0,1,21.6,21.6,70.7%
7,8,Jimmy Garoppolo(SF),28,40,70.0,326,8.2,2,1,5,1,3,0,0,1,20.3,20.3,23.3%
8,9,Dak Prescott(DAL),19,39,48.7,232,5.9,2,1,2,2,16,0,0,1,19.9,19.9,98.2%
9,10,Justin Fields(CHI),17,29,58.6,291,10.0,1,1,3,8,45,0,0,1,19.1,19.1,21.0%
10,11,Jalen Hurts(PHI),11,17,64.7,162,9.5,1,0,1,10,62,0,0,1,16.7,16.7,94.4%
11,12,Baker Mayfield(CLE),14,21,66.7,218,10.4,2,0,2,0,0,0,0,1,16.7,16.7,26.4%
12,13,Colt McCoy(ARI),22,26,84.6,249,9.6,1,0,2,7,23,0,0,1,16.3,16.3,0.4%
13,14,Ben Roethlisberger(FA),21,30,70.0,205,6.8,2,0,4,2,0,0,0,1,16.2,16.2,23.8%
14,15,Trevor Siemian(NO),25,41,61.0,249,6.1,2,0,1,0,0,0,1,1,16.0,16.0,1.1%
15,16,Matthew Stafford(LAR),31,48,64.6,294,6.1,1,2,5,2,13,0,0,1,15.1,15.1,97.2%
16,17,Ryan Tannehill(TEN),19,27,70.4,143,5.3,1,1,3,2,3,1,0,1,15.0,15.0,62.7%
17,18,Jordan Love(GB),19,34,55.9,190,5.6,1,1,1,5,23,0,0,1,12.9,12.9,1.3%
18,19,Derek Carr(LV),30,46,65.2,296,6.4,1,2,1,2,5,0,1,1,12.3,12.3,58.1%
19,20,Josh Allen(BUF),31,47,66.0,264,5.6,0,2,4,5,50,0,1,1,11.6,11.6,100.0%
20,21,Jacoby Brissett(MIA),26,43,60.5,244,5.7,1,2,4,1,7,0,1,1,10.5,10.5,0.6%
21,22,Patrick Mahomes II(KC),20,37,54.1,166,4.5,1,0,1,2,-2,0,0,1,10.4,10.4,100.0%
22,23,Joe Burrow(CIN),28,40,70.0,282,7.1,0,2,5,2,1,0,0,1,9.4,9.4,88.3%
23,24,Tyrod Taylor(HOU),24,43,55.8,240,5.6,0,3,5,3,23,0,0,1,8.9,8.9,4.9%
24,25,Daniel Jones(NYG),15,20,75.0,110,5.5,1,0,2,4,17,0,1,1,8.1,8.1,13.6%
25,26,Mike White(NYJ),7,11,63.6,95,8.6,1,0,0,0,0,0,0,1,7.8,7.8,0.8%
26,27,Mac Jones(NE),12,18,66.7,139,7.7,1,1,2,2,4,0,1,1,7.0,7.0,28.5%
27,28,Trevor Lawrence(JAC),15,26,57.7,118,4.5,0,0,2,3,4,0,0,1,5.1,5.1,23.9%
28,29,Sam Darnold(CAR),16,33,48.5,172,5.2,0,3,1,3,9,0,0,1,4.8,4.8,5.5%
29,30,Taysom Hill(NO),2,2,100.0,33,16.5,0,0,0,1,4,0,0,1,1.7,1.7,53.2%
30,31,C.J. Beathard(JAC),2,2,100.0,33,16.5,0,0,0,0,0,0,0,1,1.3,1.3,0.0%
31,32,Marcus Mariota(LV),0,0,0,0,0,0,0,0,1,6,0,0,1,0.6,0.6,0.2%
32,33,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,2,3,0,0,1,0.3,0.3,0.0%
33,34,Brandon Allen(CIN),1,2,50.0,6,3.0,0,0,0,1,0,0,0,1,0.2,0.2,0.4%
34,35,Chris Streveler(FA),0,0,0,0,0,0,0,0,1,2,0,0,1,0.2,0.2,0.0%
35,36,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,1,1,0,0,1,0.1,0.1,0.1%
36,37,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
37,38,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
38,39,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,40,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
40,41,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,42,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
42,43,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,44,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,45,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
45,46,Bryce Perkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,47,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
47,48,Shane Buechele(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
48,49,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
49,50,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
50,51,Drew Lock(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
51,52,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,53,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
54,55,Danny Etling(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Alex McGough(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Tim Boyle(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
57,58,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,59,Kellen Mond(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
59,60,Tua Tagovailoa(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2%
60,61,Jacob Eason(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
61,62,Jake Fromm(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
62,63,Tyler Huntley(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7%
63,64,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
