,Player,REC,YDS,TDS,FL,FPTS
0,George KittleSF,6.0,78.5,0.5,0.1,11.0
1,Mark AndrewsBAL,5.9,71.0,0.5,0.1,10.0
2,Rob GronkowskiTB,4.6,55.4,0.6,0.0,8.9
3,Kyle PittsATL,4.7,64.0,0.2,0.0,7.8
4,Zach ErtzARI,4.5,47.5,0.5,0.0,7.5
5,Dawson KnoxBUF,4.0,46.4,0.3,0.0,6.3
6,Jared CookLAC,3.3,40.2,0.3,0.0,6.0
7,Hunter HenryNE,3.0,33.4,0.4,0.0,5.9
8,Dalton SchultzDAL,3.8,41.1,0.3,0.0,5.7
9,Mike GesickiMIA,3.9,41.8,0.2,0.0,5.3
10,Foster MoreauLV,3.3,37.2,0.3,0.0,5.2
11,Cole KmetCHI,4.2,41.5,0.2,0.0,5.1
12,Noah FantDEN,3.6,37.7,0.2,0.0,4.9
13,Tyler HigbeeLAR,3.2,34.4,0.2,0.0,4.6
14,Tyler ConklinMIN,3.5,34.8,0.2,0.0,4.6
15,Gerald EverettSEA,3.3,32.2,0.2,0.0,4.3
16,C.J. UzomahCIN,2.7,29.2,0.2,0.0,4.3
17,Austin HooperCLE,3.0,30.1,0.2,0.0,4.1
18,Evan EngramNYG,3.3,32.8,0.1,0.0,4.0
19,David NjokuCLE,2.3,29.0,0.1,0.0,3.7
20,Brevin JordanHOU,2.4,22.8,0.2,0.0,3.4
21,Cameron BrateTB,2.2,21.9,0.2,0.0,3.4
22,Shane ZylstraDET,2.5,25.8,0.1,0.0,3.3
23,Albert OkwuegbunamDEN,2.4,25.0,0.1,0.0,3.3
24,Jack DoyleIND,2.3,24.3,0.1,0.0,3.3
25,Josiah DeguaraGB,2.2,22.7,0.2,0.0,3.3
26,Nick VannettNO,2.3,25.5,0.1,0.0,3.2
27,Noah GrayKC,2.1,23.1,0.1,0.0,3.2
28,Jonnu SmithNE,2.1,22.2,0.1,0.0,3.1
29,Dan ArnoldJAC,2.0,24.9,0.1,0.1,2.9
30,Hayden HurstATL,1.8,18.9,0.2,0.0,2.8
