,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,7.0,87.1,0.8,0.1,13.3
1,Mark AndrewsBAL,5.5,68.0,0.7,0.1,10.6
2,Darren WallerLV,6.2,72.3,0.5,0.1,10.3
3,Mike GesickiMIA,4.6,57.8,0.5,0.0,8.7
4,Dawson KnoxBUF,3.5,43.6,0.5,0.0,7.5
5,Zach ErtzARI,4.7,46.9,0.5,0.0,7.4
6,Dalton SchultzDAL,4.1,46.5,0.4,0.0,7.2
7,Hunter HenryNE,4.0,43.8,0.4,0.0,6.9
8,Noah FantDEN,4.7,48.9,0.3,0.0,6.8
9,Jared CookLAC,3.5,44.3,0.3,0.0,6.3
10,Tyler HigbeeLAR,3.5,37.8,0.3,0.0,5.5
11,Dan ArnoldJAC,3.2,40.3,0.2,0.1,5.2
12,Evan EngramNYG,3.4,36.2,0.2,0.1,4.6
13,David NjokuCLE,2.6,32.7,0.2,0.0,4.3
14,Mo Alie-CoxIND,2.3,27.1,0.2,0.0,4.1
15,Tyler ConklinMIN,3.1,31.3,0.2,0.0,4.1
16,Cameron BrateTB,2.7,26.9,0.2,0.0,4.0
17,Austin HooperCLE,2.9,29.1,0.2,0.0,4.0
18,C.J. UzomahCIN,2.4,28.3,0.2,0.0,4.0
19,Jonnu SmithNE,2.5,25.7,0.2,0.0,3.7
20,O.J. HowardTB,1.9,24.2,0.2,0.0,3.6
21,Cole KmetCHI,2.5,24.8,0.2,0.0,3.6
22,Anthony FirkserTEN,2.6,27.5,0.1,0.0,3.6
23,Pat FreiermuthPIT,2.3,24.7,0.2,0.0,3.5
24,Gerald EverettSEA,2.6,26.4,0.1,0.0,3.4
25,Jack DoyleIND,1.9,21.4,0.1,0.0,3.0
26,Pharaoh BrownHOU,1.8,20.8,0.1,0.0,2.8
27,Blake JarwinDAL,1.7,19.1,0.1,0.0,2.7
28,Ian ThomasCAR,2.1,20.8,0.1,0.0,2.7
29,Jordan AkinsHOU,1.8,20.3,0.1,0.0,2.5
30,Eric EbronPIT,1.8,17.6,0.1,0.0,2.4
31,Tommy TrembleCAR,1.6,17.1,0.1,0.0,2.3
32,Albert OkwuegbunamDEN,1.6,15.1,0.1,0.0,2.2
33,Will DisslySEA,1.4,15.3,0.1,0.0,2.1
34,Durham SmytheMIA,1.4,14.0,0.1,0.0,1.9
35,Jason CroomPHI,1.1,12.0,0.1,0.0,1.9
36,MyCole PruittTEN,0.9,9.4,0.2,0.0,1.8
37,Demetrius HarrisARI,1.1,11.0,0.1,0.0,1.8
38,Harrison BryantCLE,1.1,13.2,0.1,0.0,1.8
39,Kyle RudolphNYG,1.4,13.7,0.1,0.0,1.7
40,John BatesWAS,1.1,11.1,0.1,0.1,1.6
41,Blake BellKC,1.0,10.0,0.1,0.0,1.6
42,Marcedes LewisGB,1.0,11.2,0.1,0.0,1.6
43,Darrell DanielsARI,1.2,12.5,0.1,0.0,1.6
44,Geoff SwaimTEN,1.2,11.5,0.1,0.0,1.6
45,Jacob HollisterJAC,1.0,10.1,0.1,0.0,1.5
46,Colby ParkinsonSEA,1.2,11.8,0.1,0.0,1.5
47,Tommy SweeneyBUF,1.1,10.6,0.1,0.0,1.5
48,Kylen GransonIND,0.8,8.2,0.1,0.0,1.3
49,Jimmy GrahamCHI,0.9,9.5,0.1,0.0,1.3
50,Noah GrayKC,0.9,9.6,0.1,0.0,1.3
51,Antony AuclairHOU,0.6,6.4,0.1,0.0,1.2
52,Chris Herndon IVMIN,0.7,7.1,0.1,0.1,1.2
53,Chris ManhertzJAC,0.6,8.0,0.1,0.0,1.2
54,Adam ShaheenMIA,0.7,8.4,0.1,0.0,1.1
55,Luke FarrellJAC,0.8,7.8,0.1,0.0,1.1
56,Jesper HorstedCHI,0.7,7.0,0.1,0.0,1.1
57,Reggie GilliamBUF,0.5,4.3,0.1,0.0,1.0
58,Josh OliverBAL,0.8,7.9,0.0,0.0,1.0
59,Stephen AndersonLAC,0.7,7.9,0.0,0.0,1.0
60,Hunter LongMIA,0.5,5.7,0.1,0.0,0.9
61,Eric SaubertDEN,0.8,7.2,0.0,0.0,0.8
62,Drew SampleCIN,0.6,6.4,0.0,0.0,0.8
63,Jacob HarrisLAR,0.5,4.7,0.1,0.0,0.8
64,Colin ThompsonCAR,0.5,4.5,0.1,0.0,0.7
65,Giovanni RicciCAR,0.7,7.1,0.0,0.0,0.7
66,Foster MoreauLV,0.4,4.0,0.1,0.0,0.7
67,Andrew BeckDEN,0.4,3.6,0.1,0.0,0.7
68,Zach GentryPIT,0.6,5.4,0.0,0.0,0.5
69,Josiah DeguaraGB,0.5,5.2,0.0,0.0,0.5
70,Luke StockerMIN,0.5,4.4,0.0,0.0,0.4
71,Kaden SmithNYG,0.5,4.1,0.0,0.0,0.4
72,Codey McElroyTB,0.4,4.0,0.0,0.0,0.4
73,Shane ZylstraDET,0.3,3.0,0.0,0.0,0.3
74,Deon YelderARI,0.2,3.0,0.0,0.0,0.3
75,Sammis ReyesWAS,0.3,3.0,0.0,0.0,0.3
76,Jesse JamesCHI,0.4,2.6,0.0,0.0,0.3
77,Cethan CarterMIA,0.2,2.3,0.0,0.0,0.2
78,Nick BowersLV,0.2,2.0,0.0,0.0,0.2
79,Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
80,Nick RalstonDAL,0.2,1.3,0.0,0.0,0.1
81,Tyler MabrySEA,0.1,1.0,0.0,0.0,0.1
82,Jeremy SprinkleDAL,0.0,1.0,0.0,0.0,0.1
