,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.7,82.7,0.7,0.1,12.3
1,Kyle PittsATL,5.1,63.9,0.5,0.0,9.1
2,Mike GesickiMIA,4.7,53.7,0.4,0.0,7.8
3,Noah FantDEN,4.4,47.4,0.4,0.0,7.2
4,George KittleSF,4.9,59.2,0.3,0.1,7.2
5,Dalton SchultzDAL,4.1,46.2,0.4,0.0,7.0
6,Tyler HigbeeLAR,3.7,41.8,0.4,0.0,6.5
7,Hunter HenryNE,3.4,40.5,0.4,0.0,6.5
8,Jared CookLAC,3.5,42.8,0.3,0.0,5.9
9,Rob GronkowskiTB,3.5,40.0,0.3,0.0,5.7
10,Zach ErtzARI,3.6,37.4,0.3,0.0,5.5
11,Evan EngramNYG,3.7,39.4,0.2,0.0,5.1
12,Tyler ConklinMIN,3.5,39.2,0.2,0.0,5.0
13,C.J. UzomahCIN,2.7,31.1,0.3,0.0,4.9
14,Dan ArnoldJAC,3.5,39.0,0.2,0.0,4.8
15,Pat FreiermuthPIT,3.2,32.2,0.2,0.0,4.5
16,Cole KmetCHI,3.4,33.6,0.2,0.0,4.3
17,Tommy SweeneyBUF,2.6,28.5,0.2,0.0,4.2
18,Mo Alie-CoxIND,2.3,26.9,0.3,0.0,4.2
19,Austin HooperCLE,2.8,30.0,0.2,0.0,4.0
20,Gerald EverettSEA,2.5,28.5,0.1,0.0,3.7
21,David NjokuCLE,2.2,27.3,0.1,0.0,3.5
22,Adam TrautmanNO,2.0,23.3,0.1,0.0,3.2
23,Albert OkwuegbunamDEN,2.4,22.3,0.2,0.0,3.2
24,Hayden HurstATL,2.2,23.0,0.1,0.0,2.8
25,Jonnu SmithNE,1.9,20.1,0.1,0.0,2.7
26,Jordan AkinsHOU,2.2,23.1,0.1,0.0,2.7
27,Josiah DeguaraGB,2.0,20.3,0.1,0.0,2.6
28,Durham SmytheMIA,1.8,18.1,0.1,0.0,2.5
29,Anthony FirkserTEN,1.7,18.8,0.1,0.0,2.4
30,Ian ThomasCAR,1.6,17.5,0.1,0.0,2.4
31,Pharaoh BrownHOU,1.9,19.8,0.1,0.0,2.4
32,Blake JarwinDAL,1.7,18.5,0.1,0.0,2.4
33,MyCole PruittTEN,1.2,13.9,0.2,0.0,2.4
34,Jack DoyleIND,1.6,16.3,0.1,0.0,2.4
35,Tommy TrembleCAR,1.5,16.6,0.1,0.0,2.3
36,Will DisslySEA,1.4,16.8,0.1,0.0,2.3
37,Eric EbronPIT,1.4,15.1,0.1,0.0,2.3
38,O.J. HowardTB,1.4,17.3,0.1,0.0,2.3
39,Tyler KroftNYJ,1.6,15.2,0.1,0.0,2.3
40,Charlie WoernerSF,1.4,14.1,0.1,0.0,2.1
41,Ross DwelleySF,1.4,14.6,0.1,0.0,2.0
42,Cameron BrateTB,1.4,14.7,0.1,0.0,2.0
43,Marcedes LewisGB,1.3,14.4,0.1,0.0,1.9
44,Harrison BryantCLE,1.1,13.1,0.1,0.0,1.8
45,Brevin JordanHOU,1.2,12.8,0.1,0.0,1.8
46,Kyle RudolphNYG,1.3,12.6,0.1,0.0,1.7
47,Dominique DafneyGB,1.0,11.2,0.1,0.0,1.7
48,Geoff SwaimTEN,1.3,12.7,0.1,0.0,1.7
49,Juwan JohnsonNO,1.0,10.5,0.1,0.0,1.6
50,Adam ShaheenMIA,1.2,11.8,0.1,0.0,1.6
51,Richard RodgersPHI,0.7,9.0,0.1,0.0,1.5
52,Jimmy GrahamCHI,0.8,8.8,0.1,0.0,1.5
53,Brycen HopkinsLAR,0.7,8.2,0.1,0.0,1.4
54,Chris Herndon IVMIN,0.9,9.1,0.1,0.0,1.4
55,Devin AsiasiNE,0.7,7.9,0.1,0.0,1.4
56,Daniel HelmATL,0.7,7.8,0.1,0.0,1.4
57,Hunter LongMIA,0.8,7.6,0.1,0.0,1.4
58,Zach GentryPIT,0.9,9.2,0.1,0.0,1.3
