,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.6,84.2,0.7,0.1,12.6
1,Darren WallerLV,6.4,77.1,0.7,0.1,11.6
2,Mark AndrewsBAL,4.6,56.7,0.5,0.0,8.6
3,Mike GesickiMIA,4.4,50.2,0.4,0.0,7.6
4,Kyle PittsATL,5.0,58.8,0.3,0.0,7.5
5,Dalton SchultzDAL,4.0,41.2,0.5,0.0,7.3
6,Noah FantDEN,4.7,49.8,0.4,0.0,7.2
7,Tyler HigbeeLAR,3.9,43.6,0.4,0.0,6.9
8,Hunter HenryNE,3.4,37.9,0.4,0.0,6.3
9,Jared CookLAC,3.4,42.0,0.3,0.0,6.0
10,Dawson KnoxBUF,3.3,37.4,0.3,0.0,5.5
11,Tyler ConklinMIN,3.3,37.4,0.2,0.0,5.2
12,Austin HooperCLE,3.2,33.8,0.3,0.0,4.9
13,Cameron BrateTB,3.0,32.2,0.3,0.0,4.8
14,Anthony FirkserTEN,3.0,34.9,0.2,0.0,4.6
15,Evan EngramNYG,3.5,35.7,0.2,0.1,4.4
16,George KittleSF,3.0,32.4,0.2,0.0,4.2
17,Hayden HurstATL,2.8,29.9,0.2,0.0,4.2
18,Zach ErtzARI,3.0,31.0,0.2,0.0,4.2
19,Dan ArnoldJAC,2.4,31.3,0.2,0.0,4.1
20,C.J. UzomahCIN,2.6,27.3,0.2,0.0,4.1
21,Jonnu SmithNE,2.8,28.1,0.2,0.0,4.0
22,Cole KmetCHI,2.8,28.5,0.2,0.0,3.9
23,Gerald EverettSEA,2.7,25.7,0.2,0.0,3.8
24,Blake JarwinDAL,2.3,25.5,0.2,0.0,3.7
25,Mo Alie-CoxIND,2.1,24.7,0.2,0.0,3.4
26,Will DisslySEA,2.2,24.9,0.1,0.0,3.4
27,Ross DwelleySF,2.3,23.9,0.1,0.0,3.3
28,O.J. HowardTB,1.7,22.6,0.2,0.0,3.2
29,Albert OkwuegbunamDEN,2.3,23.9,0.1,0.0,3.2
30,David NjokuCLE,1.9,22.9,0.1,0.0,3.0
31,Jack DoyleIND,2.1,23.0,0.1,0.0,3.0
32,Juwan JohnsonNO,1.9,20.0,0.2,0.0,3.0
33,Pat FreiermuthPIT,2.2,22.9,0.1,0.0,3.0
34,Adam TrautmanNO,1.6,19.0,0.1,0.0,2.6
35,Jordan AkinsHOU,2.0,21.3,0.1,0.0,2.6
36,Colby ParkinsonSEA,1.6,17.1,0.1,0.0,2.6
37,Pharaoh BrownHOU,1.7,19.5,0.1,0.0,2.5
38,Kyle RudolphNYG,1.7,16.8,0.1,0.0,2.4
39,Ian ThomasCAR,1.8,16.4,0.1,0.0,2.3
40,Eric EbronPIT,1.5,15.5,0.1,0.0,2.0
41,Geoff SwaimTEN,1.2,13.4,0.1,0.0,2.0
42,Harrison BryantCLE,1.3,14.0,0.1,0.0,1.9
43,Tommy TrembleCAR,1.3,13.6,0.1,0.0,1.8
44,Kylen GransonIND,0.9,10.0,0.1,0.0,1.6
45,Marcedes LewisGB,1.0,11.1,0.1,0.0,1.5
46,Jimmy GrahamCHI,1.1,12.1,0.0,0.0,1.5
47,Jacob HollisterJAC,1.0,10.6,0.1,0.0,1.5
48,Tommy SweeneyBUF,1.2,11.5,0.1,0.0,1.5
49,MyCole PruittTEN,0.8,8.8,0.1,0.0,1.4
50,Foster MoreauLV,0.7,8.0,0.1,0.0,1.4
51,Chris ManhertzJAC,0.8,8.9,0.1,0.0,1.3
52,Giovanni RicciCAR,0.7,7.2,0.1,0.0,1.3
53,John BatesWAS,1.1,11.0,0.1,0.1,1.3
54,Charlie WoernerSF,0.9,9.4,0.1,0.0,1.3
55,Tommy HudsonTEN,0.7,7.9,0.1,0.0,1.3
56,Durham SmytheMIA,1.1,10.3,0.0,0.0,1.3
57,Chris Herndon IVMIN,0.9,9.4,0.1,0.1,1.2
58,Eric SaubertDEN,1.1,10.1,0.0,0.0,1.2
59,Daniel BrownNYJ,0.8,8.9,0.1,0.0,1.2
60,Luke FarrellJAC,0.8,8.2,0.1,0.0,1.1
61,Adam ShaheenMIA,0.7,7.5,0.1,0.0,1.1
