,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.4,80.2,0.6,0.0,11.6
1,Mark AndrewsBAL,6.3,72.8,0.5,0.1,10.4
2,George KittleSF,4.9,62.7,0.6,0.0,9.6
3,Rob GronkowskiTB,4.3,51.3,0.6,0.0,8.5
4,Zach ErtzARI,5.2,54.2,0.5,0.0,8.1
5,Kyle PittsATL,5.4,67.7,0.2,0.0,8.0
6,Dawson KnoxBUF,3.6,43.7,0.5,0.0,7.5
7,Hunter HenryNE,3.2,35.2,0.5,0.0,6.3
8,Dalton SchultzDAL,4.2,43.7,0.3,0.0,6.1
9,Mike GesickiMIA,4.1,43.2,0.2,0.0,5.4
10,Noah FantDEN,3.9,41.7,0.2,0.0,5.3
11,Foster MoreauLV,3.4,39.9,0.2,0.0,5.2
12,Tyler HigbeeLAR,3.4,37.1,0.2,0.0,5.0
13,Pat FreiermuthPIT,3.3,35.6,0.2,0.0,4.8
14,Cole KmetCHI,3.7,37.6,0.2,0.0,4.7
15,Gerald EverettSEA,3.2,34.0,0.2,0.0,4.5
16,C.J. UzomahCIN,3.2,33.2,0.2,0.0,4.4
17,Tyler ConklinMIN,3.4,32.8,0.1,0.0,3.9
18,Evan EngramNYG,3.2,31.6,0.1,0.0,3.9
19,Austin HooperCLE,2.8,29.4,0.2,0.0,3.9
20,Albert OkwuegbunamDEN,2.5,26.3,0.1,0.0,3.5
21,Adam TrautmanNO,2.3,27.8,0.1,0.0,3.4
22,Jared PinkneyDET,2.5,26.6,0.1,0.0,3.4
23,Brevin JordanHOU,2.4,24.8,0.1,0.0,3.2
24,Stephen AndersonLAC,2.2,24.4,0.1,0.0,3.2
25,Tyler KroftNYJ,2.1,23.4,0.1,0.0,3.2
26,David NjokuCLE,1.9,24.1,0.1,0.0,3.1
27,Josiah DeguaraGB,2.1,20.5,0.2,0.0,3.0
28,Jonnu SmithNE,1.7,19.3,0.2,0.0,2.9
29,Mo Alie-CoxIND,1.7,20.4,0.1,0.0,2.8
30,John BatesWAS,2.0,20.7,0.1,0.0,2.6
31,Stephen SullivanCAR,2.1,20.0,0.1,0.0,2.6
32,Daniel BrownNYJ,1.9,18.4,0.1,0.0,2.5
33,Geoff SwaimTEN,1.9,18.7,0.1,0.0,2.4
34,Tommy TrembleCAR,1.8,21.0,0.0,0.0,2.3
35,Marcedes LewisGB,1.5,16.1,0.1,0.0,2.3
36,Cameron BrateTB,1.6,15.1,0.1,0.0,2.3
37,Tre' McKittyLAC,1.5,15.4,0.1,0.0,2.2
38,Jack DoyleIND,1.5,14.9,0.1,0.0,2.1
39,Pharaoh BrownHOU,1.7,16.1,0.1,0.0,2.1
40,Kenny YeboahNYJ,1.6,15.7,0.1,0.0,2.1
41,Anthony FirkserTEN,1.6,16.1,0.1,0.0,2.0
42,Kyle RudolphNYG,1.5,15.2,0.1,0.0,2.0
43,Juwan JohnsonNO,1.3,13.8,0.1,0.0,2.0
44,Durham SmytheMIA,1.6,14.6,0.1,0.0,1.9
45,Parker HesseATL,1.2,13.0,0.1,0.0,1.9
46,Noah GrayKC,1.0,12.0,0.1,0.0,1.8
47,Nick BowersLV,1.1,12.0,0.1,0.0,1.8
48,Will DisslySEA,1.1,12.1,0.1,0.0,1.8
49,Kahale WarringJAC,1.5,15.1,0.0,0.0,1.7
