,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,7.0,89.9,0.8,0.1,13.5
1,Darren WallerLV,6.7,79.3,0.6,0.1,11.7
2,George KittleSF,5.5,70.8,0.6,0.1,10.4
3,Rob GronkowskiTB,4.0,48.0,0.8,0.0,9.6
4,Mark AndrewsBAL,4.6,55.7,0.5,0.0,8.4
5,Noah FantDEN,4.6,50.9,0.4,0.0,7.5
6,Tyler HigbeeLAR,3.7,40.2,0.4,0.0,6.6
7,Kyle PittsATL,4.3,48.9,0.2,0.0,6.1
8,Jared CookLAC,3.4,42.6,0.3,0.0,6.0
9,Gerald EverettSEA,4.0,39.0,0.3,0.0,5.7
10,Austin HooperCLE,3.5,38.5,0.3,0.0,5.5
11,Dawson KnoxBUF,3.0,35.6,0.3,0.0,5.4
12,Dalton SchultzDAL,3.5,35.4,0.3,0.0,5.3
13,Mike GesickiMIA,3.4,38.5,0.2,0.0,5.3
14,Hunter HenryNE,3.5,38.6,0.2,0.0,5.1
15,Tyler ConklinMIN,3.1,33.4,0.2,0.0,4.7
16,Cameron BrateTB,3.2,31.4,0.2,0.0,4.3
17,Jonnu SmithNE,3.0,31.3,0.2,0.0,4.3
18,Zach ErtzARI,2.6,29.8,0.2,0.0,4.1
19,Anthony FirkserTEN,2.6,30.6,0.2,0.0,4.0
20,Adam TrautmanNO,2.3,26.3,0.2,0.0,3.9
21,Evan EngramNYG,2.9,31.2,0.1,0.1,3.8
22,Cole KmetCHI,2.6,28.8,0.2,0.0,3.8
23,Jack DoyleIND,2.5,27.8,0.2,0.0,3.7
24,Will DisslySEA,2.5,27.4,0.2,0.0,3.7
25,Pat FreiermuthPIT,2.6,27.2,0.2,0.0,3.6
26,O.J. HowardTB,1.9,25.6,0.2,0.0,3.6
27,David NjokuCLE,2.1,28.0,0.1,0.0,3.6
28,C.J. UzomahCIN,2.3,23.5,0.2,0.0,3.3
29,Albert OkwuegbunamDEN,2.3,23.6,0.2,0.1,3.2
30,Blake JarwinDAL,2.2,23.4,0.1,0.0,3.2
31,Pharaoh BrownHOU,2.1,24.7,0.1,0.0,3.1
32,Dan ArnoldJAC,1.8,22.6,0.1,0.0,3.0
33,Jordan AkinsHOU,2.2,23.6,0.1,0.0,2.9
34,Hayden HurstATL,1.9,19.6,0.1,0.0,2.7
35,Harrison BryantCLE,1.6,18.4,0.1,0.0,2.6
36,Juwan JohnsonNO,1.7,19.8,0.1,0.0,2.6
37,Tommy TrembleCAR,1.8,19.8,0.1,0.0,2.5
38,Geoff SwaimTEN,1.7,17.1,0.1,0.0,2.5
39,Kyle RudolphNYG,1.7,17.0,0.1,0.0,2.4
40,Ian ThomasCAR,1.7,16.1,0.1,0.0,2.2
41,Eric EbronPIT,1.6,16.5,0.1,0.0,2.2
42,Mo Alie-CoxIND,1.3,16.4,0.1,0.0,2.2
43,Tyler KroftNYJ,1.6,15.2,0.1,0.0,2.2
44,Jimmy GrahamCHI,1.1,13.0,0.1,0.0,1.7
45,Jacob HollisterJAC,1.4,12.9,0.1,0.0,1.6
46,Colby ParkinsonSEA,0.9,9.2,0.1,0.0,1.6
47,Tre' McKittyLAC,0.9,9.1,0.1,0.0,1.5
48,Tommy HudsonTEN,0.8,9.8,0.1,0.0,1.5
49,Foster MoreauLV,0.9,9.6,0.1,0.0,1.4
50,Garrett GriffinNO,0.6,8.0,0.1,0.0,1.4
51,Durham SmytheMIA,1.2,10.7,0.1,0.0,1.4
52,Marcedes LewisGB,0.9,10.4,0.1,0.0,1.3
53,Giovanni RicciCAR,0.7,7.3,0.1,0.0,1.3
