,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,6.5,79.0,0.6,0.1,11.5
1,Darren WallerLV,6.6,81.1,0.6,0.1,11.4
2,Kyle PittsATL,5.4,71.8,0.5,0.0,9.8
3,Mark AndrewsBAL,4.8,61.2,0.6,0.0,9.5
4,George KittleSF,5.1,60.9,0.4,0.1,8.6
5,Mike GesickiMIA,4.9,58.5,0.3,0.1,7.3
6,Dan ArnoldJAC,4.1,50.2,0.4,0.0,7.0
7,Jared CookLAC,3.2,41.0,0.4,0.0,6.7
8,Dalton SchultzDAL,4.4,47.8,0.3,0.0,6.6
9,Pat FreiermuthPIT,3.4,38.5,0.4,0.0,6.5
10,Hunter HenryNE,3.3,35.9,0.5,0.0,6.3
11,Dawson KnoxBUF,3.0,38.5,0.3,0.0,5.8
12,Tyler HigbeeLAR,4.0,42.8,0.2,0.0,5.7
13,Noah FantDEN,4.2,42.6,0.2,0.0,5.7
14,Zach ErtzARI,3.8,38.1,0.2,0.0,5.3
15,Tyler ConklinMIN,3.8,39.2,0.2,0.0,5.1
16,O.J. HowardTB,2.4,29.4,0.2,0.0,4.1
17,Austin HooperCLE,2.8,29.1,0.2,0.0,3.9
18,Adam TrautmanNO,3.0,32.5,0.1,0.1,3.9
19,David NjokuCLE,2.3,29.8,0.1,0.0,3.8
20,Hayden HurstATL,2.5,26.7,0.2,0.0,3.5
21,Cameron BrateTB,2.1,22.6,0.2,0.0,3.5
22,Gerald EverettSEA,2.6,27.2,0.1,0.0,3.5
23,Mo Alie-CoxIND,1.8,22.6,0.2,0.0,3.4
24,Albert OkwuegbunamDEN,2.0,19.4,0.1,0.0,2.7
25,Tommy SweeneyBUF,1.8,17.0,0.2,0.0,2.6
26,Jack DoyleIND,1.5,16.4,0.1,0.0,2.5
27,Anthony FirkserTEN,1.9,19.1,0.1,0.0,2.4
28,Geoff SwaimTEN,1.6,15.7,0.1,0.0,2.3
29,Josiah DeguaraGB,1.5,14.6,0.1,0.0,2.2
30,Tommy TrembleCAR,1.5,15.8,0.1,0.0,2.0
31,Dominique DafneyGB,1.2,14.0,0.1,0.0,2.0
32,Will DisslySEA,1.3,14.6,0.1,0.0,2.0
33,Harrison BryantCLE,1.2,14.1,0.1,0.0,2.0
34,Marcedes LewisGB,1.4,14.6,0.1,0.0,2.0
35,Eric EbronPIT,1.3,13.6,0.1,0.0,1.9
36,Durham SmytheMIA,1.3,13.6,0.1,0.0,1.9
37,MyCole PruittTEN,1.1,12.8,0.1,0.0,1.8
38,Foster MoreauLV,0.9,11.6,0.1,0.0,1.8
39,Ian ThomasCAR,1.2,12.6,0.0,0.0,1.5
40,Jonnu SmithNE,1.0,15.0,0.0,0.0,1.5
41,Adam ShaheenMIA,1.1,10.9,0.1,0.0,1.5
42,Chris Herndon IVMIN,0.8,6.6,0.2,0.1,1.5
43,Daniel HelmATL,0.8,8.5,0.1,0.0,1.5
44,Charlie WoernerSF,1.2,11.2,0.1,0.0,1.4
45,Stephen AndersonLAC,0.9,9.6,0.1,0.0,1.4
46,Juwan JohnsonNO,0.9,9.3,0.1,0.0,1.4
47,Sean McKeonDAL,0.7,7.8,0.1,0.0,1.4
48,Brycen HopkinsLAR,0.7,7.1,0.1,0.0,1.3
49,John BatesWAS,1.0,8.9,0.1,0.0,1.2
50,Devin AsiasiNE,0.7,7.6,0.1,0.0,1.1
51,Garrett GriffinNO,0.8,8.0,0.0,0.0,1.0
52,Blake BellKC,0.7,6.7,0.1,0.0,1.0
53,Chris ManhertzJAC,0.6,6.6,0.1,0.0,1.0
54,Zach GentryPIT,0.8,7.8,0.0,0.0,1.0
55,Josh OliverBAL,0.7,7.4,0.0,0.0,0.9
56,Kylen GransonIND,0.5,5.9,0.1,0.0,0.9
57,Luke FarrellJAC,0.7,7.5,0.0,0.0,0.9
58,Ross DwelleySF,0.6,5.5,0.1,0.0,0.8
59,Tre' McKittyLAC,0.5,5.2,0.1,0.0,0.8
60,Brock WrightDET,0.6,8.0,0.0,0.0,0.8
61,Andrew BeckDEN,0.3,3.2,0.1,0.0,0.6
62,Eric SaubertDEN,0.7,6.0,0.0,0.0,0.6
63,Colby ParkinsonSEA,0.6,5.2,0.0,0.0,0.5
64,Tyree JacksonPHI,0.4,5.0,0.0,0.0,0.5
65,Trevon WescoNYJ,0.5,4.5,0.0,0.0,0.4
66,Noah GrayKC,0.4,3.9,0.0,0.0,0.4
67,Darrell DanielsARI,0.4,3.6,0.0,0.0,0.4
68,Reggie GilliamBUF,0.4,3.3,0.0,0.0,0.3
69,David WellsARI,0.3,3.0,0.0,0.0,0.3
70,Kendall BlantonLAR,0.2,3.0,0.0,0.0,0.3
71,Sammis ReyesWAS,0.3,3.0,0.0,0.0,0.3
72,Eric TomlinsonBAL,0.2,2.0,0.0,0.0,0.2
73,Luke StockerMIN,0.2,2.0,0.0,0.0,0.2
74,Demetrius HarrisARI,0.2,2.0,0.0,0.0,0.2
75,Kevin RaderPIT,0.2,2.0,0.0,0.0,0.2
76,Cethan CarterMIA,0.2,1.6,0.0,0.0,0.2
77,Colin ThompsonCAR,0.1,1.0,0.0,0.0,0.1
78,Jeremy SprinkleDAL,0.1,1.0,0.0,0.0,0.1
79,Giovanni RicciCAR,0.1,0.5,0.0,0.0,0.1
