,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,63,63,100,0,2,54,54,18.0,28.6
1,Ben Roethlisberger,QB,PIT,1,83,83,100,1,0,71,71,15.2,18.3
2,DeSean Jackson,WR,LAR,1,21,21,32,0,24,14,24,18.0,85.7
3,Jared Cook,TE,LAC,1,46,46,70,0,7,4,7,2.7,5.9
4,Matt Ryan,QB,ATL,1,62,62,100,2,0,60,60,15.6,25.2
5,Matthew Stafford,QB,LAR,1,65,65,100,3,0,62,62,29.5,45.4
6,Tom Brady,QB,TB,1,73,73,100,4,0,79,79,28.7,39.3
7,Emmanuel Sanders,WR,BUF,1,63,63,80,0,10,8,10,21.4,34.0
8,Jimmy Graham,TE,CHI,1,7,7,16,0,14,0,14,0.0,0.0
9,Rob Gronkowski,TE,TB,1,45,45,62,0,16,9,16,5.5,12.2
10,A.J. Green,WR,ARI,1,53,53,79,0,11,9,11,11.2,21.1
11,Julio Jones,WR,TEN,1,34,34,50,0,12,9,12,4.7,13.8
12,Mark Ingram II,RB,HOU,1,19,19,35,32,5,37,37,2.0,10.5
13,Randall Cobb,WR,GB,1,21,21,33,0,5,0,5,0.0,0.0
14,Lee Smith,TE,ATL,1,26,26,42,0,12,12,12,6.7,25.8
15,Ryan Tannehill,QB,TEN,1,68,68,100,7,0,47,47,23.5,34.6
16,Kirk Cousins,QB,MIN,1,75,75,100,1,0,52,52,25.1,33.5
17,Russell Wilson,QB,SEA,1,53,53,100,6,0,66,66,16.6,31.3
18,Mohamed Sanu Sr.,WR,SF,1,45,45,64,0,13,7,13,3.6,8.0
19,Marvin Jones Jr.,WR,JAC,1,66,66,97,0,12,9,12,6.2,9.4
20,Brandon Bolden,RB,NE,1,33,33,46,9,12,18,21,2.2,6.7
21,Case Keenum,QB,CLE,1,5,5,6,60,0,60,60,0.0,0.0
22,Cole Beasley,WR,BUF,1,52,52,66,0,25,21,25,9.8,18.8
23,Chris Hogan,WR,NO,1,16,16,26,0,6,0,6,0.0,0.0
24,Travis Kelce,TE,KC,1,69,69,87,0,16,10,16,10.4,15.1
25,Marquise Goodwin,WR,CHI,1,10,10,22,0,10,0,10,0.0,0.0
26,DeAndre Hopkins,WR,ARI,1,61,61,91,0,10,5,10,2.1,3.4
27,Robert Woods,WR,LAR,1,57,57,88,2,11,7,12,3.8,6.7
28,Kenny Stills,WR,NO,1,29,29,47,0,10,3,10,1.7,5.9
