,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,62,62,100,6,0,56,56,23.8,38.4
1,Ben Roethlisberger,QB,PIT,1,49,49,100,6,0,57,57,11.9,24.3
2,DeSean Jackson,WR,LV,1,20,20,29,0,15,5,15,1.1,5.5
3,Jared Cook,TE,LAC,1,43,43,54,0,16,7,16,3.2,7.4
4,Marcedes Lewis,TE,GB,1,31,31,50,0,10,10,10,4.0,12.9
5,Matt Ryan,QB,ATL,1,59,59,98,8,0,63,63,13.4,22.7
6,Matthew Stafford,QB,LAR,1,66,66,100,5,0,48,48,16.5,25.0
7,Tom Brady,QB,TB,1,74,74,100,1,0,66,66,5.8,7.8
8,Andre Roberts,WR,LAC,1,1,1,1,100,0,100,100,0.6,60.0
9,Colt McCoy,QB,ARI,1,11,11,15,9,0,91,91,2.5,22.7
10,Jimmy Graham,TE,CHI,1,19,19,26,0,11,5,11,1.3,6.8
11,Rob Gronkowski,TE,TB,1,63,63,85,0,17,3,17,2.9,4.6
12,A.J. Green,WR,ARI,1,56,56,75,0,14,7,14,6.4,11.4
13,Julio Jones,WR,TEN,1,27,27,34,0,4,0,4,0.0,0.0
14,Cam Newton,QB,CAR,1,76,76,100,20,0,70,70,24.3,32.0
15,Mark Ingram II,RB,NO,1,30,30,49,30,7,37,37,1.8,6.0
16,Kyle Rudolph,TE,NYG,1,27,27,43,0,4,4,4,0.9,3.3
17,Luke Stocker,TE,MIN,1,19,19,30,0,0,0,0,0.0,0.0
18,Lee Smith,TE,ATL,1,13,13,22,0,8,0,8,0.0,0.0
19,Ryan Tannehill,QB,TEN,1,80,80,100,6,0,46,46,10.9,13.6
20,Kirk Cousins,QB,MIN,1,64,64,100,3,0,41,41,11.5,18.0
21,Russell Wilson,QB,SEA,1,57,57,100,0,0,54,54,5.2,9.1
22,T.Y. Hilton,WR,IND,1,14,14,27,0,7,7,7,1.9,13.6
23,Marvin Jones Jr.,WR,JAC,1,65,65,93,0,6,3,6,1.4,2.2
24,Brandon Bolden,RB,NE,1,38,38,56,11,13,18,24,4.4,11.6
25,Cole Beasley,WR,BUF,1,32,32,46,0,25,13,25,3.5,10.9
26,Travis Kelce,TE,KC,1,56,56,78,0,23,18,23,31.1,55.5
27,Cordarrelle Patterson,RB,ATL,1,37,37,62,30,5,35,35,2.3,6.2
28,Keenan Allen,WR,LAC,1,62,62,78,0,16,11,18,13.8,22.3
29,Tavon Austin,WR,JAC,1,16,16,23,0,19,6,19,1.1,6.9
30,Rex Burkhead,RB,HOU,1,38,38,64,42,8,45,50,4.7,12.4
31,Mike Glennon,QB,NYG,1,50,50,79,2,0,50,50,1.0,2.0
32,Zach Ertz,TE,ARI,1,67,67,89,0,16,9,16,7.4,11.0
33,Kyle Juszczyk,RB,SF,1,30,30,53,3,3,7,7,7.2,24.0
34,Latavius Murray,RB,BAL,1,29,29,41,24,10,28,34,5.1,17.6
35,Ryan Griffin,TE,NYJ,1,23,23,40,0,9,9,9,3.9,17.0
36,Demetrius Harris,TE,ARI,1,8,8,11,0,0,0,0,0.0,0.0
37,Jack Doyle,TE,IND,1,41,41,79,0,2,2,2,0.0,0.0
38,Teddy Bridgewater,QB,DEN,1,43,43,57,7,0,58,58,4.9,11.4
39,Derek Carr,QB,LV,1,68,68,99,4,0,60,60,11.1,16.3
40,Devonta Freeman,RB,BAL,1,39,39,56,15,3,18,18,2.4,6.2
41,Mike Evans,WR,TB,1,17,17,23,0,6,6,6,1.4,8.2
42,Brandin Cooks,WR,HOU,1,49,49,83,0,20,14,20,22.2,45.3
43,Davante Adams,WR,GB,1,57,57,92,0,12,11,12,10.4,18.2
44,Odell Beckham Jr.,WR,LAR,1,50,50,76,0,6,2,6,0.7,1.4
45,Jimmy Garoppolo,QB,SF,1,57,57,100,5,0,46,46,13.8,24.2
46,Garrett Gilbert,QB,WAS,1,55,55,100,0,0,56,56,7.8,14.2
47,Damien Williams,RB,CHI,1,5,5,7,0,0,0,0,0.0,0.0
48,Albert Wilson,WR,MIA,1,41,41,58,2,5,5,7,1.0,2.4
49,Willie Snead IV,WR,CAR,1,1,1,1,0,100,0,100,0.0,0.0
50,Cameron Brate,TE,TB,1,20,20,27,0,20,10,20,2.2,11.0
51,Diontae Spencer,WR,DEN,1,2,2,3,0,0,0,0,0.0,0.0
52,Marcus Mariota,QB,LV,1,4,4,6,25,0,25,25,0.3,7.5
53,Amari Cooper,WR,DAL,1,66,66,93,0,8,3,8,0.8,1.2
54,DeVante Parker,WR,MIA,1,63,63,89,0,13,6,13,12.8,20.3
55,Melvin Gordon III,RB,DEN,1,31,31,41,48,3,52,52,6.1,19.7
56,Ameer Abdullah,RB,CAR,1,40,40,53,10,10,20,20,11.5,28.8
57,Tevin Coleman,RB,NYJ,1,21,21,37,38,0,38,38,5.0,23.8
58,Duke Johnson Jr.,RB,MIA,1,41,41,58,54,2,56,56,24.7,60.2
59,Mike Davis,RB,ATL,1,27,27,45,22,4,22,26,2.1,7.8
60,David Johnson,RB,HOU,1,12,12,20,50,8,58,58,2.7,22.5
61,Tyler Kroft,TE,NYJ,1,36,36,63,0,6,6,6,3.5,9.7
62,MyCole Pruitt,TE,TEN,1,27,27,34,0,4,4,4,0.1,0.4
63,Blake Bell,TE,KC,1,16,16,22,6,6,6,13,0.3,1.9
64,Nelson Agholor,WR,NE,1,32,32,47,0,19,13,19,3.4,10.6
65,Jamison Crowder,WR,NYJ,1,51,51,89,0,16,10,16,4.0,7.8
66,Ty Montgomery,RB,NO,1,20,20,33,0,10,0,10,0.0,0.0
67,Phillip Dorsett II,WR,HOU,1,15,15,25,0,20,13,20,4.3,28.7
