,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
128,Jacob Hollister,TE,JAC,1,41,41,60,0,7,7,7,1.4,3.4
129,Cethan Carter,TE,MIA,1,4,4,6,0,0,0,0,0.0,0.0
130,Tim Patrick,WR,DEN,1,42,42,78,0,24,14,24,9.5,22.6
131,Mo Alie-Cox,TE,IND,1,22,22,39,0,14,9,14,2.7,12.3
132,Darrell Daniels,TE,ARI,1,24,24,32,0,0,0,0,0.0,0.0
133,Isaiah McKenzie,WR,BUF,1,22,22,27,5,5,9,9,1.9,8.6
134,Blake Jarwin,TE,DAL,1,12,12,19,0,17,8,17,0.6,5.0
135,Alex Armah Jr.,RB,WAS,1,1,1,2,0,0,0,0,0.0,0.0
136,Anthony Firkser,TE,TEN,1,23,23,34,0,17,17,17,11.6,50.4
137,Keelan Cole Sr.,WR,NYJ,1,28,28,61,0,11,11,11,11.4,40.7
138,Dare Ogunbowale,RB,JAC,1,46,46,68,24,13,30,37,5.5,12.0
139,Zach Pascal,WR,IND,1,49,49,86,0,4,2,4,0.7,1.4
140,Kendrick Bourne,WR,NE,1,36,36,58,3,11,11,14,3.2,8.9
141,Taysom Hill,QB,NO,1,26,26,36,19,0,54,54,10.1,38.8
142,Greg Ward,WR,PHI,1,43,43,58,0,5,5,7,0.3,0.7
143,Brandon Zylstra,WR,CAR,1,50,50,68,0,4,2,6,0.0,0.0
144,Sam Darnold,QB,CAR,1,71,71,96,11,0,70,70,15.7,22.1
145,Saquon Barkley,RB,NYG,1,36,36,60,31,11,39,42,4.9,13.6
146,Royce Freeman,RB,HOU,1,1,1,2,0,0,0,0,0.0,0.0
147,Nick Chubb,RB,CLE,1,16,16,24,56,6,63,63,6.0,37.5
148,Ito Smith,RB,DAL,1,5,5,8,20,0,20,20,6.4,128.0
149,Kalen Ballage,RB,PIT,1,7,7,9,14,0,14,14,0.0,0.0
150,Myles Gaskin,RB,MIA,1,7,7,10,14,43,57,57,1.0,14.3
151,Courtland Sutton,WR,DEN,1,41,41,76,0,7,5,10,1.9,4.6
152,Tre'Quan Smith,WR,NO,1,52,52,72,0,13,10,13,13.6,26.2
153,Cedrick Wilson Jr.,WR,DAL,1,42,42,68,0,14,12,14,23.9,56.9
154,DJ Moore,WR,CAR,1,55,55,74,2,18,15,20,10.0,18.2
155,Christian Kirk,WR,ARI,1,68,68,89,0,4,3,4,4.3,6.3
156,Mark Andrews,TE,BAL,1,66,66,93,2,23,14,24,8.5,12.9
157,Mike Gesicki,TE,MIA,1,39,39,57,0,8,5,8,2.2,5.6
158,Hayden Hurst,TE,ATL,1,12,12,24,0,8,8,8,3.3,27.5
159,Nyheim Hines,RB,IND,1,9,9,16,0,33,22,33,1.9,21.1
160,Josh Allen,QB,BUF,1,77,77,94,6,0,65,65,23.9,31.0
161,Justin Jackson,RB,LAC,1,17,17,18,18,6,18,24,2.0,11.8
162,Allen Lazard,WR,GB,1,21,21,31,0,29,24,29,19.5,92.9
163,Equanimeous St. Brown,WR,GB,1,51,51,75,0,10,4,10,2.2,4.3
164,Rashaad Penny,RB,SEA,1,43,43,74,53,0,53,53,25.0,58.1
165,Sony Michel,RB,LAR,1,52,52,80,40,8,42,48,4.9,9.4
166,Dalton Schultz,TE,DAL,1,37,37,60,0,8,8,8,14.1,38.1
167,Phillip Lindsay,RB,MIA,1,15,15,22,73,0,73,73,4.0,26.7
168,Durham Smythe,TE,MIA,1,47,47,69,0,4,4,4,3.2,6.8
169,Darrel Williams,RB,KC,1,31,31,40,23,13,32,35,4.7,15.2
170,Noah Fant,TE,DEN,1,52,52,96,0,4,2,4,1.6,3.1
171,Marquez Valdes-Scantling,WR,GB,1,15,15,22,0,7,0,7,0.0,0.0
172,Ray-Ray McCloud,WR,PIT,1,50,50,66,0,18,8,18,3.7,7.4
173,Tyler Conklin,TE,MIN,1,32,32,67,0,13,6,13,0.6,1.9
174,Russell Gage,WR,ATL,1,45,45,90,0,29,20,29,18.6,41.3
175,Byron Pringle,WR,KC,1,55,55,71,0,15,9,15,5.6,10.2
176,Tim Boyle,QB,DET,1,1,1,2,100,0,100,100,-0.1,-10.0
