,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
53,54,Jamaal Williams(DET),5,26,5.2,14,0,0,0,0,0,0,0,0,1,2.6,2.6,58.2%
54,55,Chase Edmonds(ARI),3,-3,-1.0,3,0,0,2,2,28,14.0,0,0,1,2.5,2.5,85.1%
55,56,Royce Freeman(HOU),2,21,10.5,20,0,0,1,1,1,1.0,0,0,1,2.2,2.2,5.2%
56,57,Justice Hill(BAL),2,21,10.5,16,0,0,0,0,0,0,0,0,1,2.1,2.1,0.1%
57,58,Zack Moss(BUF),3,8,2.7,4,0,0,1,1,13,13.0,0,0,1,2.1,2.1,36.8%
58,59,Rashaad Penny(SEA),6,19,3.2,7,0,0,0,0,0,0,0,0,1,1.9,1.9,78.9%
59,60,Malcolm Brown(MIA),3,20,6.7,12,0,0,1,1,-2,-2.0,0,0,1,1.8,1.8,3.6%
60,61,Anthony McFarland Jr.(PIT),5,17,3.4,6,0,0,0,1,0,0,0,0,1,1.7,1.7,0.2%
61,62,Devontae Booker(NYG),5,16,3.2,6,0,0,0,0,0,0,0,0,1,1.6,1.6,23.3%
62,63,Ito Smith(DAL),3,9,3.0,5,0,0,1,4,7,7.0,0,0,1,1.6,1.6,0.0%
63,64,Tony Jones Jr.(NO),3,13,4.3,6,0,0,0,0,0,0,0,0,1,1.3,1.3,2.9%
64,65,Devin Singletary(BUF),3,7,2.3,5,0,0,1,1,6,6.0,0,0,1,1.3,1.3,89.1%
65,66,Alfred Morris(NYG),5,12,2.4,5,0,0,0,1,0,0,0,0,1,1.2,1.2,0.0%
66,67,Peyton Barber(LV),4,10,2.5,3,0,0,0,0,0,0,0,0,1,1.0,1.0,1.2%
67,68,Benny Snell Jr.(PIT),3,10,3.3,6,0,0,0,0,0,0,0,0,1,1.0,1.0,0.9%
68,69,Corey Clement(DAL),1,1,1.0,1,0,0,1,1,7,7.0,0,0,1,0.8,0.8,0.8%
69,70,Dion Lewis(FA),1,7,7.0,7,0,0,0,1,0,0,0,0,1,0.7,0.7,2.0%
70,71,Giovani Bernard(TB),3,7,2.3,4,0,0,0,1,0,0,0,0,1,0.7,0.7,5.4%
71,72,Anthony Sherman(FA),1,6,6.0,6,0,0,0,0,0,0,0,0,1,0.6,0.6,0.0%
72,73,Jerick McKinnon(KC),0,0,0,0,0,0,1,1,6,6.0,0,0,1,0.6,0.6,0.8%
73,74,Jason Huntley(PHI),2,5,2.5,5,0,0,1,1,0,0.0,0,0,1,0.5,0.5,0.2%
