Team,GP,TOTAL,RUSH,PASS,PEN,MADE,ATT,PCT,MADE,ATT,PCT,TOTAL,YDS
Buffalo Bills,17,285,108,138,39,66,214,30.8,16,35,45.7,102,844
New Orleans Saints,17,304,84,185,35,89,240,37.1,9,21,42.9,89,761
New England Patriots,17,308,111,176,21,77,211,36.5,17,32,53.1,100,831
Carolina Panthers,17,311,112,170,29,82,217,37.8,12,21,57.1,108,896
Denver Broncos,17,312,99,192,21,101,225,44.9,11,26,42.3,103,921
San Francisco 49ers,17,318,97,180,41,88,220,40.0,11,25,44.0,94,793
Chicago Bears,17,321,116,170,35,81,211,38.4,12,24,50.0,93,856
Cleveland Browns,17,327,108,184,35,86,219,39.3,16,25,64.0,98,877
Dallas Cowboys,17,327,99,191,37,76,223,34.1,16,26,61.5,121,973
Tennessee Titans,17,331,90,204,37,77,210,36.7,14,24,58.3,118,"1,070"
Indianapolis Colts,17,334,101,213,20,85,210,40.5,12,21,57.1,109,978
Arizona Cardinals,17,336,109,192,35,79,207,38.2,14,30,46.7,100,896
Green Bay Packers,17,337,120,194,23,87,203,42.9,15,33,45.5,88,718
Miami Dolphins,17,337,106,199,32,95,231,41.1,11,18,61.1,109,991
Cincinnati Bengals,17,339,107,213,19,92,221,41.6,7,18,38.9,116,946
Baltimore Ravens,17,340,81,232,27,70,201,34.8,11,18,61.1,98,882
Tampa Bay Buccaneers,17,344,94,214,36,87,226,38.5,13,28,46.4,79,635
Washington,17,346,101,220,25,111,229,48.5,12,20,60.0,96,803
Los Angeles Rams,17,347,111,214,22,92,223,41.3,17,32,53.1,88,688
Las Vegas Raiders,17,349,109,202,38,91,230,39.6,21,29,72.4,99,"1,021"
Jacksonville Jaguars,17,351,124,198,29,95,221,43.0,14,21,66.7,104,879
Pittsburgh Steelers,17,354,144,186,24,86,232,37.1,13,24,54.2,123,"1,017"
Philadelphia Eagles,17,358,115,208,35,93,217,42.9,14,29,48.3,92,824
Kansas City Chiefs,17,363,121,209,33,80,199,40.2,19,31,61.3,116,911
New York Giants,17,365,126,216,23,90,226,39.8,15,23,65.2,107,814
Detroit Lions,17,372,135,211,26,92,204,45.1,9,14,64.3,87,818
Houston Texans,17,382,135,218,29,89,206,43.2,11,19,57.9,89,790
Atlanta Falcons,17,383,143,214,26,105,217,48.4,11,22,50.0,118,956
Los Angeles Chargers,17,383,144,199,40,107,216,49.5,7,22,31.8,99,835
Minnesota Vikings,17,391,131,224,36,78,214,36.5,15,30,50.0,93,786
Seattle Seahawks,17,400,124,240,36,88,224,39.3,13,31,41.9,96,919
New York Jets,17,401,129,234,38,99,223,44.4,13,21,61.9,84,814
