Team,GP,ATT,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Baltimore Ravens,17,378,"1,436",3.8,84.5,66,13,7,1
Tennessee Titans,17,368,"1,438",3.9,84.6,58,14,3,1
Tampa Bay Buccaneers,17,366,"1,573",4.3,92.5,55,11,11,1
New Orleans Saints,17,426,"1,589",3.7,93.5,58,12,9,2
Cincinnati Bengals,17,407,"1,742",4.3,102.5,70,15,8,2
Los Angeles Rams,17,443,"1,754",4.0,103.2,54,18,4,2
San Francisco 49ers,17,439,"1,760",4.0,103.5,73,17,11,2
Washington,17,430,"1,775",4.1,104.4,46,14,8,3
Philadelphia Eagles,17,458,"1,834",4.0,107.9,38,18,10,2
Indianapolis Colts,17,420,"1,854",4.4,109.1,66,10,10,5
Green Bay Packers,17,395,"1,855",4.7,109.1,38,13,8,0
Cleveland Browns,17,437,"1,857",4.2,109.2,57,13,9,0
Buffalo Bills,17,442,"1,866",4.2,109.8,76,19,12,1
Miami Dolphins,17,425,"1,867",4.4,109.8,46,16,13,2
Denver Broncos,17,441,"1,892",4.3,111.3,35,9,10,3
Dallas Cowboys,17,429,"1,918",4.5,112.8,33,13,14,2
Seattle Seahawks,17,509,"1,932",3.8,113.6,60,16,8,0
Carolina Panthers,17,474,"1,935",4.1,113.8,55,16,9,2
Las Vegas Raiders,17,462,"1,943",4.2,114.3,51,18,13,3
Arizona Cardinals,17,426,"1,952",4.6,114.8,62,10,8,3
Kansas City Chiefs,17,419,"1,999",4.8,117.6,47,15,11,5
New England Patriots,17,464,"2,103",4.5,123.7,75,9,13,4
Chicago Bears,17,483,"2,127",4.4,125.1,39,14,12,1
Jacksonville Jaguars,17,493,"2,127",4.3,125.1,52,22,12,1
New York Giants,17,492,"2,193",4.5,129.0,70,15,5,1
Minnesota Vikings,17,475,"2,222",4.7,130.7,49,15,9,2
Atlanta Falcons,17,519,"2,242",4.3,131.9,27,19,7,3
Detroit Lions,17,518,"2,296",4.4,135.1,48,19,14,1
New York Jets,17,525,"2,351",4.5,138.3,78,28,16,3
Los Angeles Chargers,17,509,"2,361",4.6,138.9,52,22,13,3
Houston Texans,17,523,"2,418",4.6,142.2,83,25,9,4
Pittsburgh Steelers,17,498,"2,483",5.0,146.1,49,17,24,2
