Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Buffalo Bills,17,297,"3,047",10.3,179.2,73,12,9,5
New England Patriots,17,319,"3,437",10.8,202.2,67,21,6,2
Carolina Panthers,17,337,"3,559",10.6,209.4,62,26,7,4
Chicago Bears,17,314,"3,623",11.5,213.1,83,31,11,5
Cleveland Browns,17,367,"3,712",10.1,218.4,75,29,10,5
Arizona Cardinals,17,367,"3,872",10.6,227.8,64,30,17,10
San Francisco 49ers,17,372,"3,874",10.4,227.9,91,25,16,6
Denver Broncos,17,341,"3,901",11.4,229.5,59,22,4,2
Philadelphia Eagles,17,409,"3,976",9.7,233.9,64,28,8,2
Pittsburgh Steelers,17,355,"3,977",11.2,233.9,62,24,13,5
Los Angeles Chargers,17,357,"3,992",11.2,234.8,71,27,16,6
Las Vegas Raiders,17,400,"3,996",10.0,235.1,52,29,7,3
Green Bay Packers,17,379,"4,021",10.6,236.5,79,31,7,5
New York Giants,17,402,"4,044",10.1,237.9,59,27,9,5
Atlanta Falcons,17,391,"4,104",10.5,241.4,38,31,9,3
Jacksonville Jaguars,17,377,"4,111",10.9,241.8,55,24,4,1
New Orleans Saints,17,369,"4,131",11.2,243.0,84,20,9,5
Indianapolis Colts,17,390,"4,203",10.8,247.2,69,32,8,7
Miami Dolphins,17,373,"4,251",11.4,250.1,64,23,13,8
Houston Texans,17,363,"4,342",12.0,255.4,68,27,9,2
Dallas Cowboys,17,364,"4,346",11.9,255.6,75,24,11,6
Tampa Bay Buccaneers,17,445,"4,347",9.8,255.7,75,26,14,10
Detroit Lions,17,359,"4,361",12.1,256.5,79,31,9,6
Los Angeles Rams,17,416,"4,476",10.8,263.3,63,17,11,3
Kansas City Chiefs,17,401,"4,482",11.2,263.6,72,27,11,7
Tennessee Titans,17,395,"4,485",11.4,263.8,68,24,10,3
Cincinnati Bengals,17,420,"4,498",10.7,264.6,60,26,11,6
Washington,17,400,"4,520",11.3,265.9,72,34,9,5
Minnesota Vikings,17,401,"4,678",11.7,275.2,77,29,10,5
New York Jets,17,401,"4,682",11.7,275.4,65,28,10,2
Seattle Seahawks,17,443,"4,766",10.8,280.4,76,24,6,3
Baltimore Ravens,17,397,"4,986",12.6,293.3,82,31,8,5
