Team,GP,REC,YDS,AVG,YDS/G,LNG,TD,FUM,LST
Tampa Bay Buccaneers,17,492,"5,383",10.9,316.6,62,43,7,4
Los Angeles Chargers,17,443,"5,014",11.3,294.9,72,38,6,4
Dallas Cowboys,17,444,"4,963",11.2,291.9,73,40,10,4
Kansas City Chiefs,17,448,"4,937",11.0,290.4,75,37,9,5
Los Angeles Rams,17,406,"4,893",12.1,287.8,79,41,5,2
Las Vegas Raiders,17,429,"4,808",11.2,282.8,61,23,15,8
Cincinnati Bengals,17,384,"4,806",12.5,282.7,82,36,10,4
Arizona Cardinals,17,415,"4,619",11.1,271.7,77,27,5,2
Green Bay Packers,17,402,"4,526",11.3,266.2,75,39,8,2
Buffalo Bills,17,415,"4,450",10.7,261.8,61,36,11,2
Minnesota Vikings,17,398,"4,450",11.2,261.8,64,34,13,3
San Francisco 49ers,17,343,"4,437",12.9,261.0,83,26,13,6
Baltimore Ravens,17,396,"4,267",10.8,251.0,49,21,11,5
New England Patriots,17,364,"4,098",11.3,241.1,75,24,9,6
Pittsburgh Steelers,17,425,"4,017",9.5,236.3,59,23,13,8
Atlanta Falcons,17,377,"3,987",10.6,234.5,64,20,12,8
New York Jets,17,357,"3,959",11.1,232.9,62,20,11,6
Miami Dolphins,17,404,"3,936",9.7,231.5,65,21,13,5
Detroit Lions,17,396,"3,884",9.8,228.5,75,23,9,5
Denver Broncos,17,354,"3,856",10.9,226.8,64,20,3,1
Seattle Seahawks,17,324,"3,815",11.8,224.4,84,30,11,5
Washington,17,356,"3,746",10.5,220.4,73,21,10,6
Tennessee Titans,17,359,"3,745",10.4,220.3,57,22,11,6
Jacksonville Jaguars,17,361,"3,674",10.2,216.1,58,12,11,7
Chicago Bears,17,332,"3,635",10.9,213.8,64,16,11,5
Houston Texans,17,354,"3,630",10.3,213.5,67,21,9,5
Cleveland Browns,17,320,"3,619",11.3,212.9,71,21,10,7
Indianapolis Colts,17,324,"3,588",11.1,211.1,76,27,9,5
Philadelphia Eagles,17,307,"3,585",11.7,210.9,91,20,9,2
Carolina Panthers,17,348,"3,573",10.3,210.2,64,14,6,3
New York Giants,17,351,"3,463",9.9,203.7,60,15,15,8
New Orleans Saints,17,293,"3,437",11.7,202.2,72,29,7,3
