,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,Denver Broncos,2.8,1.2,0.5,0.6,0.2,0.1,16.4,303.2,8.4
1,Pittsburgh Steelers,3.0,0.9,0.7,1.1,0.2,0.0,19.1,330.5,8.1
2,Arizona Cardinals,2.6,1.0,0.6,1.1,0.2,0.0,19.8,324.8,8.1
3,Buffalo Bills,2.5,1.0,0.7,1.1,0.2,0.1,19.0,321.1,8.0
4,Carolina Panthers,2.7,0.9,0.6,1.1,0.2,0.0,19.1,314.8,7.8
5,Cleveland Browns,2.4,1.0,0.6,0.8,0.2,0.1,18.9,326.6,7.7
6,New England Patriots,2.3,1.3,0.5,0.7,0.2,0.0,20.5,331.8,7.1
7,Minnesota Vikings,3.1,0.7,0.6,0.8,0.1,0.1,26.5,377.6,6.6
8,Atlanta Falcons,2.5,0.8,0.7,1.2,0.1,0.0,23.9,345.1,6.4
9,Dallas Cowboys,2.5,0.8,0.7,1.0,0.1,0.0,23.6,371.6,6.4
10,Tennessee Titans,2.5,0.8,0.6,0.7,0.1,0.1,21.8,338.4,6.3
11,Green Bay Packers,2.2,0.9,0.6,1.0,0.2,0.0,24.7,367.0,6.2
12,Washington Commanders,2.4,0.8,0.6,0.9,0.1,0.0,25.9,358.1,6.2
13,Tampa Bay Buccaneers,2.5,0.8,0.6,0.9,0.1,0.0,26.1,362.7,6.2
14,Baltimore Ravens,1.9,0.9,0.6,0.9,0.2,0.0,20.1,344.8,6.1
15,Kansas City Chiefs,2.2,0.8,0.6,0.8,0.2,0.1,22.8,396.9,6.1
16,New Orleans Saints,2.4,0.8,0.5,0.7,0.1,0.0,21.2,328.8,6.0
17,Philadelphia Eagles,2.3,0.7,0.6,1.0,0.1,0.0,26.3,401.1,6.0
18,New York Giants,2.4,0.7,0.6,0.8,0.1,0.0,22.0,356.2,6.0
19,Seattle Seahawks,2.3,0.7,0.6,1.0,0.1,0.1,24.5,374.1,6.0
20,Las Vegas Raiders,2.4,0.7,0.6,0.9,0.2,0.0,21.2,319.2,5.9
21,Chicago Bears,2.0,0.8,0.6,0.9,0.2,0.1,25.4,356.0,5.9
22,Los Angeles Rams,2.1,0.8,0.6,0.9,0.1,0.1,25.6,358.0,5.8
23,Miami Dolphins,2.0,0.7,0.7,1.4,0.2,0.0,25.1,390.3,5.8
24,Indianapolis Colts,2.2,0.7,0.6,1.0,0.2,0.0,25.1,375.8,5.7
25,Houston Texans,2.3,0.8,0.5,0.7,0.1,0.0,24.4,370.3,5.7
26,Detroit Lions,2.1,0.7,0.6,0.8,0.1,0.1,27.8,382.6,5.6
27,Jacksonville Jaguars,1.9,0.8,0.5,0.6,0.1,0.0,28.6,396.1,5.5
28,New York Jets,2.0,0.7,0.6,0.8,0.1,0.0,25.3,356.6,5.5
29,San Francisco 49ers,2.1,0.6,0.6,0.9,0.1,0.0,23.2,356.6,5.2
30,Cincinnati Bengals,1.3,0.8,0.5,0.7,0.2,0.0,23.5,331.9,4.9
31,Los Angeles Chargers,1.5,0.6,0.5,0.7,0.1,0.0,29.3,402.8,4.3
