,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Aaron Rodgers(GB),37,55,67.3,442,8.0,2,0,4,5,32,2,0,1,42.9,42.9,97.4%
1,2,Deshaun Watson(HOU),29,40,72.5,339,8.5,2,0,4,8,49,2,1,1,36.5,36.5,5.0%
2,3,Nick Foles(CHI),35,49,71.4,471,9.6,4,1,1,1,1,0,1,1,30.9,30.9,0.7%
3,4,Ben Roethlisberger(FA),33,50,66.0,380,7.6,3,0,3,2,4,0,0,1,29.6,29.6,23.8%
4,5,Russell Wilson(SEA),18,29,62.1,271,9.3,3,0,3,8,57,0,0,1,28.5,28.5,90.4%
5,6,Patrick Mahomes II(KC),23,40,57.5,273,6.8,3,0,1,3,33,0,0,1,28.2,28.2,100.0%
6,7,Sam Darnold(CAR),24,35,68.6,341,9.7,3,0,2,3,4,0,0,1,26.0,26.0,5.5%
7,8,Baker Mayfield(CLE),27,37,73.0,284,7.7,3,0,0,6,16,0,0,1,25.0,25.0,26.4%
8,9,Kirk Cousins(MIN),21,28,75.0,253,9.0,3,0,2,1,1,0,0,1,22.2,22.2,70.7%
9,10,Andrew Luck(FA),31,47,66.0,357,7.6,2,1,1,2,13,0,0,1,21.6,21.6,2.2%
10,11,Eli Manning(FA),25,33,75.8,309,9.4,1,1,0,2,0,1,0,1,20.4,20.4,2.3%
11,12,Matt Ryan(ATL),15,26,57.7,239,9.2,3,0,1,1,-1,0,1,1,19.5,19.5,36.3%
12,13,Jeff Driskel(HOU),13,19,68.4,133,7.0,2,0,3,5,21,0,0,1,17.4,17.4,0.0%
13,14,Jared Goff(DET),19,24,79.2,216,9.0,1,0,2,2,6,1,1,1,17.2,17.2,5.3%
14,15,Drew Brees(FA),27,39,69.2,326,8.4,1,0,2,1,-1,0,0,1,16.9,16.9,35.7%
15,16,Dak Prescott(DAL),20,25,80.0,161,6.4,1,0,1,4,2,1,0,1,16.6,16.6,98.2%
16,17,Lamar Jackson(BAL),12,22,54.5,204,9.3,1,0,3,13,39,0,0,1,16.1,16.1,94.0%
17,18,Jameis Winston(NO),34,48,70.8,336,7.0,1,0,3,4,14,0,2,1,14.8,14.8,5.2%
18,19,Case Keenum(CLE),23,37,62.2,202,5.5,2,2,1,3,19,0,0,1,14.0,14.0,0.9%
19,20,Taylor Heinicke(WAS),33,53,62.3,274,5.2,1,3,2,3,33,0,0,1,12.3,12.3,21.2%
20,21,Mitchell Trubisky(BUF),25,29,86.2,246,8.5,1,0,3,5,3,0,1,1,12.1,12.1,0.4%
21,22,Josh Allen(BUF),20,41,48.8,217,5.3,1,2,0,5,30,0,0,1,11.7,11.7,100.0%
22,23,Ryan Tannehill(TEN),15,22,68.2,146,6.6,1,1,3,3,22,0,0,1,10.0,10.0,62.7%
23,24,Josh Rosen(ATL),12,23,52.2,87,3.8,0,0,4,4,49,0,0,1,8.4,8.4,0.0%
24,25,Josh Johnson(BAL),13,23,56.5,153,6.7,1,2,2,4,22,0,0,1,8.3,8.3,1.1%
25,26,Blaine Gabbert(TB),7,11,63.6,101,9.2,1,0,1,0,0,0,0,1,8.0,8.0,0.1%
26,27,Nick Mullens(CLE),22,38,57.9,241,6.3,0,1,1,0,0,0,0,1,7.6,7.6,0.3%
27,28,Derek Carr(LV),19,26,73.1,167,6.4,0,0,1,4,-3,0,0,1,6.4,6.4,58.1%
28,29,Marcus Mariota(LV),10,13,76.9,110,8.5,0,0,2,1,7,0,0,1,5.1,5.1,0.2%
29,30,Tom Brady(FA),13,24,54.2,126,5.3,1,2,1,0,0,0,0,1,5.0,5.0,99.1%
30,31,Matthew Stafford(LAR),18,32,56.3,116,3.6,0,0,2,0,0,0,0,1,4.6,4.6,97.2%
31,32,Blake Bortles(NO),5,6,83.3,39,6.5,0,0,1,4,25,0,0,1,4.1,4.1,0.1%
32,33,Philip Rivers(FA),23,37,62.2,181,4.9,0,2,4,1,1,0,0,1,3.3,3.3,20.6%
33,34,Matt Cassel(FA),5,11,45.5,45,4.1,0,0,1,1,14,0,0,1,3.2,3.2,0.0%
34,35,Mike Glennon(NYG),5,7,71.4,63,9.0,0,0,0,0,0,0,0,1,2.5,2.5,0.8%
35,36,Cody Kessler(FA),12,17,70.6,106,6.2,0,0,5,1,2,0,1,1,2.4,2.4,0.1%
36,37,Kyle Allen(WAS),4,4,100.0,38,9.5,0,0,0,0,0,0,0,1,1.5,1.5,0.1%
37,38,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
38,39,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
39,40,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
40,41,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
41,42,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
42,43,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
43,44,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
44,45,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
45,46,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
46,47,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
47,48,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
48,49,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,50,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
50,51,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,52,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,53,Jake Browning(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Gardner Minshew II(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%
54,55,Kyler Murray(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3%
55,56,Jarrett Stidham(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Justin Herbert(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8%
57,58,Daniel Jones(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6%
58,59,David Blough(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
59,60,Tim Boyle(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
60,61,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,62,Drew Lock(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
62,63,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
63,64,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
64,65,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
65,66,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
66,67,Bryce Perkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
67,68,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
68,69,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,70,Shane Buechele(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
70,71,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
